"",,,,,University Apartment,,
Civil Citation/Marijuana 2017-1201-0002,,12/01/2017 12:20 A.M.,12/01/2017 12:20 A.M.,MMC,,Closed,Yes
"",,,,,Bldg A,,
Information Report/Marijuana 2017-1202-0002,,12/01/2017 11:48 P.M.,12/01/2017 11:48 P.M.,BBC,Bayview Housing,Closed,Yes
Information Report/Unauthorized,,,,,,,
2017-1202-0003,,12/02/2017 02:21 A.M.,12/02/2017 02:21 A.M.,MMC,PIKAP Greek Housing,Closed,Yes
Party,,,,,,,
Theft/Bicycle 2017-1202-0004,,12/02/2017 08:10 A.M.,12/02/2017 08:10 A.M.,MMC,Parkview West,Open,Yes
"",,,,,Ernest R. Graham,,
Theft/Backpack 2017-1202-0006,,12/02/2017 12:18 P.M.,12/02/2017 12:18 P.M.,MMC,,Open,Yes
"",,,,,Center,,
Robbery Just Occurred 2017-1202-0007,,12/02/2017 06:44 P.M.,12/02/2017 06:44 P.M.,MMC,11200 SW 8TH ST,Open,Yes
Civil Citation/Civil Citation 2017-1204-0004,,12/04/2017 08:42 P.M.,12/04/2017 08:42 P.M.,MMC,PG5 Market Station,Closed,Yes
Information Report/Accident Involving,,,,OFF,,,
2017-1205-0001,,12/05/2017 09:18 A.M.,12/05/2017 09:18 A.M.,,595,Closed,No
Employee,,,,CAMPUS,,,
"",,,,,Academic Health,,
Sick/Injured Person 2017-1205-0002,,12/05/2017 10:31 A.M.,12/05/2017 10:31 A.M.,MMC,,Closed,Yes
"",,,,,Center 3,,
Information Report/Seize Tag Order 2017-1205-0003,,12/05/2017 12:48 P.M.,12/05/2017 12:48 P.M.,MMC,Gold Garage,Closed,Yes
Lost/Stolen Tag 2017-1205-0004,,12/05/2017 01:45 P.M.,12/05/2017 01:45 P.M.,MMC,Panther Garage,Open,Yes
Information Report/Unknown,,,,,SW 107TH AVE/SW,,
2017-1205-0005,,12/05/2017 03:08 P.M.,12/05/2017 03:08 P.M.,MMC,,Closed,No
Reference,,,,,16TH ST,,
Conduct Investigation/Suicidal,,,,,Ernest R. Graham,,
2017-1205-0006,,12/05/2017 03:17 P.M.,12/05/2017 03:17 P.M.,MMC,,Open,Yes
Threats,,,,,Center,,
Theft/Credit Cards 2017-1205-0008,,12/05/2017 04:46 P.M.,12/05/2017 04:46 P.M.,MMC,University Towers,Open,Yes
"",,,,,Academic Health,,
Disturbance with Possible Injuries 2017-1205-0009,,12/05/2017 06:20 P.M.,12/05/2017 06:20 P.M.,MMC,,Closed,Yes
"",,,,,Center 3,,
Information Report/Suicidal Threats 2017-1206-0001,,12/05/2017 11:04 P.M.,12/05/2017 11:04 P.M.,BBC,3000 NE 151ST ST,Closed,No
Sick Or Injured Person 2017-1206-0004,,12/06/2017 09::48 A.M.,12/06/2017 09::48 A.M.,BBC,Glenn Hubert Library,Closed,Yes
"",,,,,Campus Support,,
Stolen Vehicle 2017-1206-0005,,12/06/2017 10:28 A.M.,12/06/2017 10:28 A.M.,MMC,,Open,No
"",,,,,Complex,,
"",,,,,Engineering &,,
Sick Or Injured Person 2017-1206-0006,,12/06/2017 11:02 A.M.,12/06/2017 11:02 A.M.,MMC,,Closed,No
"",,,,,Computer Science,,
Theft/Macbook Pro 2017-1206-0009,,12/06/2017 01:41 P.M.,12/06/2017 01:41 P.M.,MMC,PG5 Market Station,Open,Yes
"",,,,,Ernest R. Graham,,
Theft/Wallet 2017-1206-0011,,12/06/2017 02:09 P.M.,12/06/2017 02:09 P.M.,MMC,,Open,Yes
"",,,,,Center,,
Information Report/Reference Tow 2017-1206-0012,,12/06/2017 03:15 P.M.,12/06/2017 03:15 P.M.,MMC,Lot 9,Closed,Unknown
Sick Or Injured Person 2017-1206-0013,,12/06/2017 03:47 P.M.,12/06/2017 03:47 P.M.,MMC,PG5 Market Station,Closed,No
"",,,,,Campus Support,,
Stolen Vehicle 2017-1206-0014,,12/06/2017 03:41 P.M.,12/06/2017 03:41 P.M.,MMC,,Open,Unknown
"",,,,,Complex,,
Investigation/Suicidal Notes Left In Clas2s0r1o7o-m1206-0015,,12/06/2017 04:36 P.M.,12/06/2017 04:36 P.M.,MMC,Chemistry & Physics,Open,Yes
"",,,,,Wellness & Fitness,,
Theft/Iphone 7 2017-1206-0016,,12/06/2017 04:32 P.M.,12/06/2017 04:32 P.M.,MMC,,Open,Yes
"",,,,,Center,,
ct Investigation/Misuse Of Handicap Pe2r0m1it7-1206-0017,,12/06/2017 07:32 P.M.,12/06/2017 07:32 P.M.,MMC,Lakeview North,Closed,Yes
Theft/Purse 2017-1206-0018,,12/06/2017 07:31 P.M.,12/06/2017 07:31 P.M.,BBC,Glenn Hubert Library,Open,No
"",,,,,Wellness & Fitness,,
Sick Or Injured Person 2017-1206-0019,,12/06/2017 09:53 P.M.,12/06/2017 09:53 P.M.,MMC,,Closed,Yes
"",,,,,Center,,
"",,,,,SW 107TH AVE/SW,,
Narcotics Investigation/Arrest 2017-1207-0001,,12/07/2017 01:29 A.M.,12/07/2017 01:29 A.M.,MMC,,Closed,Yes
"",,,,,8TH ST,,
Information Report/Decapitated Duck 2017-1207-0002,,12/07/2017 07:02 A.M.,12/07/2017 07:02 A.M.,MMC,Rafael Diaz-Balart Hall,Open,Unknown
Stolen Vehicle 2017-1207-0003,,12/07/2017 08:57 A.M.,12/07/2017 08:57 A.M.,MMC,FIU Arena,Open,No
"",,,,,Ernest R. Graham,,
Theft/Mens Watch 2017-1207-0004,,12/07/2017 09:07 A.M.,12/07/2017 09:07 A.M.,MMC,,Open,Yes
"",,,,,Center,,
Theft/Room Mate Taking Items From,,,,,,,
2017-1207-0006,,12/07/2017 11:21 A.M.,12/07/2017 11:21 A.M.,MMC,University Towers,Open,Yes
Another Room Mate.,,,,,,,
Sick Or Injured Person 2017-1207-0007,,12/07/2017 12:19 P.M.,12/07/2017 12:19 P.M.,MMC,Panther Hall,Closed,Yes
Information Report/Injured Football,,,,,Student Athletics,,
2017-1207-0008,,12/07/2017 11:32 A.M.,12/07/2017 11:32 A.M.,MMC,,Open,Yes
Player,,,,,Academic Center,,
Theft/Bicycle 2017-1207-0009,,12/07/2017 12:26 P.M.,12/07/2017 12:26 P.M.,MMC,Lakeview South,Open,Yes
"",,,,,University Apartments,,
Sick Or Injured Person 2017-1207-0010,,12/07/2017 02:21 P.M.,12/07/2017 02:21 P.M.,MMC,,Closed,Yes
"",,,,,Bldg E,,
Narcotics Investigation/Arrest 2017-1207-0011,,12/07/2017 05:08 P.M.,12/07/2017 05:08 P.M.,MMC,PG5 Market Station,Closed,Yes
Theft/Iphone 7 Plus 2017-1207-0012,,12/07/2017 06:56 P.M.,12/07/2017 06:56 P.M.,MMC,FIU Arena,Open,No
"",,,,,Ernest R. Graham,,
Sick Or Injured Person 2017-1207-0013,,12/07/2017 09:21 P.M.,12/07/2017 09:21 P.M.,MMC,,Closed,Yes
"",,,,,Center,,
"",,,,,Ernest R. Graham,,
Found Property/Male Wallet 2017-1207-0014,,12/07/2017 11:12 P.M.,12/07/2017 11:12 P.M.,MMC,,Open,Unknown
"",,,,,Center,,
"",,,,,SW 107TH AVE/SW,,
Narcotics Investigation/Arrest 2017-1208-0001,,12/08/2017 12:43 A.M.,12/08/2017 12:43 A.M.,MMC,,Closed,Unknown
"",,,,,6TH ST,,
