Burglary,2015-01099,08/01/2015 02:01 P.M.,08/01/2015 02:01 P.M.,MMC,Graham Center,Open
Burglary,2015-01100,08/01/2015 02:39 P.M.,08/01/2015 02:39 P.M.,MMC,Graham Center,Open
Information Report,2015-01101,08/01/2015 05:49 P.M.,08/01/2015 05:49 P.M.,MMC,Market Place,Closed
Burglary,2015-01102,08/03/2015 12:04 P.M.,08/03/2015 12:04 P.M.,MMC,Lot 4,Open
Theft/Purse,2015-01105,08/03/2015 10:05 P.M.,08/03/2015 10:05 P.M.,MMC,USBCA,Open
"",,,,,US Century Bank,
Theft/Credit Card,2015-01107,08/04/2015 01:47 P.M.,08/04/2015 01:47 P.M.,MMC,,Open
"",,,,,Arena,
Suspicious Person,2015-01110,08/04/2015 04:36 P.M.,08/04/2015 04:36 P.M.,MMC,Primera Casa,Closed
Theft/Bike Seat,2015-01111,08/05/2015 12:23 P.M.,08/05/2015 12:23 P.M.,BBC,Public Safety,Open
Theft/Panther ID Card,2015-01112,08/05/2015 03:00 P.M.,08/05/2015 03:00 P.M.,MMC,AHC 4,Open
"",,,,OFF,NW 181ST ST/NW,
Conduct Investigation,2015-01114,08/06/2015 02:27 P.M.,08/06/2015 02:27 P.M.,,,Closed
"",,,,CAMPUS,27TH AVE,
Conduct Investigation,2015-01115,08/07/2015 07:15 P.M.,08/07/2015 07:15 P.M.,MMC,Market Place,Closed
Assault,2015-01116,08/09/2015 02:36 A.M.,08/09/2015 02:36 A.M.,MMC,University Towers,Closed
"",,,,,School Of International,
Theft/Misc Items,2015-01117,8/11/2015  12:33 P.M.,8/11/2015  12:33 P.M.,MMC,,Open
"",,,,,& Public Affairs,
Traffic Accident,2015-01118,08/11/2015 03:24 P.M.,08/11/2015 03:24 P.M.,CEAS,Engineering Center,Closed
Suspicious Person,2015-01119,08/11/2015 08:47 P.M.,08/11/2015 08:47 P.M.,MMC,University Tower,Closed
Theft/Tablet,2015-01120,08/12/2015 09:39 A.M.,08/12/2015 09:39 A.M.,MMC,Marc Bldg,Closed
Theft/Ipad,2015-01122,08/12/2015 06:12 P.M.,08/12/2015 06:12 P.M.,MMC,11200 SW 8 ST,Open
Conduct Investigation,2015-01124,08/13/2015 09:32 A.M.,08/13/2015 09:32 A.M.,MMC,Primera Casa,Closed
Locate Person,2015-01127,08/13/2015 08:26 P.M.,08/13/2015 08:26 P.M.,BBC,Biscayne Campus,Closed
Narcotics Investigation,2015-01130,08/15/2015 12:04 A.M.,08/15/2015 12:04 A.M.,MMC,Lakeview North,Closed
"",,,,,Modesto A. Maidique,
Information Report,2015-01133,08/18/2015 11:41 A.M.,08/18/2015 11:41 A.M.,MMC,,Closed
"",,,,,Campus,
Arrest/Narcotics Violation,2015-01137,8/19/2015  01:45 A.M.,8/19/2015  01:45 A.M.,MMC,University Apartments,Closed
"",,,,,Ryder Business,
Theft/Cellphone,2015-01138,08/19/2015 10:17 A.M.,08/19/2015 10:17 A.M.,MMC,,Open
"",,,,,Building,
"",,,,OFF,SW 105TH PL/W,
Property Damage,2015-01139,08/19/2015 09:20 P.M.,08/19/2015 09:20 P.M.,,,Closed
"",,,,CAMPUS,FLAGLER ST,
Criminal Mischief,2015-01140,08/20/2015 01:25 P.M.,08/20/2015 01:25 P.M.,MMC,LOT 5,Closed
"",,,,,Panther Residence,
Conduct Investigation,2015-01142,08/21/2015 05:33 P.M.,08/21/2015 05:33 P.M.,MMC,,Closed
"",,,,,Hall,
"",,,,,Academic Health,
Information Report,2015-01145,08/21/2015 06:16 P.M.,08/21/2015 06:16 P.M.,MMC,,Closed
"",,,,,Center 1,
Information Report,2015-01148,08/23/2015 02:52 P.M.,08/23/2015 02:52 P.M.,MMC,11200 SW 8TH ST,Closed
Information Report,2015-01155,08/24/2015 10:04 A.M.,08/24/2015 10:04 A.M.,BBC,Public Safety,Closed
"",,,,,Lakeview Housing,
Arrest/Narcotics,2015-01157,08/24/2015 11:57 A.M.,08/24/2015 11:57 A.M.,MMC,,Closed
"",,,,,South,
Theft/Clothes,2015-01164,08/25/2015 03:43 A.M.,08/25/2015 03:43 A.M.,MMC,Apartments Bldg D,Open
"",,,,,SW 113TH AVE/SW,
Information Report,2015-01169,08/25/2015 12:12 P.M.,08/25/2015 12:12 P.M.,MMC,,Closed
"",,,,,11TH ST,
Theft/Bicycle,2015-01171,08/25/2015 01:58 P.M.,08/25/2015 01:58 P.M.,BBC,Public Safety,Open
Theft/Iphone 5s,2015-01173,08/25/2015 02:36 P.M.,08/25/2015 02:36 P.M.,MMC,University Towers,Open
Conduct Investigation,2015-01174,08/25/2015 03:11 P.M.,08/25/2015 03:11 P.M.,MMC,Marketplace Garage,Closed
Theft/Wallet,2015-01175,08/25/2015 03:42 P.M.,08/25/2015 03:42 P.M.,MMC,Recreation Center,Open
"",,,,OFF,SW 103RD PL/SW,
Information Report,2015-01182,08/26/2015 10:03 A.M.,08/26/2015 10:03 A.M.,,,Closed
"",,,,CAMPUS,24TH ST,
Theft/Iphone 5,2015-01188,08/26/2015 06:13 P.M.,08/26/2015 06:13 P.M.,MMC,Recreation Center,Open
"",,,,,Parkview Housing,
Theft/Box,2015-01189,08/26/2015 08:19 P.M.,08/26/2015 08:19 P.M.,MMC,,Open
"",,,,,West,
