Burglary to Vehicle,2019-1204-0003,12/04/2019 9:33 A.M.,12/04/2019 9:33 A.M.,MMC,PG6 - Tech Station,Open,Yes
Criminal Mischief,2019-1204-0005,12/04/2019 12:53 P.M.,12/04/2019 12:53 P.M.,MMC,Parking Lot 7,Open,Yes
Theft - Dark Grey Wallet,2019-1204-0006,12/04/2019 2:14 P.M.,12/04/2019 2:14 P.M.,MMC,Frost Museum,Open,Yes
Theft - Black Ipad Pro,2019-1204-0008,12/04/2019 7:18 P.M.,12/04/2019 7:18 P.M.,MMC,Green Library,Open,No
Theft - Laptop,2019-1204-0009,12/04/2019 8:57 P.M.,12/04/2019 8:57 P.M.,BBC,Glenn Hubert Library,Open,Yes
Hit & Run,2019-1205-0004,12/05/2019 4:31 P.M.,12/05/2019 4:31 P.M.,CEAS,Parking Lot 1 EC,Open,Yes
Theft - Gold Iphone 11 Pro,,,,,,,
"",2019-1206-0001,12/06/2019 11:01 A.M.,12/06/2019 11:01 A.M.,MMC,Chemistry & Physics,Open,Yes
Max,,,,,,,
"",,,,,University Apartments,,
Harassing Phone calls,2019-1206-0008,12/06/2019 9:51 P.M.,12/06/2019 9:51 P.M.,MMC,,Closed,Yes
"",,,,,Bldg J,,
Trespass Arrest,2019-1207-0005,12/07/2019 04:18 p.m.,12/07/2019 04:18 p.m.,MMC,Green Library,Open,No
Alcohol Violation,2019-1207-0007,12/07/2019 10:58 p.m.,12/07/2019 10:58 p.m.,MMC,Everglades Hall,Open,Yes
Simple Stalking,2019-1208-0003,12/08/2019 01:32 p.m.,12/08/2019 01:32 p.m.,MMC,Engineering Cenrer,No,Yes
Battery/Assault,2019-1208-0005,12/08/2019 07:04 p.m.,12/08/2019 07:04 p.m.,BBC,Bayview Housing,Open,Yes
Theft - Dell Laptop,2019-1209-0005,12/09/2019 12:10 P.M.,12/09/2019 12:10 P.M.,MMC,Green Library,Open,Yes
Theft - Grey Guess,,,,,,,
"",2019-1209-0006,12/09/2019 12:38 P.M.,12/09/2019 12:38 P.M.,MMC,PG6 - Tech Station,Open,No
Backpack,,,,,,,
Criminal Mischief,2019-1209-0007,12/09/2019 12:40 P.M.,12/09/2019 12:40 P.M.,MMC,Everglades Hall,Closed,Yes
"",,,,,Academic Health,,
Hit & Run,2019-1209-0009,12/09/2019 6:37 P.M.,12/09/2019 6:37 P.M.,MMC,,Open,No
"",,,,,Center Parking Lot,,
Assault / Battery,2019-1209-0011,12/09/2019 11:32 P.M.,12/09/2019 11:32 P.M.,MMC,Lakeview North,Open,Yes
Theft - Green Bicycle,2019-1210-0002,12/10/2019 3:20 P.M.,12/10/2019 3:20 P.M.,MMC,Panther Hall,Open,Yes
Arrest - Bench Warrant,2019-1211-0001,12/11/2019 12:26 A.M.,12/11/2019 12:26 A.M.,BBC,Glenn Hubert Library,Closed,No
Theft - White Beats,,,,,,,
"",2019-1212-0005,12/12/2019 7:40 P.M.,12/12/2019 7:40 P.M.,MMC,Chemistry & Physics,Open,Yes
Headphones,,,,,,,
Theft - iPad,2019-1213-0003,12/13/2019 12:39 p.m.,12/13/2019 12:39 p.m.,BBC,Academic Two,Open,No
Narcotics Investigation,2019-1214-0002,12/14/2019 10:27 a.m.,12/14/2019 10:27 a.m.,MMC,University Towers,Closed,Unknown
"",,,,,University,,
Narcotics Investigation,2019-1214-0004,12/14/2019 12:43 p.m.,12/14/2019 12:43 p.m.,MMC,aApartments - Building,Closed,Yes
"",,,,,K,,
Stolen Property - Wallet &,,,,,,,
"",2019-1214-0005,12/14/2019 04:52 p.m.,12/14/2019 04:52 p.m.,EC,Engineering Center,Open,Yes
Keys,,,,,,,
Stolen Property - Macbook,,,,,Rafael Diaz Balart Law,,
"",2019-1214-0006,12/14/2019 06:25 p.m.,12/14/2019 06:25 p.m.,MMC,,Open,Unknown
"& Wallet",,,,,Building,,
"",,,,,Paul Cejas School of,,
Theft - Macbook Laptop,2019-1216-0002,12/16/2019 7:01 A.M.,12/16/2019 7:01 A.M.,MMC,,Open,No
"",,,,,Architecture,,
"",,,,,Wellness & Fitness,,
Trespass (Arrest),2019-1217-0004,12/17/2019 8:37 P.M.,12/17/2019 8:37 P.M.,MMC,,Closed,No
"",,,,,Center,,
Criminal Mischief,2019-1219-0004,12/19/2019 4:53 P.M.,12/19/2019 4:53 P.M.,MMC,Deuxieme Maison,Open,Unknown
Theft - Laptop,2019-1219-0005,12/19/2019 6:08 P.M.,12/19/2019 6:08 P.M.,MMC,Green Library,Open,No
Criminal Mischief,2019-1221-0001,12/21/2019 11:26 a.m.,12/21/2019 11:26 a.m.,MMC,GL,Open,No
"",,,,,Academic Health,,
Theft - Bicycle,2019-1223-0003,12/23/2019 1:42 P.M.,12/23/2019 1:42 P.M.,MMC,,Open,Yes
"",,,,,Center 5,,
Domestic Battery - Arrest,2019-1226-0002,12/26/2019 12:07 P.M.,12/26/2019 12:07 P.M.,BBC,Bayview Housing,Closed,Yes
"",,,,,Campus Support,,
Burglary,2019-1226-0004,12/26/2019 4:53 P.M.,12/26/2019 4:53 P.M.,MMC,,Closed,No
"",,,,,Complex,,
