Harassing or Obscene,,,,,,,
2019-1001-0006,,10/01/2019 2:30 P.M.,10/01/2019 2:30 P.M.,BBC,Bayview Housing,Closed,Yes
Phone calls,,,,,,,
"",,,,,Student Academic,,
Theft - Samsung Cell Phone 2019-1001-0008,,10/01/2019 4:53 P.M.,10/01/2019 4:53 P.M.,MMC,,Open,Yes
"",,,,,Success Center,,
"",,,,,Ernest R. Graham,,
Theft - Skateboard 2019-1001-0010,,10/01/2019 6:45 P.M.,10/01/2019 6:45 P.M.,MMC,,Open,Yes
"",,,,,Center,,
Theft - Earbuds 2019-1002-0002,,10/02/2019 10:10 A.M.,10/02/2019 10:10 A.M.,MMC,Green Library,Open,Yes
Simple Battery 2019-1002-0003,,10/02/2019 11:02 A.M.,10/02/2019 11:02 A.M.,MMC,Soccer Stadium,Closed,Yes
Theft - Purse 2019-1002-0004,,10/02/2019 11:30 A.M.,10/02/2019 11:30 A.M.,MMC,Green Library,Open,Yes
Harassament 2019-1002-0008,,10/02/2019 8:29 P.M.,10/02/2019 8:29 P.M.,MMC,Parkview West,Closed,Yes
Criminal Mischief 2019-1003-0002,,10/03/2019 4:57 P.M.,10/03/2019 4:57 P.M.,MMC,PG6 - Tech Station,Closed,Unknown
Stolen Vehicle 2019-1004-0001,,10/03/2019 11:34 P.M.,10/03/2019 11:34 P.M.,MMC,PG4 - Red Garage,Open,Yes
Theft - Silver Hybird Bike 2019-1004-0004,,10/04/2019 3:33 P.M.,10/04/2019 3:33 P.M.,BBC,Marine Science Bldg,Open,No
"",,,,,Ocean Bank,,
Assault/Battery w/ Injuries 2019-1005-0001,,10/04/2019 11:54 P.M.,10/04/2019 11:54 P.M.,MMC,,Open,Yes
"",,,,,Convocation Center,,
Sex Offense 2019-1005-0004,,10/05/2019 5:32 P.M.,10/05/2019 5:32 P.M.,MMC,Parkview Housing,Closed,Yes
Disturbance 2019-1005-0006,,10/05/2019 6:50 P.M.,10/05/2019 6:50 P.M.,MMC,Everglades Housing,Closed,Yes
Trespass (Arrest) 2019-1005-0007,,10/05/2019 9:44 P.M.,10/05/2019 9:44 P.M.,MMC,Everglades Housing,Closed,No
Narcotics Investigation 2019-1006-0005,,10/06/20191 02:43 a.m.,10/06/20191 02:43 a.m.,MMC,Parkview East,Closed,Yes
Assault/Battery 2019-1007-0007,,10/07/2019 3:48 P.M.,10/07/2019 3:48 P.M.,MMC,PG6 - Tech Station,Closed,Yes
"",,,,,Primary Casa -,,
Criminal Mischief 2019-1008-0002,,10/08/2019 2:45 P.M.,10/08/2019 2:45 P.M.,MMC,,Closed,Yes
"",,,,,Charles E. Perry,,
"",,,,,Primary Casa -,,
Criminal Mischief 2019-1008-0003,,10/08/2019 3:26 P.M.,10/08/2019 3:26 P.M.,MMC,,Open,Unknown
"",,,,,Charles E. Perry,,
Theft - Wallet 2019-1008-0005,,10/08/2019 3:32 P.M.,10/08/2019 3:32 P.M.,MMC,Parking Lot 3,Open,Yes
Fraud 2019-1008-0006,,10/08/2019 4:07 P.M.,10/08/2019 4:07 P.M.,BBC,Public Safety Bldg,Open,Yes
"",,,,,Ernest R. Graham,,
Theft/Laptop 2019-1009-0003,,10/09/2019 10:47 A.M.,10/09/2019 10:47 A.M.,MMC,,Open,No
"",,,,,Center,,
Criminal Mischief 2019-1009-0005,,10/09/2019 12:38 P.M.,10/09/2019 12:38 P.M.,MMC,Panther Garage,Open,Yes
"",,,,,Ernest R. Graham,,
Baker Act 2019-1009-0006,,10/09/2019 11:19 A.M.,10/09/2019 11:19 A.M.,MMC,,Closed,Yes
"",,,,,Center,,
"",,,,,Wellness & Fitness,,
Theft - Laptop 2019-1010-0003,,10/10/2019 11:01 a.m.,10/10/2019 11:01 a.m.,MMC,,Open,Yes
"",,,,,Center,,
Narcotics Investigation 2019-1011-0006,,10/11/2019 04:32 P.M.,10/11/2019 04:32 P.M.,MMC,University Towers,Closed,Yes
Information Report 2019-1012-0008,,10/12/2019 04:58 p.m.,10/12/2019 04:58 p.m.,MMC,Gold Garage,Open,Yes
Hit & Run 2019-1012-0012,,10/12/2019 07:57 p.m.,10/12/2019 07:57 p.m.,MMC,Blue Garage,Open,Yes
Theft - Airpods 2019-1012-0013,,10/12/2019 08:23 p.m.,10/12/2019 08:23 p.m.,MMC,Green Library,Open,Yes
Criminal Mischief 2019-1013-0001,,10/13/2019 12:16 p.m.,10/13/2019 12:16 p.m.,MMC,Parkview West,Open,Yes
Theft - Bicycle 2019-1013-0004,,10/13/2019 10:24 p.m.,10/13/2019 10:24 p.m.,MMC,Owa Ehan,Open,Yes
Assault/Battery 2019-1014-0004,,10/14/2019 6:31 P.M.,10/14/2019 6:31 P.M.,MMC,University Towers,Open,Yes
"",,,,,Ernest R. Graham,,
Theft - Book Bag 2019-1014-0005,,10/14/2019 9:16 P.M.,10/14/2019 9:16 P.M.,MMC,,Open,Yes
"",,,,,Center,,
"",,,,,Academic Health,,
Information Report 2019-1015-0002,,10/15/2019 1:42 P.M.,10/15/2019 1:42 P.M.,MMC,,Closed,No
"",,,,,Center 3,,
"",,,,,Student Academic,,
Theft - Electric Scooter 2019-1015-0005,,10/15/2019 3:54 P.M.,10/15/2019 3:54 P.M.,MMC,,Open,Yes
"",,,,,Success Center,,
"",,,,,Primera Casa -,,
Theft - Microsoft Tablet 2019-1017-0005,,10/17/2019 2:19 P.M.,10/17/2019 2:19 P.M.,MMC,,Open,Yes
"",,,,,Charles E. Perry,,
