Stolen Vehicle',2016-1201-0001,11/30/2016 11:20 P.M.,11/30/2016 11:20 P.M.,MMC,Lot 3,Open,Yes
Fraud,2016-1201-0003,12/01/2016 10:03 A.M.,12/01/2016 10:03 A.M.,MMC,Green Library,Open,Unknown
"",,,,,Ernest R. Graham,,
Conduct Investigation,2016-1201-0004,12/01/2016 12:37 P.M.,12/01/2016 12:37 P.M.,MMC,,Closed,Unknown
"",,,,,Center,,
Conduct Investigation,2016-1201-0006,12/01/2016 03:25 P.M.,12/01/2016 03:25 P.M.,MMC,Owa Ehan,Closed,Unknown
"",,,,,University Apartments,,
Narcotics Investigation,2016-1202-0001,12/01/2016 11:15 P.M.,12/01/2016 11:15 P.M.,MMC,,Closed,Yes
"",,,,,Bldg. J,,
"",,,,,Management &,,
Found Property/Bag w/ Narcotics,2016-1202-0002,12/02/2016 06:51 A.M.,12/02/2016 06:51 A.M.,MMC,,Closed,Unknown
"",,,,,Advanced Research,,
"",,,,,Academic Health,,
Information Report,2016-1202-0004,12/02/2016 11:01 A.M.,12/02/2016 11:01 A.M.,MMC,,Closed,Yes
"",,,,,Center 5,,
Theft/Skateboard,2016-1202-0005,12/02/2016 04:05 P.M.,12/02/2016 04:05 P.M.,MMC,Panther Hall,Open,Yes
"",,,,,University Apartments,,
Attempted Suicide w/ Injuries,2016-1202-0006,12/02/2016 05:44 P.M.,12/02/2016 05:44 P.M.,MMC,,Open,Yes
"",,,,,Bldg. D,,
"",,,,,Modesto A.Maidique,,
Information Report,2016-1203-0001,12/03/2016 07:37 A.M.,12/03/2016 07:37 A.M.,MMC,,Closed,Unknown
"",,,,,Campus,,
Burglary,2016-1203-0002,12/03/201611:25 A.M.,12/03/201611:25 A.M.,MMC,Lot 7,Open,Unknown
Robbery,2016-1203-0004,12/03/2016 05:12 P.M.,12/03/2016 05:12 P.M.,MMC,Field House,Open,No
Narcotics Investigation,2016-1203-0005,12/03/2016 09:04 P.M.,12/03/2016 09:04 P.M.,MMC,Panther Hall,Closed,Yes
"",,,,,Modesto A. Maidique,,
Criminal Mischief,2016-1205-0003,12/05/2016 01:56 P.M.,12/05/2016 01:56 P.M.,MMC,,Open,Yes
"",,,,,Campus,,
Theft/Aderol Medicine,2016-1205-0006,12/05/2016 03:43 P.M.,12/05/2016 03:43 P.M.,MMC,University Tower,Open,Yes
Information Reports,2016-1205-0008,12/05/2016 05:55 P.M.,12/05/2016 05:55 P.M.,MMC,Market Station Garage,Closed,Yes
Theft/Iphone,2016-1205-0009,12/05/2016 07:33 P.M.,12/05/2016 07:33 P.M.,MMC,Blue Garage,Open,Yes
