Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
17-1556,4/9/16,4/9/17,Assist Other Agency
17-0292,11/17/16,4/1/16,Theft
16-5760,12/31/16,12/31/16,Ill Aided
16-5759,12/31/16,12/31/16,Disorderly Conduct
16-5758,12/30/16,12/30/16,Driving Under Suspension
16-5753,12/30/16,12/30/16,Possession Of Drugs
16-5752,12/29/16,12/29/16,Burglary
16-5748,12/29/16,12/29/16,Traffic Crash-Property Damage-Hit Skip
16-5747,12/29/16,12/10/16,Theft
16-5746,12/29/16,12/29/16,Theft
16-5743,12/29/16,12/29/16,Theft
16-5739,12/29/16,12/29/16,Administrative Information
16-5736,12/28/16,12/28/16,Driving Under Suspension
16-5734,12/28/16,12/28/16,Criminal Trespass
16-5726,12/28/16,12/28/16,Drug Paraphernalia
16-5725,12/28/16,12/28/16,Theft
16-5724,12/28/16,12/27/16,Breaking and Entering
16-5724,12/28/16,12/27/16,Breaking and Entering
16-5723,12/28/16,10/20/16,Theft
16-5722,12/28/16,12/28/16,Driving Under Suspension
16-5718,12/27/16,12/27/16,Theft
16-5716,12/27/16,12/27/16,Administrative Information
16-5714,12/27/16,12/27/16,Telecommunications Harassment
16-5713,12/26/16,12/26/16,Carrying Concealed Weapon
16-5709,12/26/16,12/26/16,Assist Other Agency
16-5707,12/27/16,12/27/16,Supplement
16-5707,12/26/16,12/26/16,Possession Of Drugs
16-5705,12/24/16,12/24/16,Theft (From Auto)
16-5704,12/24/16,12/24/16,Property Impound
16-5700,12/23/16,12/23/16,Robbery
16-5698,12/23/16,12/23/16,Drug Paraphernalia
16-5696,12/22/16,12/22/16,Possession Of Drugs
16-5693,12/22/16,12/22/16,Administrative Information
16-5689,12/21/16,12/21/16,Domestic Violence
16-5686,12/21/16,12/21/16,Possession Of Drugs
16-5684,12/21/16,12/21/16,Disorderly Conduct
16-5682,12/21/16,12/21/16,Theft
16-5680,12/21/16,12/15/16,Passing Bad Checks
16-5679,12/21/16,12/21/16,Possession Of Drugs
16-5678,12/21/16,12/21/16,Administrative Information
16-5675,12/21/16,12/21/16,Disorderly Conduct
16-5672,12/20/16,12/20/16,Theft
16-5670,12/20/16,12/20/16,Traffic Crash-Property Damage
16-5668,12/20/16,12/19/16,Breaking and Entering
16-5666,12/20/16,12/20/16,Driving Under Suspension
16-5664,12/19/16,12/19/16,Possession Of Drugs
16-5662,12/19/16,12/19/16,Possessing Drug Abuse Instruments
16-5660,12/19/16,12/19/16,Traffic Crash-Property Damage
16-5656,12/19/16,12/19/16,Administrative Information
16-5651,12/18/16,12/18/16,Drug Paraphernalia
16-5649,12/17/16,12/17/16,Traffic Crash-Property Damage
16-5647,12/16/16,12/16/16,Criminal Trespass
16-5645,12/16/16,12/16/16,Drug Paraphernalia
16-5644,12/16/16,12/16/16,Theft
16-5640,12/16/16,12/16/16,Disorderly Conduct
16-5639,12/16/16,12/16/16,Disorderly Conduct
16-5638,12/16/16,12/16/16,Offenses Involving Underage Persons
16-5634,12/15/16,12/15/16,Ill Aided
16-5632,12/15/16,12/15/16,Disorderly Conduct
16-5631,12/15/16,12/15/16,Drug Paraphernalia
16-5628,12/15/16,12/6/16,Theft
16-5627,12/15/16,12/15/16,Assist Other Agency
16-5626,12/15/16,12/15/16,Traffic Crash-Property Damage
16-5624,12/15/16,12/15/16,Theft
16-5623,12/15/16,12/15/16,Administrative Information
16-5621,12/15/16,12/15/16,Ill Aided
16-5620,12/14/16,12/14/16,Possession Of Drugs
16-5619,12/14/16,12/14/16,Assault
16-5616,12/14/16,12/14/16,Drug Paraphernalia
16-5614,12/14/16,12/11/16,Traffic Crash-Property Damage-Hit Skip
16-5613,12/14/16,12/14/16,Possession Of Drugs
16-5610,12/14/16,12/14/16,Ill Aided
16-5609,12/14/16,12/14/16,Ill Aided
16-5608,12/14/16,12/13/16,Passing Bad Checks
16-5607,12/14/16,12/14/16,Traffic Crash-Property Damage
16-5606,12/13/16,12/13/16,Assist Other Agency
16-5605,12/13/16,12/13/16,Ill Aided
16-5603,12/13/16,12/12/16,Traffic Crash-Property Damage-Hit Skip
16-5602,12/13/16,12/13/16,Theft
16-5601,12/13/16,12/13/16,Disorderly Conduct
16-5600,12/13/16,12/13/16,Telecommunications Harassment
16-5599,12/13/16,12/13/16,Possession Of Drugs
16-5598,12/13/16,12/13/16,Ill Aided
16-5595,12/13/16,10/30/16,Administrative Information
16-5594,12/13/16,12/13/16,Theft (From Auto)
16-5592,12/13/16,12/13/16,Traffic Crash-Injury
16-5591,12/13/16,12/13/16,Traffic Crash-Injury
16-5588,12/12/16,12/12/16,Possession Of Drugs
16-5585,12/12/16,12/12/16,Assist Other Agency
16-5583,12/12/16,12/10/16,Theft
16-5581,12/12/16,12/12/16,Traffic Crash-Property Damage
16-5580,12/12/16,12/12/16,Administrative Information
16-5579,12/12/16,12/11/16,Administrative Information
16-5578,12/12/16,12/12/16,Ill Aided
16-5577,12/12/16,12/10/16,Theft
16-5576,12/12/16,12/12/16,Ill Aided
16-5575,12/12/16,12/12/16,Administrative Information
16-5573,12/11/16,12/11/16,Theft
16-5572,12/11/16,12/11/16,Offenses Involving Underage Persons
16-5570,12/11/16,12/11/16,Domestic Violence
16-5569,12/11/16,12/11/16,Misuse of Credit Cards
16-5568,12/11/16,12/11/16,Disorderly Conduct
16-5567,12/11/16,12/10/16,Theft
16-5565,12/10/16,12/10/16,Burglary
16-5564,12/10/16,12/9/16,Administrative Information
16-5559,12/10/16,12/10/16,OVI
16-5558,12/10/16,12/10/16,Offenses Involving Underage Persons
16-5555,12/9/16,12/9/16,Possession Of Drugs
16-5554,12/9/16,12/9/16,Traffic Crash-Injury
16-5553,12/9/16,12/9/16,Assault
16-5552,12/9/16,12/9/16,Traffic Crash-Property Damage
16-5549,12/9/16,12/8/16,Theft
16-5548,12/9/16,12/7/16,Graffitism
16-5547,12/9/16,12/8/16,Theft
16-5544,12/9/16,12/9/16,Traffic Crash-Property Damage
16-5542,12/9/16,12/8/16,Criminal Damaging
16-5540,12/9/16,12/9/16,Administrative Information
16-5539,12/9/16,12/9/16,Drug Paraphernalia
16-5538,12/9/16,12/9/16,Criminal Trespass
16-5536,12/8/16,12/2/16,Theft
16-5535,12/8/16,12/8/16,Possession Of Drugs
16-5534,12/8/16,12/6/16,Graffitism
16-5533,12/8/16,12/8/16,Drug Paraphernalia
16-5532,12/8/16,12/6/16,Criminal Mischief
16-5525,12/7/16,12/7/16,Theft
16-5525,12/20/16,12/7/16,Theft
16-5524,12/7/16,12/7/16,Ill Aided
16-5523,12/7/16,12/1/16,Theft
16-5523,12/13/16,12/13/16,Supplement
16-5521,12/7/16,12/7/16,Disorderly Conduct
16-5516,12/7/16,8/23/16,Theft
16-5512,12/7/16,12/7/16,Drug Paraphernalia
16-5507,12/6/16,12/2/16,Theft (From Auto)
16-5505,12/6/16,12/5/16,Theft
16-5504,12/6/16,12/6/16,Ill Aided
16-5501,12/6/16,12/6/16,Drug Paraphernalia
16-5500,12/6/16,12/5/16,Theft
16-5499,12/6/16,12/6/16,Administrative Information
16-5498,12/6/16,12/6/16,Theft (Of Auto)
16-5497,12/6/16,12/2/16,Criminal Damaging
16-5495,12/6/16,12/6/16,Disorderly Conduct
16-5493,12/6/16,12/6/16,Assist Other Agency
16-5492,12/5/16,12/5/16,Possession Of Drugs
16-5488,12/5/16,12/5/16,Traffic Crash-Property Damage
16-5487,12/5/16,12/5/16,Administrative Information
16-5485,12/5/16,12/5/16,Ill Aided
16-5484,12/5/16,12/5/16,Ill Aided
16-5483,12/5/16,12/5/16,Administrative Information
16-5481,12/5/16,12/5/16,Administrative Information
16-5479,12/5/16,11/28/16,Telecommunications Harassment
16-5477,12/5/16,12/5/16,Traffic Crash-Property Damage-Hit Skip
16-5474,12/5/16,12/5/16,Assault
16-5472,12/4/16,12/4/16,Assault
16-5471,12/4/16,12/4/16,Theft
16-5467,12/4/16,12/4/16,Traffic Crash-Property Damage
16-5465,12/4/16,12/4/16,Traffic Crash-Property Damage
16-5464,12/4/16,12/4/16,Offenses Involving Underage Persons
16-5463,12/4/16,12/4/16,Traffic Crash-Property Damage-Hit Skip
16-5462,12/3/16,12/3/16,Ill Aided
16- 5461,12/3/16,12/3/16,Criminal Trespass
16-5460,12/3/16,12/3/16,Ill Aided
16-5458,12/3/16,12/3/16,Traffic Crash-Property Damage
16-5457,12/3/16,12/3/16,Prohibited Acts
16-5455,12/3/16,12/3/16,Assist Other Agency
16-5454,12/3/16,12/3/16,Disorderly Conduct
16-5453,12/3/16,12/3/16,Offenses Involving Underage Persons
16-5452,12/3/16,12/3/16,Criminal Damaging
16-5443,12/2/16,12/2/16,Disorderly Conduct
16-5442,12/2/16,12/2/16,Theft
16-5439,12/2/16,12/2/16,Traffic Crash-Property Damage
16-5436,12/2/16,12/2/16,Traffic Crash-Property Damage
16-5433,12/2/16,10/7/16,Theft
16-5432,12/2/16,11/23/16,Theft (Of Bicycle)
16-5431,12/2/16,12/2/16,Traffic Crash-Injury
16-5430,12/2/16,12/2/16,Traffic Crash-Property Damage
16-5429,12/2/16,12/2/16,Traffic Crash-Property Damage
16-5428,12/2/16,12/2/16,Possession Of Drugs
16-5426,12/1/16,12/1/16,Ill Aided
16-5425,12/1/16,12/1/16,Assault
16-5423,12/1/16,12/1/16,Theft
16-5422,12/1/16,12/1/16,Traffic Crash-Property Damage
16-5421,12/1/16,12/1/16,Traffic Crash-Property Damage
16-5420,12/1/16,12/1/16,Possession Of Drugs
16-5419,12/1/16,12/1/16,Traffic Crash-Property Damage
16-5417,12/1/16,12/1/16,Theft
16-5415,12/1/16,10/25/16,Passing Bad Checks
16-5415,12/1/16,10/25/16,Passing Bad Checks
16-5413,12/1/16,11/30/16,Administrative Information
16-5412,12/1/16,12/1/16,Ill Aided
16-5409,12/1/16,12/1/16,Criminal Trespass
16-5409,12/2/16,12/2/16,Supplement
16-5407,11/30/16,11/30/16,Traffic Crash-Injury-Hit Skip
16-5406,11/30/16,11/30/16,Traffic Crash-Property Damage
16-5405,11/30/16,11/30/16,Administrative Information
16-5404,11/30/16,11/28/16,Theft
16-5403,11/30/16,11/30/16,Prohibited Acts
16-5402,11/30/16,11/30/16,Possessing Drug Abuse Instruments
16-5401,11/30/16,11/30/16,Theft
16-5401,12/1/16,12/1/16,Supplement
16-5400,11/30/16,11/30/16,Ill Aided
16-540,9/19/16,9/19/16,Supplement
16-5399,11/30/16,11/30/16,Administrative Information
