Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
15-5320,12/31/15,11/4/15,Theft
15-5319,12/31/15,12/31/15,Traffic Crash-Property Damage
15-5317,12/31/15,12/30/15,Theft
15-5314,12/30/15,12/30/15,Ill Aided
15-5313,12/30/15,12/30/15,Possession of Drugs
15-5312,12/30/15,12/30/15,Traffic Crash-Property Damage-Hit Skip
15-5306,12/29/15,12/29/15,Traffic Crash-Property Damage-Hit Skip
15-5305,12/29/15,12/29/15,Theft
15-5304,12/29/15,12/29/15,Possession of Drugs
15-5303,12/29/15,12/29/15,Assist Other Agency
15-5295,12/29/15,12/29/15,Traffic Crash-Property Damage-Hit Skip
15-5289,12/28/15,12/28/15,Theft
15-5288,12/28/15,12/28/15,Theft
15-5288,12/30/15,12/30/15,Supplement
15-5285,12/27/15,12/27/15,Possession of Drugs
15-5284,12/27/15,12/27/15,Assist Other Agency
15-5283,12/26/15,12/26/15,Driving Under Suspension
15-5281,12/25/15,12/25/15,Possession of Drugs
15-5277,12/24/15,12/24/15,Drug Paraphernalia
15-5276,12/24/15,12/24/15,Assist Other Agency
15-5275,12/23/15,12/23/15,Drug Paraphernalia
15-5274,12/23/15,12/17/15,Theft
15-5272,12/23/15,12/23/15,Drug Paraphernalia
15-5269,12/23/15,11/17/14,Deception to Obtain Dangerous Drug
15-5268,12/23/15,4/16/11,Deception to Obtain Dangerous Drug
15-5267,12/23/15,8/12/13,Deception to Obtain Dangerous Drug
15-5266,12/23/16,12/23/15,Administrative Information
15-5265,12/23/15,12/23/15,Receiving Stolen Property
15-5256,12/22/15,12/22/15,Drug Paraphernalia
15-5255,12/22/15,12/22/15,Obstructing Official Business
15-5254,12/22/15,12/18/15,Theft
15-5253,12/22/15,12/22/15,Traffic Crash-Injury
15-5252,12/22/15,12/22/15,Theft
15-5248,12/22/15,12/22/15,Assault
15-5246,12/21/15,12/21/15,Possession of Drugs
15-5244,12/21/15,12/21/15,Theft
15-5239,12/21/15,12/21/15,Assist Other Agency
15-5238,12/21/15,12/21/15,Possession of Drugs
15-5237,12/21/15,12/21/15,Traffic Crash-Property Damage
15-5235,12/21/15,12/21/15,Theft
15-5234,12/21/15,12/16/15,Theft
15-5232,12/20/15,12/19/15,Theft
15-5230,12/20/15,12/14/15,Theft
15-5225,12/20/15,12/20/15,Criminal Trespass
15-5224,12/20/15,12/20/15,Disorderly Conduct
15-5222,12/20/15,12/20/15,OVI
15-5221,12/19/15,12/19/15,Assist Other Agency
15-5220,12/19/15,12/17/15,Theft
15-5219,12/19/15,12/13/15,Theft (Of Bicycle)
15-5217,12/18/15,12/18/15,Public Urination
15-5209,12/18/15,12/18/15,Public Urination
15-5208,12/18/15,12/18/15,Drug Paraphernalia
15-5206,12/18/15,12/18/15,Drug Abuse  Instruments
15-5205,12/18/15,12/17/15,Theft
15-5203,12/18/15,12/18/15,Traffic Crash-Property Damage
15-5202,12/18/15,12/15/15,Theft
15-5201,12/18/15,12/18/15,Traffic Crash-Property Damage
15-5200,12/18/15,12/18/15,Traffic Crash-Property Damage
15-5196,12/17/15,12/17/15,Drug Paraphernalia
15-5185,12/17/15,12/17/15,Theft
15-5182,12/17/15,12/17/15,Obstructing Official Business
15-5164,12/17/15,12/17/15,Traffic Crash-Property Damage
15-5155,12/16/15,12/16/15,Theft
15-5150,12/16/15,12/16/15,Drug Paraphernalia
15-5146,12/16/15,12/16/15,Theft
15-5144,12/16/15,12/14/15,Theft
15-5141,12/16/15,12/16/15,Criminal Trespass
15-5141,12/23/15,12/23/15,Supplement
15-5140,12/15/15,12/15/15,Traffic Crash-Property Damage-Hit Skip
15-5138,12/15/15,12/15/15,Ill Aided
15-5137,12/15/15,12/15/15,Theft
15-5136,12/15/15,12/15/15,Assault
15-5135,12/15/15,12/15/15,Ill Aided
15-5132,12/15/15,12/14/15,Theft
15-5131,12/15/15,12/15/15,Falsification
15-5130,12/15/15,12/15/15,Ill Aided
15-5124,12/14/15,12/14/15,Theft
15-5123,12/14/15,12/14/15,Traffic Crash-Property Damage-Hit Skip
15-5122,12/14/15,12/14/15,Traffic Crash-Injury
15-5121,12/14/15,12/14/15,Assist Other Agency
15-5120,12/14/15,12/14/15,Traffic Crash-Property Damage-Hit Skip
15-5119,12/14/15,12/14/15,Theft
15-5118,12/14/15,12/13/15,Theft
15-5117,12/14/15,12/14/15,Theft
15-5115,12/14/15,12/11/15,Theft
15-5115,12/24/15,12/24/15,Supplement
15-5113,12/13/15,12/13/15,Possession of Drugs
15-5107,12/13/15,12/13/15,Theft
15-5103,12/13/15,12/3/16,Theft
15-5103,12/13/15,12/13/15,Supplement
15-5101,12/13/15,12/13/15,Possession of Drugs
15-5100,12/13/15,12/13/15,Possessing Drug Abuse Instruments
15-5099,12/13/15,12/13/15,Traffic Crash-Property Damage
15-5097,12/13/15,12/13/15,Possession of Drugs
15-5096,12/13/15,12/13/15,OVI
15-5095,12/13/15,12/13/15,Assist Other Agency
15-5093,12/12/15,12/12/15,Disorderly Conduct
15-5090,12/12/15,12/12/15,Ill Aided
15-5085,12/12/15,12/12/15,Telecommunications Harassment
15-5081,12/12/15,12/12/15,Aggravated Menacing
15-5073,12/11/15,12/7/15,Traffic Crash-Property Damage-Hit Skip
15-5072,12/11/15,12/11/15,Ill Aided
15-5071,N/A,11/24/15,Traffic Crash-Property Damage-Hit Skip
15-5070,12/11/15,12/10/15,Theft
15-5070,12/18/15,12/10/15,Supplement
15-5066,12/11/15,12/11/15,Theft
15-5064,12/11/15,12/11/15,Theft
15-5061,12/11/15,12/11/15,Traffic Crash-Property Damage
15-5060,12/11/15,12/11/15,Traffic Crash-Property Damage
15-5058,12/11/15,12/11/15,Drug Paraphernalia
15-5055,12/10/15,12/10/15,Drug Paraphernalia
15-5054,12/10/15,12/2/15,Theft
15-5053,12/10/15,12/10/15,Drug Paraphernalia
15-5052,12/10/15,12/10/15,Drug Paraphernalia
15-5051,12/10/15,12/10/15,Administrative Information
