"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS16-01-01-000001","UPD","01/01/16 01:44","","WASHINGTON STREET Common Name: WASHINGTON STREET Location Detail: @CONGRESS","CONVERSION_TRAFFIC ONE-WAY TRAFFIC - ROTARY ISLANDS 4511.32","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-01-000005","UPD-160001","01/01/16 02:36","01/01/16 02:36","EAST UNION STREET Common Name: PILCHER HOUSE","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-02-011920","UPD","01/02/16 14:21","","59 EAST GREEN DRIVE Common Name: SHIVELY HALL","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-02-011924","UPD","01/02/16 18:53","","CENTRAL FOOD LOT Common Name: PARKING LOT 143 Location Detail: TO POST 5","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-03-011938","UPD","01/03/16 18:32","","SHAFER STREET Common Name: SHAFER STREET Location Detail: WEST UNION STREET","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-03-011939","UPD","01/03/16 18:52","","SHAFER STREET Common Name: SHAFER STREET Location Detail: RICHLAND","TRAFFIC HIGHWAY TRAFFIC SIGNAL INDICATIONS 4511.13","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-03-011941","UPD","01/03/16 20:09","","UNION STREET Common Name: UNION STREET","TRAFFIC MARKED LANES 4511.33A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-03-011942","UPD","01/03/16 20:45","","SHAFER STREET Common Name: SHAFER STREET Location Detail: UNION","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-03-011943","UPD","01/03/16 21:02","","SHAFER STREET Common Name: SHAFER STREET","CONVERSION_TRAFFIC TAIL LIGHTS AND ILLUMINATION OF REAR LICENSE PLATE 4513.05","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-01-03-011944","UPD","01/03/16 21:22","","STATE ROUTE 682 Common Name: STATE ROUTE 682","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
