"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS15-07-01-005416","UPD-150714","07/01/15 00:53","07/01/15 00:53","EAST UNION STREET Common Name: PUTNAM HALL Location Detail: MUSIC","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-01-005429","UPD","07/01/15 11:22","","100 WEST GREEN DRIVE Common Name: BOYD","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-01-005432","UPD-150715","07/01/15 13:48","07/01/15 08:30","SOUTH GREEN DRIVE Common Name: PARKING LOT 87","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-01-005437","UPD","07/01/15 15:34","","SOUTH GREEN DR.- PEDEN REAR Common Name: PARKING LOT 133 Location Detail: 2ND ROW END NEAR PEDEN STADIUM","ANIMAL COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-01-005443","UPD-150716","07/01/15 18:27","07/01/15 11:00","SOUTH GREEN DRIVE Common Name: PARKING LOT 87","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005451","UPD","07/02/15 01:29","","WEST GREEN DRIVE Common Name: WEST GREEN DRIVE Location Detail: RICHLAND","TRAFFIC LANES OF TRAVEL 4511.25","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005452","UPD","07/02/15 02:03","","PARK PLACE Common Name: ALDEN LIBRARY","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005453","UPD-150717","07/02/15 02:03","07/02/15 02:03","","OPERATING A VEHICLE UNDER THE INFLUENCE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005459","UPD","07/02/15 09:24","","WASHINGTON STREET Common Name: WASHINGTON STREET Location Detail: OUTSIDE MUNICIPAL BUILDING","RECOVERED PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005461","UPD-150718","07/02/15 10:24","06/12/15 00:01","Common Name: ACADEMIC RESEARCH CENTER","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005465","UPD","07/02/15 13:43","","VAN VORHEES & RACE Common Name: MORTON HALL Location Detail: 2ND FLOOR","CONVERSION_LARCENY-THEFT THEFT FROM ANY COIN-OPERATED MACHINES 2911","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005472","UPD","07/02/15 15:51","","S. COLLEGE STREET Common Name: RADIO-TELEVISION Location Detail: ENOUNCIATOR PANEL/FIRE WATCH","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005478","UPD","07/02/15 20:43","","WASHINGTON STREET Common Name: WASHINGTON STREET","TRAFFIC FAILURE TO DISPLAY LIC. PLATE/STICKER 4503.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005479","UPD","07/02/15 21:40","","SHAFER STREET Common Name: SHAFER STREET Location Detail: AT LOT 125","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-02-005482","UPD","07/02/15 22:49","","S. COLLEGE STREET Common Name: RADIO-TELEVISION Location Detail: GROUND FLOOR","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-07-03-005488","UPD","07/03/15 01:03","","WEST GREEN DRIVE Common Name: WEST GREEN DRIVE Location Detail: RICHLAND","TRAFFIC LANES OF TRAVEL 4511.25","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
