"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS14-04-01-002863","UPD","04/01/14 00:17","","71 SOUTH GREEN DRIVE Common Name: CRAWFORD Location Detail: 4TH FLOOR","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-01-002870","UPD-140341","04/01/14 10:02","03/23/14 21:30","MCKINLEY RESIDENTIAL LOT Common Name: PARKING LOT 50","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-01-002871","UPD","04/01/14 12:05","","SOUTH GREEN DRIVE Common Name: ADAMS HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-01-002880","UPD-140343","04/01/14 17:06","04/01/14 11:00","RICHLAND AVENUE Common Name: GROVER CENTER","CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002884","UPD-140344","04/02/14 00:05","04/02/14 00:05","35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: STAIRWELL","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002885","UPD","04/02/14 00:43","","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002889","UPD","04/02/14 03:32","","130 SOUTH GREEN DRIVE Common Name: ATKINSON Location Detail: FIRST FLOOR MEN'S RESTROOM","DESTRUCTION OF PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002893","UPD-140345","04/02/14 07:27","04/01/14 23:00","131 SOUTH GREEN DRIVE Common Name: SMITH HOUSE","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002894","UPD-140346","04/02/14 07:56","04/01/14 21:00","MCCRACKEN REAR Common Name: PARKING LOT 43","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002902","UPD-140348","04/02/14 14:49","03/12/14 18:00","Common Name: BOYD GARAGE","CONVERSOIN LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002905","UPD-140349","04/02/14 15:07","03/29/14 23:00","55 HOSPITAL DRIVE Common Name: O'BLENESS MEMORIAL HOSPIT","RAPE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-02-002908","UPD","04/02/14 16:22","","99 WEST GREEN DRIVE Common Name: TREUDLEY HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002921","UPD-140351","04/02/14 23:48","04/02/14 23:48","126 SOUTH GREEN DRIVE Common Name: BROUGH Location Detail: ROOM 427","DRUG OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002922","UPD-140352","04/03/14 00:55","04/03/14 00:55","128 SOUTH GREEN DRIVE Common Name: WELD HOUSE Location Detail: ROOM # 135","TELECOMMUNICATIONS HARASSMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002942","UPD","04/03/14 16:58","","69 SOUTH GREEN DRIVE Common Name: BROWN HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002944","UPD-140353","04/03/14 17:10","04/03/14 00:00","","DRUG OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002945","UPD-140354","04/03/14 17:10","04/01/14 19:35","1 PARK PLACE Common Name: BAKER STUDENT CENTER Location Detail: WEST 82","CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002950","UPD","04/03/14 20:45","","123 SOUTH GREEN DRIVE Common Name: O'BLENESS HOUSE Location Detail: 1ST FLOOR STAIRWELL","ANIMAL COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002952","UPD-140355","04/03/14 21:55","04/03/14 21:55","SOUTH GREEN Common Name: SOUTH GREEN Location Detail: POSSIBLY NEAR BROWN/PICKERING HALL","DESTRUCTION OF PROPERTY","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-03-002953","UPD","04/03/14 22:20","","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: ROOM 276","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-04-002968","UPD","04/04/14 10:04","","1 PARK PLACE Common Name: BAKER STUDENT CENTER","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-04-002972","UPD","04/04/14 12:29","","STATE STREET Common Name: EAST STATE STREET Location Detail: AT CVS","RECKLESS DRIVER","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-04-002974","UPD-140356","04/04/14 12:47","04/04/14 12:47","RICHLAND AVENUE Common Name: RESEARCH AND TECHNOLOGY C","TRAFFIC CRASH ","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-04-04-002973","UPD","04/04/14 12:47","","Common Name: JEFFERSON GARAGE","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
