"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS19-07-01-007000","UPD-190614","07/01/19 00:15","07/01/19 00:15","Common Name: RICHLAND AVENUE Location Detail: JUST BEFORE DAIRY LANE, ATHENS, OH 45701","TRAFFIC DRIVING UNDER CHILD SUPPORT SUSP. 4510.111","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007001","UPD","07/01/19 00:33","","57 EAST GREEN DRIVE Common Name: PERKINS HALL Location Detail: ROOM 127A/HEAT DETECTOR, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007002","UPD","07/01/19 00:43","","48 EAST GREEN STREET Common Name: READ HALL Location Detail: MECHANICAL ROOM/HEAT DETECTOR","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007003","UPD-190615","07/01/19 00:51","07/01/19 00:51","Common Name: CONGRESS STREET Location Detail: @UNION STREET, ATHENS, OH 45701","TRAFFIC DRIVING UNDER LICENSE FORFEITURE SUSPENSION 4510.22","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007004","UPD","07/01/19 01:06","","51 EAST GREEN STREET Common Name: BIDDLE HALL Location Detail: ROOM 122/ MECHANICAL ROOM, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007016","UPD","07/01/19 11:40","","Common Name: MULBERRY ST","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007017","UPD","07/01/19 12:21","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: AT ATKINSON LOOP, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007024","UPD","07/01/19 15:08","","71 Common Name: COPELAND HALL Location Detail: 612, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-01-007030","UPD","07/01/19 19:23","","16 Common Name: IRVINE HALL, ATHENS, OH 45701","CONVERSION_LARCENY-THEFT THEFT - ALL OTHER 2913","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-03-007063","UPD-190616","07/03/19 09:28","07/03/19 09:28","Common Name: SHAFER STREET Location Detail: AT HOSPITAL DRIVE, ATHENS, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-03-007067","UPD-190617","07/03/19 13:23","07/03/19 13:23","W CIRCLE DR Common Name: WEST CIRCLE DRIVE Location Detail: BETWEEN TREUDLEY AND SARGENT HALLS, ATHENS, OH 45701","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-03-007068","UPD-190618","07/03/19 13:48","07/03/19 13:48","Common Name: RICHLAND AVENUE Location Detail: AT PRESIDENT STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-03-007071","UPD","07/03/19 15:08","","Common Name: 31 SOUTH COURT STREET Location Detail: DOWNSTAIRS HALLWAY?, ATHENS, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-04-007082","UPD","07/04/19 01:12","","101 EAST UNION Common Name: JEFFERSON HALL, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-04-007088","UPD-190619","07/04/19 08:11","07/03/19 03:15","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: COLUMBUIS - RED, WHITE AND BOOM","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-07-04-007090","UPD","07/04/19 09:21","","Common Name: COURT STREET Location Detail: AT UNION STREET, ATHENS, OH 45701","TRAFFIC DETAIL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
