"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS16-04-01-003597","UPD-160561","04/01/16 00:03","04/01/16 00:03","RICHLAND AVENUE Common Name: RICHLAND AVENUE","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003598","UPD","04/01/16 00:30","","97 SOUTH GREEN DRIVE Common Name: CARR HALL Location Detail: ROOM 464","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003600","UPD-160562","04/01/16 01:33","04/01/16 01:33","SOUTH GREEN Common Name: SOUTH GREEN Location Detail: NEAR SOUTH GREEN MAINTENANCE SHOP","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003601","UPD-160563","04/01/16 02:13","04/01/16 02:13","UNION STREET Common Name: UNION STREET Location Detail: BOTTOM OF JEFF HILL","FICTITIOUS/ALTERED ID","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003602","UPD","04/01/16 02:37","","MILL STREET Common Name: MILL STREET Location Detail: @KURTZ","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003603","UPD","04/01/16 02:54","","MILL STREET Common Name: MILL STREET Location Detail: IN FRONT OF 69","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003604","UPD","04/01/16 03:32","","68 SOUTH GREEN DRIVE Common Name: PICKERING HALL Location Detail: 2ND FLOOR HALLWAY NEAR ROOM 213","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003607","UPD","04/01/16 07:44","","Common Name: BOBCAT LANE","TRAFFIC DETAIL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003611","UPD-160564","04/01/16 10:10","04/01/16 01:27","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: 216","TRESPASSING OFFENSES","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003612","UPD-160565","04/01/16 10:42","03/22/16 00:00","95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: S211","CONVERSION LARCENY-THEFT THEFT - FROM BUILDINGS - FELONY 2913.02","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003613","UPD-160566","04/01/16 11:03","01/01/00 00:00","UNIVERSITY TERRACE Common Name: ELLIS HALL Location Detail: ELEVATOR","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003615","UPD","04/01/16 11:53","","Common Name: BOBCAT LANE","TRAFFIC DETAIL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003616","UPD","04/01/16 11:56","","STEWART STREET Common Name: PARKING LOT 104 Location Detail: BROWN FORD EDGE IN LOT 104","ANIMAL COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003622","UPD-160567","04/01/16 12:56","04/01/16 12:25","OXBOW TRAIL Common Name: STOCKER HALL Location Detail: 114","CONVERSION LARCENY-THEFT THEFT - FROM BUILDINGS - FELONY 2913.02","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-04-01-003623","UPD-160568","04/01/16 13:41","04/01/16 12:30","127 SOUTH GREEN DRIVE Common Name: MARTZOLFF HOUSE","THEFT OFFENSE","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
