"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS16-07-01-006495","UPD","07/01/16 07:35","","EAST GREEN Common Name: EAST GREEN","NOISE COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-01-006505","UPD","07/01/16 15:35","","PARK PLACE Common Name: GORDY HALL","CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-01-006509","UPD-160928","07/01/16 21:30","06/18/16 20:00","Common Name: BOTANICAL RESEARCH Location Detail: OUTSIDE NEAR MORTON HALL","CONVERSION_LARCENY-THEFT THEFT - ALL OTHER 2913","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-02-006520","UPD-160929","07/02/16 02:38","07/02/16 02:38","RIDGES PROPERTY Common Name: RIDGES","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-03-006535","UPD","07/03/16 01:31","","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: CONSTRUCTION AREA IN FRONT OF THE CONVO","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-04-006553","UPD-160930","07/04/16 02:53","07/04/16 02:53","WEST UNION STREET Common Name: LASHER HALL Location Detail: DUMPSTER IN REAR","CONVERSION FIRE FIRE OUTSIDE (NO STRUCTURE INVOLVED)","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-04-006560","UPD","07/04/16 14:15","","SHAFER STREET Common Name: SHAFER STREET","TRAFFIC LANES OF TRAVEL 4511.25","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-04-006565","UPD","07/04/16 22:00","","EAST STATE STREET Common Name: EAST STATE STREET","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-05-006589","UPD","07/05/16 22:05","","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: 8880 ELLIOTTSVILLE RD, ATHENS","CONVRESION_OPERATIONS OUTSTANDING WARRANTS","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-07-05-006590","UPD-160932","07/05/16 22:25","07/05/16 22:25","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: 363 RICHLAND/SUMMIT APT 206","CONVRESION_OPERATIONS OUTSTANDING WARRANTS","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
