"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS18-01-01-000001","UPD","01/01/18 00:43","","Common Name: RICHLAND AVENUE Location Detail: @ SOUTH GREEN DRIVE, ATHENS, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-01-000002","UPD","01/01/18 01:59","","Common Name: RICHLAND AVENUE Location Detail: @SOUTH GREEN DRIVE, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-01-000003","UPD","01/01/18 02:04","","Common Name: RICHLAND AVENUE Location Detail: @ ROUND ABOUT, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-01-000004","UPD","01/01/18 02:57","","Common Name: UNION STREET Location Detail: & COURT STREET","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-01-000007","UPD-180001","01/01/18 04:21","01/01/18 04:21","Common Name: LUCHS HALL Location Detail: BLUE LIGHT","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-01-000015","UPD","01/01/18 07:34","","51 EAST GREEN STREET Common Name: BIDDLE HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-02-000046","UPD","01/02/18 12:54","","Common Name: BENTLEY HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-03-000074","UPD","01/03/18 11:10","","97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 146, ATHENS, OH 45701","DESTRUCTION OF PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-03-000077","UPD","01/03/18 13:33","","51 EAST GREEN STREET Common Name: BIDDLE HALL Location Detail: ROOM 310, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-01-03-000091","UPD","01/03/18 17:35","","Common Name: CENTER FOR MULTIPHASE COR Location Detail: ROOM 114","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
