"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS15-04-01-002967","UPD","04/01/15 03:08","","UNIVERSITY TERRACE Common Name: T.B. MEMORIAL AUDITORIUM","INTOXICATED PERSON","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-01-002972","UPD-150443","04/01/15 08:14","04/01/15 08:14","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: AT CONRATH DENTISTRY","TRAFFIC FAILURE TO DISPLAY LIC. PLATE/STICKER 4503.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-01-002974","UPD","04/01/15 10:01","","MCKINLEY AVE Common Name: MCKINLEY AVE Location Detail: AT MULBERRY","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-01-002977","UPD","04/01/15 13:10","","UNIVERSITY TERRACE Common Name: PARKING LOT 84","TRAFFIC HIGHWAY TRAFFIC SIGNAL INDICATIONS 4511.13","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-01-002978","UPD","04/01/15 13:28","","99 WEST GREEN DRIVE Common Name: TREUDLEY HALL","CONVRESION_OPERATIONS OUTSTANDING WARRANTS","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-01-002985","UPD-150444","04/01/15 17:40","04/01/15 17:40","MCKINLEY RESIDENTIAL LOT Common Name: PARKING LOT 50","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-01-002988","UPD","04/01/15 22:07","","OXBOW TRAIL Common Name: STOCKER HALL Location Detail: FIRST FLOOR / T","RECOVERED PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-02-002998","UPD-150445","04/02/15 07:28","04/02/15 07:28","UNIVERSITY TERRACE Common Name: MCKEE HOUSE Location Detail: REAR NEAR GROUNDS SHOP","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-02-003000","UPD","04/02/15 08:48","","Common Name: UNIVERSITY GARAGE","THEFT OFFENSE","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-02-003007","UPD","04/02/15 15:12","","3 PRESIDENT ST. Common Name: COMPUTER SERVICE CENTER","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-04-02-003008","UPD-150453","04/02/15 15:35","05/01/14 00:00","SOUTH GREEN DRIVE Common Name: ADAMS HALL","CONVERSION_LARCENY-THEFT THEFT - BICYCLES 2913","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
