"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS16-10-01-009702","UPD-161265","10/01/16 00:10","10/01/16 00:10","128 SOUTH GREEN DRIVE Common Name: WELD HOUSE","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009704","UPD-161266","10/01/16 00:53","10/01/16 00:30","60 E.GREEN DR. Common Name: TIFFIN HALL Location Detail: 2ND FLOOR STAIRWELL","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009706","UPD-161267","10/01/16 02:47","10/01/16 02:45","136 SOUTH GREEN DRIVE Common Name: HOOVER HOUSE Location Detail: 1ST FLOOR MOD A","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009708","UPD","10/01/16 06:48","","16 WEST GREEN DRIVE Common Name: GROSVENOR HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009719","UPD","10/01/16 15:30","","MULBERRY ST Common Name: MULBERRY ST Location Detail: AT STEWART ST","CONVERSION_TRAFFIC SIGNALING STOPS/TURNS 4511.39","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009720","UPD","10/01/16 15:46","","MCKINLEY AVE Common Name: MCKINLEY AVE","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009723","UPD","10/01/16 16:08","","Common Name: MAIN CAMPUS/COLLEGE GREEN Location Detail: ALLEY NEAR GALBREATH CHAPEL","CONVERSION_TRAFFIC PROHIBITED PARKING 4511.68","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009728","UPD","10/01/16 17:52","","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: AT BOBCAT LANE","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009732","UPD-161270","10/01/16 21:23","10/01/16 21:23","S.GREEN DR. Common Name: PARKING LOT 56","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009733","UPD","10/01/16 21:50","","50 EAST GREEN STREET Common Name: BUSH","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-01-009735","UPD","10/01/16 22:15","","101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: 415-417","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-02-009739","UPD-161271","10/02/16 00:10","10/02/16 00:00","RIDGES PROPERTY Common Name: RIDGES Location Detail: BUILDING 3","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-02-009740","UPD-161272","10/02/16 01:04","10/02/16 01:06","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: LOBBY","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-02-009741","UPD-161273","10/02/16 01:18","10/02/16 01:18","SOUTH GREEN Common Name: SOUTH GREEN Location Detail: SOUTH BEACH","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-02-009743","UPD","10/02/16 02:32","","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: SMOKE DETECTOR/CORRIDOR S3","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS16-10-02-009745","UPD-161274","10/02/16 02:45","10/02/16 01:00","49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: ROOM 303","RAPE","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
