"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS19-04-01-003875","UPD","04/01/19 05:22","","Common Name: BIRD ARENA Location Detail: MEN'S RESTROOM, ATHENS, OH 45701","TRESPASSING OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-01-003887","UPD","04/01/19 13:00","","E CIRCLE DR Common Name: RIDGES BUILDING 16, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-01-003897","UPD-190380","04/01/19 16:21","04/01/19 16:20","Common Name: T.B. MEMORIAL AUDITORIUM, ATHENS, OH 45701","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-01-003903","UPD","04/01/19 17:11","","ELLIOTT STREET Common Name: ELLIOT STREET Location Detail: ELLIOT @ MILL, ATHENS, OH 45701","TRAFFIC FAILURE TO DISPLAY LIC. PLATE/STICKER 4503.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-01-003904","UPD-190381","04/01/19 19:06","04/01/19 19:06","30 PARK PLACE Common Name: ALDEN LIBRARY, ATHENS, OH 45701","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003913","UPD-190382","04/02/19 01:12","04/02/19 01:12","Common Name: UNION STREET Location Detail: @HDL","OPERATING A VEHICLE UNDER THE INFLUENCE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003929","UPD","04/02/19 09:59","","60 E.GREEN DR. Common Name: TIFFIN HALL, ATHENS, OH 45701","CONVERSION_LARCENY-THEFT THEFT - ALL OTHER 2913","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003931","UPD","04/02/19 10:04","","71 Common Name: COPELAND HALL Location Detail: ROOM 201A, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003935","UPD","04/02/19 11:37","","Common Name: RADIO-TELEVISION Location Detail: ROOM 395B, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003938","UPD","04/02/19 13:14","","Common Name: WEST UNION ST OFFICE CTR Location Detail: ROOM 205E, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003947","UPD","04/02/19 15:23","","RIDGES PROPERTY Common Name: RIDGES Location Detail: PATH BETWEEN OBSERVATORY AND RADAR HILL, ATHENS, OH 45701","TRESPASSING OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003949","UPD","04/02/19 15:40","","RICHLAND AVENUE Common Name: GROVER CENTER Location Detail: ROOM WEST 174, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003952","UPD","04/02/19 16:35","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: NEAR 73 SGD, GROUNDS BUILDING, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003953","UPD-190476","04/02/19 16:45","04/02/19 16:45","Common Name: ADAMS GARAGE, ATHENS, OH 45701","THEFT OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-02-003956","UPD-190384","04/02/19 17:43","04/02/19 17:43","130 SOUTH GREEN DRIVE Common Name: ATKINSON HOUSE Location Detail: 4TH HALLWAY NEAR ROOM 434, ATHENS, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-03-003969","UPD","04/03/19 01:08","","Common Name: UNION STREET Location Detail: UNIVERSITY TERRACE","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-03-003979","UPD","04/03/19 09:43","","Common Name: CENTRAL FOOD FACILITY","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-03-003981","UPD","04/03/19 10:18","","S COURT STREET Common Name: LINDLEY HALL Location Detail: ROOM 052","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-03-003993","UPD","04/03/19 15:45","","Common Name: PARKING LOT 18","DESTRUCTION OF PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-03-004002","UPD","04/03/19 19:54","","22 UNIVERSITY TERRACE Common Name: BRYAN HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-03-004014","UPD","04/03/19 23:49","","Common Name: COLLEGE STREET Location Detail: AT MILL STREET, ATHENS, OH 45701","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-04-004040","UPD-190387","04/04/19 12:28","04/04/19 09:00","Common Name: MAIL SERVICES","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-04-04-004061","UPD","04/04/19 20:54","","105 SOUTH GREEN DRIVE Common Name: SOWLE HALL Location Detail: (740-608-6155), ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
