"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS14-10-01-007607","UPD","10/01/14 00:13","","PRESIDENT STREET Common Name: BENTLEY HALL","RECOVERED PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-01-007608","UPD-140829","10/01/14 00:33","10/01/14 00:33","99 WEST GREEN DRIVE Common Name: TREUDLEY HALL","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-01-007618","UPD","10/01/14 09:35","","COURT STREET Common Name: COURT STREET","TRAFFIC BRAKE LIGHTS 4513.071","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-01-007620","UPD","10/01/14 10:44","","EAST UNION STREET Common Name: SCHOONOVER CENTER","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-01-007629","UPD-140830","10/01/14 14:48","09/23/14 09:00","010 CHUBB HALL Common Name: BURSAR","CONVERSION FORGERY 2913.31","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-01-007633","UPD","10/01/14 15:24","","60 E.GREEN DR. Common Name: TIFFIN HALL Location Detail: 1SR FLOOR MALE SIDE","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-01-007639","UPD-140831","10/01/14 22:36","01/01/00 00:00","Common Name: JEFFERSON GARAGE","CONVERSOIN LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-01-007642","UPD","10/01/14 22:59","","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: ROOM 434","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-02-007643","UPD-140832","10/02/14 01:04","10/02/14 01:04","70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-02-007660","UPD-140833","10/02/14 10:51","12/30/14 21:00","END OF MILL ST. Common Name: PARKING LOT 153","CONVERSOIN LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-02-007672","UPD","10/02/14 19:19","","68 SOUTH GREEN DRIVE Common Name: PICKERING HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-02-007675","UPD-140834","10/02/14 21:51","10/02/14 21:05","PARK PLACE Common Name: ALDEN LIBRARY Location Detail: 3RD FLOOR","CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007681","UPD-140835","10/03/14 01:24","10/03/14 01:24","PARK PLACE Common Name: ALDEN LIBRARY Location Detail: BRICK ROAD","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007685","UPD-140836","10/03/14 02:54","10/03/14 02:54","60 E.GREEN DR. Common Name: TIFFIN HALL","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007691","UPD-140837","10/03/14 08:28","10/03/14 00:00","35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: ELEVATOR 2","CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007695","UPD","10/03/14 12:50","","SHAFER STREET Common Name: SHAFER STREET","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007697","UPD","10/03/14 13:10","","128 SOUTH GREEN DRIVE Common Name: WELD HOUSE Location Detail: ROOM 210","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007705","UPD-140838","10/03/14 15:45","10/03/14 05:00","95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: NEAR OLD PASS GATE","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007707","UPD","10/03/14 16:25","","100 WEST GREEN DRIVE Common Name: BOYD Location Detail: ROOM 310","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007710","UPD-140840","10/03/14 20:13","10/03/14 20:10","OXBOW DRIVE Common Name: BIRD ARENA","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-03-007711","UPD-140839","10/03/14 20:31","10/03/14 20:31","128 SOUTH GREEN DRIVE Common Name: WELD HOUSE Location Detail: ROOM 146","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-04-007717","UPD-140841","10/04/14 01:14","10/04/14 01:14","129 SOUTH GREEN DRIVE Common Name: ARMBRUSTER Location Detail: ROOM 245","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-04-007718","UPD-140842","10/04/14 01:55","10/04/14 01:45","46 EAST GREEN STREET Common Name: JEFFERSON HALL Location Detail: ROOM 448","BURGLARY OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-04-007720","UPD-140843","10/04/14 02:18","10/04/14 02:18","Common Name: SOUTH GREEN GARAGE","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-04-007721","UPD-140844","10/04/14 02:32","10/04/14 02:32","Common Name: SOUTH GREEN GARAGE","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-04-007722","UPD","10/04/14 02:40","","35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: ROOM 208","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-04-007726","UPD-140845","10/04/14 08:29","10/02/14 23:00","95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: NEAR ROOMS 301 - 365","DESTRUCTION OF PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-10-04-007727","UPD","10/04/14 08:54","","COLLEGE STREET Common Name: COLLEGE STREET","TRAFFIC FICTITIOUS LICENSE PLATE 4549.08A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
