"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS18-10-01-011000","UPD","10/01/18 00:21","","Common Name: STEWART STREET Location Detail: & MILL STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011010","UPD-181067","10/01/18 09:47","01/01/00 00:00","RIDGES BLDG. 27 - OLD HORSEBARN Common Name: CHILD DEVELOPMENT CENTER","FIRE ALARM","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011014","UPD","10/01/18 12:43","","95 Common Name: CONVOCATION CENTER, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011015","UPD-181070","10/01/18 14:17","10/01/18 14:17","1 PARK PLACE Common Name: BAKER UNIVERSITY CENTER, ATHENS, OH 45701","MENACING OFFENSES","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011016","UPD-181069","10/01/18 14:25","10/01/18 14:25","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: MARIETTA COLLEGE","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011021","UPD","10/01/18 16:14","","314 HUDSON HEALTH CENTER Common Name: COUNSELING & PSYCHOLOGICA Location Detail: TO OMH, ATHENS, OH 45701","TRANSPORT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011025","UPD","10/01/18 16:35","","135 SOUTH GREEN DRIVE Common Name: EWING HOUSE, ATHENS, OH 45701","MENACING OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011026","UPD","10/01/18 16:45","","100 WEST GREEN DRIVE Common Name: BOYD HALL Location Detail: ROOM 410, ATHENS, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011033","UPD","10/01/18 19:59","","N MCKINLEY AVENUE Common Name: N MCKINLEY AVENUE Location Detail: & MULBERRY STREET","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011034","UPD","10/01/18 20:05","","Common Name: MILL STREET Location Detail: & STEWART","TRAFFIC MARKED LANES 4511.33A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011036","UPD","10/01/18 20:22","","Common Name: SHAFER STREET Location Detail: @ UNION STREET, ATHENS, OH 45701","TRAFFIC MARKED LANES 4511.33A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011040","UPD","10/01/18 21:35","","Common Name: STEWART STREET Location Detail: NEAR UNION STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011041","UPD","10/01/18 22:00","","Common Name: MUSIC BUILDING (GLIDDEN HALL), ATHENS, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-01-011042","UPD","10/01/18 22:15","","99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: SMOKE DETECTOR/ROOM 318, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-02-011049","UPD-181072","10/02/18 01:02","10/02/18 01:02","175 SOUTH GREEN DRIVE Common Name: WRAY HOUSE Location Detail: CAT WALK, ATHENS, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-02-011052","UPD","10/02/18 04:01","","99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: SMOKE DETECTOR/ROOM 318, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-02-011059","UPD","10/02/18 08:51","","UNIVERSITY TERRACE/TUPPER HALL Common Name: PARKING LOT 83, ATHENS, OH 45701","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-02-011061","UPD","10/02/18 08:53","","22 UNIVERSITY TERRACE Common Name: BRYAN HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS18-10-02-011062","UPD-181074","10/02/18 08:58","10/02/18 08:58","Common Name: RICHLAND AVENUE Location Detail: AT BOBCAT LANE, ATHENS, OH 45701","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
