"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS14-07-01-005148","UPD","07/01/14 00:20","","PRESIDENT STREET Common Name: BENTLEY HALL","RECOVERED PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-01-005149","UPD","07/01/14 02:44","","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: 3RD FLOOR","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-02-005170","UPD-140574","07/02/14 09:48","01/01/00 00:00","WEST GREEN DRIVE Common Name: PARKING LOT 111 Location Detail: MOTORCYCLE AREA","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-02-005178","UPD-140576","07/02/14 18:25","07/02/14 18:00","HDL LOT Common Name: PARKING LOT 154","SEX OFFENSE","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-03-005200","UPD","07/03/14 20:26","","124 GROVER CTR. Common Name: WELLWORKS","RECOVERED PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-04-005207","UPD-140577","07/04/14 00:57","07/04/14 00:57","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: BY ELEVATOR","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-04-005211","UPD","07/04/14 02:29","","UNION STREET Common Name: UNION STREET Location Detail: JIMMY JOHNS","ASSAULT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-04-005213","UPD","07/04/14 05:13","","Common Name: HEATING PLANT","ANIMAL COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-04-005216","UPD","07/04/14 08:06","","","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-07-05-005225","UPD-140578","07/05/14 01:23","07/05/14 01:23","Common Name: MAIN CAMPUS/COLLEGE GREEN Location Detail: FRONT OF CUTLER","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
