"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-10-01-010170","UPD","10/01/17 01:19","","Common Name: STEWART STREET Location Detail: @MILL STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010172","UPD","10/01/17 02:22","","Common Name: CONGRESS STREET Location Detail: @UNION STREET, ATHENS, OH 45701","TRAFFIC MARKED LANES 4511.33A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010174","UPD-171091","10/01/17 03:22","10/01/17 03:22","Common Name: RICHLAND AVENUE Location Detail: @BOBCAT LANE, ATHENS, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010182","UPD-171092","10/01/17 10:49","09/23/17 20:30","Common Name: JAMES GARAGE","CONVERSOIN LARCENY-THEFT THEFT - ALL OTHER - FELONY 2913.02","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010188","UPD-171093","10/01/17 18:12","10/01/17 18:12","E CIRCLE DR Common Name: RIDGES BUILDING 20, ATHENS, OH 45701","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010192","UPD","10/01/17 21:31","","105 SOUTH GREEN DRIVE Common Name: SOWLE HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010193","UPD","10/01/17 22:08","","133 SOUTH GREEN DRIVE Common Name: DOUGAN HOUSE Location Detail: 454, ATHENS, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010194","UPD","10/01/17 22:27","","22 UNIVERSITY TERRACE Common Name: BRYAN HALL Location Detail: 104, ATHENS, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010197","UPD-171094","10/01/17 23:08","10/01/17 23:08","SOUTH GREEN DR. - REAR PICKERING Common Name: PARKING LOT 52, ATHENS, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-01-010198","UPD-171095","10/01/17 23:54","10/01/17 23:54","Common Name: RICHLAND AVENUE Location Detail: @SOUTH GREEN DRIVE, ATHENS, OH 45701","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-02-010199","UPD-171096","10/02/17 00:33","10/02/17 00:33","97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: 1ST FLOOR WATER FOUNTAIN, ATHENS, OH 45701","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-02-010200","UPD-171097","10/02/17 01:38","10/02/17 01:38","97 SOUTH GREEN DRIVE Common Name: CARR HALL, ATHENS, OH 45701","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-10-02-010212","UPD","10/02/17 08:17","","E CIRCLE DR Common Name: RIDGES BUILDING 14, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
