"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS19-10-01-010772","UPD-190882","10/01/19 10:38","10/01/19 10:38","Common Name: MAIL SERVICES","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010774","UPD-190883","10/01/19 11:51","10/01/19 11:51","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: BUCKEYE HILLS CAREER CENTER","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010779","UPD-190884","10/01/19 14:32","10/01/19 14:32","Common Name: COLLEGE STREET Location Detail: AT E WASHINGTON STREET, ATHENS, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010780","UPD-190885","10/01/19 14:42","09/27/19 11:30","71 SOUTH GREEN DRIVE Common Name: CRAWFORD HALL Location Detail: BICYCLE RACK, ATHENS, OH 45701","CONVERSION_LARCENY-THEFT THEFT - BICYCLES 2913","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010783","UPD","10/01/19 15:28","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: AT RUFUS, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010785","UPD-190886","10/01/19 15:40","10/01/19 15:40","136 SOUTH GREEN DRIVE Common Name: HOOVER HOUSE Location Detail: ROOM 217","THEFT OFFENSE","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010786","UPD-190887","10/01/19 15:46","10/01/19 15:46","Common Name: PARKING LOT 114 Location Detail: BEHIND PARKS HALL","PROPERTY DAMAGE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010787","UPD","10/01/19 16:00","","3 Common Name: MUCK BUSINESS ANNEX Location Detail: ROOM 318, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010788","UPD-190889","10/01/19 16:15","10/01/19 16:15","OXBOW TRAIL Common Name: PARKING LOT 122 Location Detail: COMPACT CAR PARKING AREA","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-01-010793","UPD-190888","10/01/19 17:45","10/01/19 17:45","Common Name: T.B. MEMORIAL AUDITORIUM, ATHENS, OH 45701","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010817","UPD-190890","10/02/19 08:00","10/01/19 21:02","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: HANDICAP DOOR, ATHENS, OH 45701","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010824","UPD-190891","10/02/19 11:37","10/02/19 11:37","Common Name: UNIVERSITY TERRACE Location Detail: CONSTRUCTION AREA/ROAD CLOSED, ATHENS, OH 45701","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010825","UPD-190892","10/02/19 13:09","10/02/19 13:09","1 PARK PLACE Common Name: BAKER UNIVERSITY CENTER Location Detail: 1ST FLOOR BICYCLE RACK, ATHENS, OH 45701","CONVERSION_LARCENY-THEFT THEFT - BICYCLES 2913","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010827","UPD-190894","10/02/19 13:41","10/02/19 13:41","Common Name: COURT STREET Location Detail: LINDLEY HALL, ATHENS, OH 45701","VIOLATION OF PROTECTION ORDER","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010828","UPD-190893","10/02/19 14:00","10/02/19 11:14","Common Name: COURT STREET Location Detail: AT LINDLEY HALL, ATHENS, OH 45701","ASSAULT OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010833","UPD-190895","10/02/19 16:13","09/28/19 00:00","88 UNIVERSITY TERRACE Common Name: OHIO UNIVERSITY POLICE DEPT, ATHENS, OH 45701","ASSAULT OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010837","UPD","10/02/19 16:59","","20 S COURT ST Common Name: ATHENA CINEMA, ATHENS, OH 45701","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010839","UPD-190896","10/02/19 17:55","10/02/19 17:55","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: ROOM 261, ATHENS, OH 45701","TELECOMMUNICATIONS HARASSMENT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010846","UPD","10/02/19 21:39","","Common Name: BOBCAT LANE, ATHENS, OH 45701","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010847","UPD","10/02/19 21:54","","22 UNIVERSITY TERRACE Common Name: BRYAN HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-02-010850","UPD","10/02/19 23:23","","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: ROOM 319, ATHENS, OH 45701","ANIMAL COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010862","UPD","10/03/19 07:40","","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: 151 SUMMIT APTS","CONVRESION_OPERATIONS OUTSTANDING WARRANTS","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010873","UPD","10/03/19 11:48","","Common Name: COURT STREET, ATHENS, OH 45701","CONVRESION_OPERATIONS OUTSTANDING WARRANTS","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010877","UPD","10/03/19 12:25","","97 WEST GREEN DRIVE Common Name: JAMES HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010879","UPD","10/03/19 14:48","","Common Name: WEST UNION ST OFFICE CTR, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010882","UPD","10/03/19 15:30","","Common Name: RICHLAND AVENUE Location Detail: RICHLAND AVENUE @ SOUTH GREEN DRIVE, ATHENS, OH 45701","TRAFFIC DETAIL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010888","UPD-190899","10/03/19 16:35","10/03/19 16:35","Common Name: PARKING LOT 127","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010889","UPD","10/03/19 16:52","","1 PARK PLACE Common Name: BAKER UNIVERSITY CENTER Location Detail: WALKING PATH BETWEEN BAKER AND NEW CONSTRUCTION, ATHENS, OH 45701","DESTRUCTION OF PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010893","UPD","10/03/19 19:03","","22 UNIVERSITY TERRACE Common Name: BRYAN HALL Location Detail: SMOKE ALARM/OLD KITCHEN IN BASEMENT, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010895","UPD","10/03/19 21:02","","Common Name: RICHLAND AVENUE Location Detail: @682, ATHENS, OH 45701","TRAFFIC MARKED LANES 4511.33A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-03-010899","UPD-190900","10/03/19 23:33","10/03/19 23:33","SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: ROOM 161, ATHENS, OH 45701","INTOXICATED PERSON","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010900","UPD","10/04/19 00:19","","Common Name: UNION STREET Location Detail: COLLEGE ST","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010903","UPD","10/04/19 01:54","","Common Name: MAIN CAMPUS/COLLEGE GREEN Location Detail: & UNION","INTOXICATED PERSON","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010906","UPD","10/04/19 02:41","","121 SOUTH GREEN DRIVE Common Name: TANAKA HALL Location Detail: ROOM 278, ATHENS, OH 45701","INTOXICATED PERSON","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010921","UPD","10/04/19 10:33","","1 PARK PLACE Common Name: BAKER UNIVERSITY CENTER Location Detail: ROOM 349, ATHENS, OH 45701","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010922","UPD","10/04/19 11:18","","RIDGES PROPERTY Common Name: SOUTH RIDGE DRIVE","TRAFFIC DRIVING ON CLOSED ROADWAY 4511.71","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010930","UPD","10/04/19 15:00","","11 COLLEGE STREET Common Name: ATHENS POLICE DEPARTMENT, ATHENS, OH 45701","RECOVERED PROPERTY","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010936","UPD","10/04/19 18:27","","22 UNIVERSITY TERRACE Common Name: BRYAN HALL, ATHENS, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010939","UPD-190902","10/04/19 19:53","10/04/19 19:53","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: ADAMS HALL, ATHENS, OH 45701","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS19-10-04-010940","UPD","10/04/19 20:11","","Common Name: RICHLAND AVENUE, ATHENS, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
