"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS15-10-01-008661","UPD-151110","10/01/15 00:14","10/01/15 00:27","127 SOUTH GREEN DRIVE Common Name: MARTZOLFF HOUSE Location Detail: 1ST FLOOR MAUD 1","POSSESSION OF  CONTROLLED SUBSTANCES","Unfounded","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008663","UPD-151111","10/01/15 01:35","10/01/15 01:35","131 SOUTH GREEN DRIVE Common Name: SMITH HOUSE Location Detail: BEHIND BUILDING","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008665","UPD","10/01/15 01:53","","RICHLAND AVENUE Common Name: RESEARCH AND TECHNOLOGY C","ALCOHOL OFFENSE","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008673","UPD-151112","10/01/15 07:39","09/30/15 17:00","MAIN GREEN Common Name: WILSON HALL - ADMINSTRATI","DESTRUCTION OF PROPERTY","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008678","UPD-151113","10/01/15 09:41","09/29/15 17:00","121 SOUTH GREEN DRIVE Common Name: TANAKA HALL Location Detail: BICYCLE RACK","CONVERSION_LARCENY-THEFT THEFT - BICYCLES 2913","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008683","UPD-151115","10/01/15 12:48","10/01/15 12:48","45 EAST GREEN STREET Common Name: LINCOLN HALL Location Detail: ROOM 132","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008687","UPD","10/01/15 13:44","","69 SOUTH GREEN DRIVE Common Name: BROWN HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008693","UPD","10/01/15 15:47","","101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: RM 420","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-01-008699","UPD-151116","10/01/15 17:47","10/01/15 17:47","OXBOW TRAIL/DRIVE Common Name: OXBOW TRAIL/DRIVE Location Detail: IN FRONT OF BAKER CENTER","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-02-008708","UPD-151118","10/02/15 00:39","10/02/15 00:39","DAIRY LANE Common Name: DAIRY LANE Location Detail: 7976 DAIRY LANE/RESPIT HOUSE","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-02-008710","UPD","10/02/15 01:45","","MCKINLEY AVE Common Name: MCKINLEY AVE Location Detail: FRONT FOUR AREA","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-02-008711","UPD-151120","10/02/15 01:52","10/02/15 01:52","S.G. DRIVE Common Name: SOUTH GREEN DRIVE","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-02-008712","UPD","10/02/15 02:13","","UNION STREET Common Name: UNION STREET Location Detail: GRINDERS","TRESPASSING OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-02-008713","UPD-151121","10/02/15 02:38","10/02/15 02:38","130 SOUTH GREEN DRIVE Common Name: ATKINSON Location Detail: PICNIC TABLE AREA","POSSESSION OF DRUG PARAPHERNALIA","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS15-10-02-008714","UPD","10/02/15 03:18","","68 SOUTH GREEN DRIVE Common Name: PICKERING HALL Location Detail: ROOM 118","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
