Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Unsecure Premise,2016-0595,2/1/16,231,2/1/16,231,Davis Center,Closed
Medical Assist,2016-0598,2/1/16,906,2/1/16,906,Dana Medical Library,"Closed; UVM Rescue evaluated, no transport"
Motor Vehicle Complaint,2016-0599,2/1/16,944,2/1/16,944,Harris Millis Lot,Closed
Fire Alarm,2016-0604,2/1/16,1417,2/1/16,1417,MAT,Closed
Larceny,2016-0605,2/1/16,1505,1/29/16,1930-2100,Gutterson Fieldhouse,Open
Drugs,2016-0606,2/1/16,1930,2/1/16,1930,University Heights South 2,Closed; Report to CSES
Drugs,2016-0608,2/1/16,2216,2/1/16,2216,McAuley,Closed; Unable to locate
Anonymous Sexual Assault,2016-0620,2/2/16,1726,09/26-28/2015,Unk,Living and Learning,Closed; Referred to Title IX coordinator
Trespass,2016-0623,2/2/16,2013,2/2/16,2013,McAuley,Closed; Trespass issued
Drugs,2016-0624,2/2/16,2050,2/2/16,2050,Patterson,Open
Medical Assist,2016-0625,2/2/16,2141,2/2/16,2141,PFG,Closed; UVM Rescue transported to UVM MC
Unsecure Premise,2016-0628,2/3/16,129,2/3/16,129,PFG,Closed
Fraud,2016-0631,2/3/16,932,01/08-15/2016,Unk,Votey,Open
Fire Alarm,2016-0635,2/3/16,1204,2/3/16,1204,Harris Millis,Closed
Welfare Check / Medical Assist,2016-0643,2/3/16,2231,2/3/16,2231,University Heights South 2,Closed; UVM Rescue transported to UVM MC
Noise,2016-0644,2/3/16,2232,2/3/16,2232,Mercy,Closed
Medical Assist,2016-0645,2/3/16,2309,2/3/16,2309,Marsh,Closed; BFD Rescue transported to UVM MC
Fire Alarm,2016-0646,2/3/16,2323,2/3/16,2323,Mercy,Closed
Intoxication,2016-0647,2/4/16,49,2/4/16,49,Wheeler,Closed; Transported non affiliate to ACT1 and Corrections
Medical Assist,2016-0649,2/4/16,217,2/4/16,217,Living and Learning,Closed; UVM Rescue transported to UVM MC
Fire Alarm,2016-0651,2/4/16,1014,2/4/16,1014,Wright Hall,Closed
Medical Assist,2016-0653,2/4/16,1314,2/4/16,1314,Simpson Dining Hall,Closed; referred to UVM Medical Center ER via UVM Rescue
Agency Assist,2016-0665,2/4/16,2109,2/4/16,2109,Pearl St / S Prospect St,Closed; assist to Burlington Police
Intrusion Alarm,2016-0666,2/4/16,2142,2/4/16,2142,Englesby House,Closed
Fire Alarm,2016-0670,2/4/16,2332,2/4/16,2332,Wing Davis Wilks,Closed
Suspicious Behavior,2016-0675,2/5/16,1136,2/5/16,1136,Billings,Closed; non substantiated
Elevator Alarm,2016-0676,2/5/16,1150,2/5/16,1150,University Hgts South 2,Closed
Vandalism - Graffiti,2016-0677,2/5/16,1157,Unk,Unk,Stafford Hall & Rowell Hall,Open incident
Medical Assist,2016-0678,2/5/16,1243,2/5/16,1243,Bailey Howe Library,Closed; affiliate referred to UVM Medical Center ER via UVM Rescue
Citizen Assist,2016-0680,2/5/16,1609,2/5/16,1609,UVM Police Services,Closed
Suspicious Event,2016-0681,2/5/16,1730,2/5/16,1730,University Hgts / Main St,Closed
Noise,2016-0692,2/5/16,2319,2/5/16,2319,Marsh Hall,Closed; non substantiated
Sexual Assault,2016-0694,2/5/16,2336,2/5/16,Unk,Non Campus Location,Closed; referred to Title IX coordinator
Citizen Assist,2016-0695,2/5/16,2350,2/5/16,2350,University Terr.,Closed
Fire Alarm,2016-0698,2/6/16,103,2/6/16,103,Christie Wright Patterson,Closed
Alcohol Offense,2016-0700,2/6/16,142,2/6/16,142,Bailey Howe Outside,Closed; report to CSES
Agency Assist,2016-0702,2/6/16,204,2/6/16,204,"West Allen St, Winooski",Closed; assist to Winooski Police
Fire Alarm,2016-0703,2/6/16,210,2/6/16,210,Converse Hall,Closed
Blue Light Alarm,2016-0704,2/6/16,215,2/6/16,215,McAuley Hall,Closed
