Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Fire Alarm,2014-2266,4/1/14,311,4/1/14,311,61 Summit St,Closed
Leaving the Scene of an Accident,2014-2267,4/1/14,718,3/30/14,830,UHC,"Closed, ticket issued for operating with a suspended license and Cited into court for Leaving the scene of an accident"
Drugs Unfounded,2014-2273,4/1/14,1437,4/1/14,1437,U Heights N,Closed Unfounded
Motor Vehicle Accident,2014-2274,4/1/14,1449,4/1/14,1449,McCann,Closed
Larceny,2014-2276,4/1/14,1745,4/1/14,1745,Redstone Lofts,Open
Citizen Assist ,2014-2277,4/1/14,1752,4/1/14,1752,Redstone Lofts,Closed
 Drug Offense,2014-2278,4/1/14,1914,4/1/14,1914,McAuley,Closed paraphernalia and drugs confiscated 
Larceny,2014-2279,4/1/14,1937,4/1/14,1937,Hamilton,Open
911 Hangup,2014-2282,4/2/14,49,4/2/14,49,Millis,Closed
Suspicious Event,2014-2285,4/2/14,928,4/2/14,928,UHC Lot,Open
Theft of Service,2014-2287,4/2/14,939,4/2/14,939,UHC,Open
Vandalism,2014-2288,4/2/14,1022,4/2/14,1022,U Hgts N,Open
Elevator Alarm,2014-2289,4/2/14,1040,4/2/14,1040,U Hgts N,Closed
Suspicious Event,2014-2290,4/2/14,1122,4/1/14,2030 to 2300,HM Commons,Closed
Missing Person,2014-2291,4/2/14,1436,3/29/14,Unknown,Redstone Apts,Closed
Graffiti,2014-2292,4/2/14,1443,4/2/14,1443,Main St / S Prospect,Closed
Suspicious Activity,2014-2293,4/2/14,1503,4/2/14,1503,Given,Open
Drugs Unfounded,2014-2294,4/2/14,1751,4/2/14,1751,Ampitheatre,Closed Unfounded
Agency Assist,2014-2295,4/2/14,1756,4/2/14,1756,FAHC,Closed
Drug Possession,2014-2297,4/2/14,2127,4/2/14,2127,Living and Learning C,Closed paraphernalia confiscated
Drugs Unfounded,2014-2299,4/2/14,2248,4/2/14,2248,Chittenden,Closed Unfounded
Drugs Unfounded,2014-2300,4/2/14,2305,4/2/14,2305,McCann,Closed Unfounded
Suspicious Behavior,2014-2302,4/3/14,810,4/3/14,810,Billings,Closed
Accident,2014-2304,4/3/14,859,4/3/14,300,Chittenden Buckham Wills Parking Lot,Closed
Anonymous Late Reported Sexual Assault,2014-2305,4/3/14,900,Mar-14,Unk,UVM Main Campus,Closed; unfounded
Drugs,2014-2309,4/3/14,1013,4/3/14,1013,Living & Learning,Closed
Suspicious Event,2014-2310,4/3/14,1113,03/28/2014-04/02/2014,1400-1700,South 1,Closed
Fire Alarm,2014-2316,4/3/14,1346,4/3/14,1346,Chittenden Buckham Wills,Closed
Burglary,2014-2319,4/3/14,1628,3/30/14,Unk,Mason Hall,Open incident
K9 Assist,2014-2322,4/3/14,2107,4/3/14,2107,"George St, Burlington",Closed
Vandalism,2014-2323,4/3/14,2153,4/3/14,1945-2120,Hamilton Hall,Open incident
Intoxication / Medical Assist,2014-2324,4/3/14,2201,4/3/14,2201,East Ave / Carrigan Dr,"Closed; referred to ACT 1, Burlington Rescue, Fletcher Allen & Corrections for Detox; subject cited into court for Underage Consumption"
Drugs,2014-2325,4/3/14,2205,4/3/14,2205,Marsh Hall,Closed
Drugs,2014-2327,4/3/14,2219,4/3/14,2219,Tupper Hall,Closed; report to CSES
Fire Alarm,2014-2331,4/4/14,155,4/4/14,155,McAuley Hall,Closed
Alcohol Offense,2014-2332,4/4/14,211,4/4/14,211,Mercy Hall,Closed; report to CSES
Fire Alarm,2014-2333,4/4/14,510,4/4/14,510,North 1,Closed
ATM Alarm,2014-2334,4/4/14,846,4/4/14,846,McAuley Hall,Closed
Drugs,2014-2335,4/4/14,923,4/4/14,923,Marsh Austin Tupper,Closed; unfounded
Motor Vehicle Complaint,2014-2338,4/4/14,1006,4/2/14,730,Davis Center,Closed
Drugs,2014-2342,4/4/14,1917,4/4/14,1917,Christie Hall,Closed; report to CSES
Elevator Alarm,2014-2343,4/4/14,2123,4/4/14,2123,Redstone Lofts,Closed
Suspicious Odor,2014-2344,4/4/14,2132,4/4/14,2132,Morrill Hall,Closed; unfounded
Vandalism,2014-2345,4/4/14,2134,4/4/14,2134,Patterson Hall,Closed; unfounded
Intoxication / Medical Assist,2014-2347,4/4/14,2230,4/4/14,2230,University Heights,Closed; referred to UVM Rescue & Fletcher Allen ER; report to CSES
911 Hangup,2014-2348,4/4/14,2258,4/4/14,2258,Millis Hall,Closed
