Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Unsecure Premise,2015-7684,12/1/15,45,12/1/15,45,Virtue Field,Closed
Fire Alarm,2015-7685,12/1/15,727,12/1/15,727,University Heights South 2,Closed
ATM Alarm,2015-7689,12/1/15,937,12/1/15,937,Davis Center,Closed
Suspicious Event,2015-7695,12/1/15,1240,11/20/15,Unk,Hunt,Open
Fire,2015-7696,12/1/15,1345,12/1/15,Unk,Living and Learning,Closed
Motorist Assist,2015-7702,12/1/15,2315,12/1/15,2315,Main St  / University Hgts,Closed
Intrusion Alarm,2015-7704,12/2/15,524,12/2/15,524,Waterman,Closed
Theft of Service,2015-7710,12/2/15,936,12/2/15,936,UVM Parking Garage,Closed; report to CSES
Medical Assist,2015-7712,12/2/15,1010,12/2/15,1010,Lafayette Building,Closed; referred to UVM Medical Center via UVM Rescue
Agency Assist,2015-7714,12/2/15,1116,12/2/15,1116,UVM Police Services,Closed; assist to Chittenden County Sheriffs Dept.
Agency Assist / Subpoena Service,2015-7716,12/2/15,1324,12/2/15,1324,Tupper Hall,Closed; assist to Burlington Police
Fraud,2015-7718,12/2/15,1419,11/22/15,Unk,University Hgts N2 & N3,Open incident
Agency Assist / Accident,2015-7720,12/2/15,1646,12/2/15,1646,Williston Rd / Spear St,Closed; assist to South Burlington Police
Suspicious Behavior,2015-7721,12/2/15,1703,12/2/15,1703,UVM Main Green,Closed; non substantiated
Fire Alarm,2015-7724,12/2/15,1724,12/2/15,1724,Tupper Hall,Closed
Welfare Check,2015-7726,12/2/15,2015,12/2/15,2015,Mercy Hall,Closed; affiliate located
Larceny,2015-7727,12/2/15,2019,12/2/15,Unk,Votey Hall,Open incident
Fire Alarm,2015-7728,12/2/15,2126,12/2/15,2126,Living & Learning,Closed
Motor Vehicle Complaint,2015-7729,12/2/15,2140,12/2/15,2140,Harris Millis Parking Lot,Closed
Drugs / Alcohol Offense,2015-7730,12/2/15,2233,12/2/15,2233,Living & Learning,Closed; report to CSES
Medical Assist,2015-7731,12/2/15,2302,12/2/15,2302,Harris Millis Front Desk Area,Closed; referred to UVM Medical Center Via UVM Rescue
Medical Assist / Alcohol Offense,2015-7732,12/3/15,154,12/3/15,154,Converse Hall,Closed; referred to UVM Rescue & report to CSES
Intrusion Alarm,2015-7733,12/3/15,554,12/3/15,554,Southwick,Closed
Agency Assist,2015-7734,12/3/15,714,12/3/15,714,"Avenue C, Burlington",Closed; assist to Burlington Police
Blue Light Alarm,2015-7736,12/3/15,735,12/3/15,735,Simpson Hall,Closed
Late Reported Stalking,2015-7745,12/3/15,1428,10/01-31/2015,Unk,McAuley Hall,Closed; referred to Title IX Coordinator
Welfare Check / Accident,2015-7747,12/3/15,1909,12/3/15,1845,McAuley  Hall Roadway,Closed; affiliate located
Medical Assist,2015-7750,12/3/15,2327,12/3/15,2327,Christie Hall,Closed; referred to UVM Medical Center via UVM Rescue
