Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Suspicious Vehicle,2017-5052,7/1/17,5,7/1/17,5,East Commuter Parking Lot,Closed
Agency Assist,2017-5061,7/1/17,320,7/1/17,320,"Dorset St, So. Burlington",Closed; assist to So. Burlington Police
Medical Assist,2017-5063,7/1/17,1550,7/1/17,1550,Redstone Apts,Closed; affiliate transported to UVM MC via UVM Rescue
Unsecured Premise,2017-5071,7/1/17,2315,7/1/17,2315,Main Campus Construction Area,Closed
Agency Assist,2017-5084,7/1/17,2315,7/1/17,2315,Church St / Main ST,Closed; assist to Burlington Police
Intoxication,2017-5085,7/2/17,258,7/2/17,258,Stafford Hall,Closed; affiliate referred to ACT 1 for detox
Vandalism,2017-5092,7/2/17,1243,07/01-02/2017,2100-1240,Redstone Apts Parking Lot,Open incident
Vandalism / Trespassing,2017-5097,7/2/17,1815,Unk,Unk,Wright Hall,Open incident
University Policy Violation,2017-5098,7/2/17,2027,7/2/17,2027,Williams Hall Fire Escape,Closed; trespass warning issued
Larceny,2017-5101,7/2/17,2051,Unk,Unk,Austin Hall Outside,Open incident
Suspicious Behavior,2017-5105,7/2/17,2216,7/2/17,2216,Wing Davis Wilks,Closed
Traffic / Driving While Suspended,2017-5118,7/3/17,132,7/3/17,132,Main St / University Pl,Closed; non affiliate cited into court for Driving while Suspended
Fire Alarm,2017-5119,7/3/17,224,7/3/17,224,Gutterson Ice Rink,Closed
Traffic / Driving While Suspended,2017-5120,7/3/17,259,7/3/17,259,Colchester Ave,Closed; non affiliate cited into court for Driving while Suspended
Vandalism,2017-5125,7/3/17,1329,Unk,Unk,Rowell Outside,Open
Suspicious Event,2017-5129,7/3/17,2035,7/3/17,2035,41-43 S Prospect St,Closed
Citizen Assist,2017-5133,7/4/17,138,7/4/17,138,University Heights,Closed
Fire Alarm,2017-5134,7/4/17,236,7/4/17,236,Redstone Lofts,Closed
Agency Assist,2017-5136,7/4/17,332,7/4/17,332,Redstone Lofts,Closed
Agency Assist / Accident,2017-5138,7/4/17,817,7/4/17,817,Carrigan Ave / East Ave,Closed; Assist to BPD
