Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Traffic / DUI,2015-1306,3/1/15,159,3/1/15,159,Main St / S Williams St,Closed; subject cited into district court  for DUI
Alarm,2015-1311,3/1/15,640,3/1/15,640,Ira Allen Chapel,Closed
Intrusion Alarm,2015-1316,3/1/15,1250,3/1/15,1250,460 S Prospect St,Closed
Intrusion Alarm,2015-1317,3/1/15,1321,3/1/15,1321,460 S Prospect St,Closed
Suspicious Odor,2015-1319,3/1/15,1337,3/1/15,1337,Harris Hall,Closed
Intrusion Alarm,2015-1321,3/1/15,1430,3/1/15,1430,460 S Prospect St,Closed
Suspicious Behavior,2015-1322,3/1/15,2024,3/1/15,2024,PFG,Closed
Agency  Assist,2015-1332,3/2/15,1036,3/2/15,1036,Votey,Closed
Property Damage,2015-1347,3/3/15,636,3/3/15,636,Police Services,Closed
Vandalism,2015-1348,3/3/15,849,3/3/15,839,UHC,"Closed , subject cited into district court for unlawful mischief and trespass notice issued for  UHC"
Agency Assist,2015-1350,3/3/15,1329,3/3/15,1329,Winooski Police Department,Closed
Accident,2015-1351,3/3/15,1448,3/3/15,Unknown,Centennial Field,Closed
Intrusion Alarm,2015-1355,3/3/15,1731,3/3/15,1731,460 S Prospect St Burlington,Closed
Welfare Check,2015-1357,3/3/15,2217,3/3/15,2217,32 University Ln,Closed
Fire Alarm,2015-1359,3/4/15,609,3/4/15,609,U Hgts S1,Closed
Fire Alarm,2015-1360,3/4/15,638,3/4/15,638,U Hgts S3,Closed
Intrusion Alarm,2015-1361,3/4/15,648,3/4/15,648,Living and Learning,Closed
Intrusion Alarm,2015-1365,3/4/15,1223,3/4/15,1223,Large Animal Facility,Closed
Larceny,2015-1368,3/4/15,1415,02/25/2015 to 3/4/2015,Unknown,28 Fletcher Pl,Open
Elevator Alarm,2015-1372,3/4/15,1553,3/4/15,1553,Waterman,Closed
DUI,2015-1376,3/4/15,2241,3/4/15,2241,MAT Parking Lot,Closed subject cited into district court for driving under the influence
Suspicious Event,2015-1377,3/5/15,212,Unknown,Unknown,Parking Garage,Closed
Fire Alarm,2015-1381,3/5/15,1058,3/5/15,1058,Pomeroy,Closed
Agency  Assist,2015-1385,3/5/15,1333,3/5/15,1333,Mann Hall,Closed
Elevator Alarm,2015-1387,3/5/15,1403,3/5/15,1403,Waterman,Closed
MV Complaint,2015-1389,3/5/15,1813,3/5/15,1813,PFG,Open
Intrusion Alarm,2015-1394,3/5/15,2330,3/5/15,2330,Fleming,Closed
Intrusion Alarm,2015-1395,3/6/15,120,3/6/15,120,Training and Compliance,Closed
Intrusion Alarm,2015-1396,3/6/15,246,3/6/15,246,Training and Compliance,Closed
Agency Assist,2015-1398,3/6/15,902,3/6/15,902,Trinity Campus,Closed
Suspicious Activity,2015-1399,3/6/15,1434,3/6/15,1434,Waterman,Closed
Alarm,2015-1403,3/6/15,1748,3/6/15,1748,Redstone Apts 2-7,Closed
Citizen Assist,2015-1404,3/6/15,1907,3/6/15,1907,PFG,Closed
Suspicious Behavior / Property Damage,2015-1421,3/7/15,310,3/7/15,310,Harris Millis,Closed
Suspicious Behavior,2015-1425,3/7/15,1415,3/7/15,1415,Stafford Hall,Closed
Burglary,2015-1426,3/7/15,1630,03/06-07/2015,2230-0100 / 0130-0800,Redstone Lofts,Open incident
Trespassing,2015-1456,3/8/15,1954,3/8/15,1954,PFG,Closed
Fire Alarm / Drugs,2015-1458,3/8/15,2223,3/8/15,2223,Mercy Hall,Closed; report to CSES
Suspicious Activity,2015-1459,3/8/15,2241,3/8/15,2241,Ira Allen School,Closed; unfounded
Fire Alarm,2015-1464,3/9/15,49,3/9/15,49,University Hgts South 1,Closed
Intrusion Alarm,2015-1469,3/9/15,920,3/9/15,920,Nolan House,Closed
Motorist Assist,2015-1470,3/9/15,1325,3/9/15,1325,East Ave / Main St,Closed
Suspicious Behavior,2015-1473,3/9/15,1507,3/9/15,1507, Votey Parking Lot,Closed
Medical,2015-1476,3/9/15,2107,3/9/15,2107,Gutterson,Closed
Agency Assist,2015-1478,3/10/15,17,3/10/15,17,Staples S Burlington,Closed
Suspicious Behavior,2015-1480,3/10/15,306,3/10/15,306,East Commuter Lot,Closed
Intrusion Alarm,2015-1481,3/10/15,553,3/10/15,553,Waterman,Closed
Agency Assist,2015-1482,3/10/15,647,3/10/15,647,East Ave / Carrigan Dr,Closed
Motorist Assist,2015-1485,3/10/15,902,3/10/15,902,Police Services,Closed
Intrusion Alarm,2015-1487,3/10/15,956,3/10/15,956,Large Animal Facility,Closed
Welfare Check,2015-1489,3/10/15,1137,3/10/15,1137,Jeanne Mance,Closed
Intrusion Alarm,2015-1493,3/10/15,1705,3/10/15,1705,460 S Prospect St,Closed
