Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Larceny,2014-4992,6/30/14,1005,06/26/2014 to 06/30/2014,Unknown,Redstone Lofts,Open
Fire Alarm,2014-4997,6/30/14,1351,6/30/14,1351,Harris,Closed
Larceny,2014-4998,6/30/14,1538,6/30/14,1440 to 1538,Bailey Howe,Open
Blue Light Alarm,2014-5000,6/30/14,1551,6/30/14,1551,IMF,Closed
Assist,2014-5001,7/1/14,111,7/1/14,111,MLS,Closed
Threats / Harassment,2014-5002,7/1/14,718,6/30/14,1140,Old Mill,Closed
Vandalism,2014-5006,7/1/14,1245,Unknown,Unknown,Centennial Field Grounds parking area,Closed
Unsecured Vehicle,2014-5009,7/1/14,1951,7/1/14,1951,MAT Lot,Closed
Motorist Assist,2014-5020,7/2/14,1421,7/2/14,1421,Beaumont Ave / Carrigan Dr,Closed
Larceny,2014-5021,7/2/14,1831,7/2/14,1831,Living and Learning,Open
Subpoena Service,2014-5022,7/2/14,1905,7/2/14,1905,Police Services,Closed
Noise,2014-5023,7/2/14,2141,7/2/14,2141,Redstone Lofts,Closed; unfounded
Open Door,2014-5024,7/2/14,2206,7/2/14,2206,Living and Learning,Closed
Suspicious Behavior,2014-5025,7/2/14,2228,7/2/14,2228,Williams,Closed
Driving License Suspended,2014-5027,7/3/14,2,7/3/14,2,236 S Prospect St,Closed one cited into district court for driving with a suspended license
Agency Assist,2014-5028,7/3/14,8,7/3/14,8,Main St / University Terr,Closed
Agency Assist,2014-5029,7/3/14,59,7/3/14,59,39 Hinesburg Rd S Burlington,Closed
Fire Alarm,2014-5030,7/3/14,339,7/3/14,339,Living and Learning,Closed
Alarm,2014-5031,7/3/14,745,7/3/14,745,Waterman,Closed
Suspicious Event,2014-5032,7/3/14,903,7/3/14,903,Waterman,Closed
Fire Alarm,2014-5033,7/3/14,911,7/3/14,911,Living and Learning,Closed
Other Assist,2014-5036,7/3/14,1314,7/3/14,1314,Wooded area behind Delehanty,Closed
Subpoena Service,2014-5038,7/3/14,1435,7/3/14,1435,Police Services,Closed
Parking Problem,2014-5042,7/3/14,1851,7/3/14,1851,PFG Lot,Closed
Intrusion Alarm,2014-5044,7/3/14,2043,7/3/14,2043,Southwick,Closed
Fire Alarm,2014-5047,7/3/14,2318,7/3/14,2318,Living and Learning,Closed
Intoxication,2014-5050,7/4/14,111,7/4/14,111,College St / S Prospect St,Closed referred to ACT 1 for detox report to CSES
DUI,2014-5051,7/4/14,124,7/4/14,124,Colchester Ave / East Ave,Closed one subject processed and cited into district court for driving under the influence
K9 Assist,2014-5052,7/4/14,151,7/4/14,151,Farrell St  S Burlington,Closed
Blue Light Alarm,2014-5054,7/4/14,251,7/4/14,251,Main Green,Closed
Intoxication,2014-5055,7/4/14,258,7/4/14,258,East Campus,Closed referred to Corrections for detox
Alarm,2014-5031,7/3/14,745,7/3/14,745,Waterman,Closed
Suspicious Event,2014-5032,7/3/14,903,7/3/14,903,Waterman,Closed
Fire Alarm,2014-5033,7/3/14,911,7/3/14,911,Living and Learning,Closed
Trespass,2014-5036,7/3/14,1314,7/3/14,1314,Wooded area behind Delehanty,Closed
Subpoena Service,2014-5038,7/3/14,1435,7/3/14,1435,Police Services,Closed
Parking Problem,2014-5042,7/3/14,1851,7/3/14,1851,PFG Lot,Closed
Intrusion Alarm,2014-5044,7/3/14,2043,7/3/14,2043,Southwick,Closed
Fire Alarm,2014-5047,7/3/14,2318,7/3/14,2318,Living and Learning,Closed
Intoxication,2014-5050,7/4/14,111,7/4/14,111,College St / S Prospect St,Closed referred to ACT 1 for detox report to CSES
DUI,2014-5051,7/4/14,124,7/4/14,124,Colchester Ave / East Ave,Closed one subject processed and cited into district court for driving under the influence
K9 Assist,2014-5052,7/4/14,151,7/4/14,151,Farrell St  S Burlington,Closed
Blue Light Alarm,2014-5054,7/4/14,251,7/4/14,251,Main Green,Closed
Intoxication,2014-5055,7/4/14,258,7/4/14,258,East Campus,Closed referred to Corrections for detox
Vandalism,2014-5057,7/4/14,939,Unknown,Unknown,Hills,Closed
Parking Problem,2014-5058,7/4/14,957,7/4/14,957,Davis Center Lot,Closed
Blue Light Alarm,2014-5068,7/4/14,2317,7/4/14,2317,Jacobs House,Closed
Suspicious Behavior,2014-5084,7/5/14,1520,7/5/14,1520,Forestry Service,Closed
Agency Assist,2014-5086,7/5/14,1900,7/5/14,1900,Newport City Police Dept,Closed
