Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Alcohol Offense,2013-7060,9/1/13,18,9/1/13,18,Wing,Closed report to CSES
Intoxication,2013-7061,9/1/13,20,9/1/13,20,Wills,Closed transported by UVM rescue to FAHC  report to CSES
Drugs-Possession,2013-7063,9/1/13,29,9/1/13,29,Converse Court   Burlington,Closed drugs and paraphernalia confiscated report to CSES
Intoxication,2013-7065,9/1/13,42,9/1/13,42,Davis Hall,Closed report to CSES
Suspicious Event,2013-7066,9/1/13,102,9/1/13,102,WDW,Closed   Unfounded
Ordinance Violation,2013-7068,9/1/13,102,9/1/13,102,CWP,Closed report to CSES
Intoxication,2013-7069,9/1/13,112,9/1/13,112,Harris,Closed transport to FAHC by UVM Rescue  report to CSES
Drugs-Possession,2013-7070,9/1/13,114,9/1/13,114,Redstone Campus,Closed drugs confiscated report to CSES
Simple Assault/ Drug Possession,2013-7071,9/1/13,125,9/1/13,125,Jeanne Mance,Closed subject cited into district court for possession of hallucinogens and simple assault   report to CSES
Drugs-Unfounded,2013-7072,9/1/13,129,9/1/13,129,Richardson,Closed
Drugs-Unfounded,2013-7073,9/1/13,130,9/1/13,130,Chittenden,Closed
Drugs-Unfounded,2013-7074,9/1/13,139,9/1/13,139,McCann,Closed
Suspicious Person,2013-7075,9/1/13,149,9/1/13,149,CBW,Closed
Drugs-Possession,2013-7076,9/1/13,152,9/1/13,152,Redstone Quad,Closed drugs and alcohol confiscated report to CSES
Welfare Check,2013-7077,9/1/13,156,9/1/13,156,Millis,Closed
Alcohol Offense,2013-7078,9/1/13,210,9/1/13,210,Redstone Quad,Closed confiscated alcohol report to CSES
Disorderly Conduct,2013-7080,9/1/13,248,9/1/13,248,Living and Learning,Closed
Suspicious Person,2013-7081,9/1/13,346,9/1/13,346,Living and Learning,Closed
Agency Assist,2013-7082,9/1/13,414,9/1/13,414,Police Services,Closed
Agency Assist,2013-7085,9/1/13,647,9/1/13,647,237 East Ave Burlington,Closed
Agency Assist,2013-7087,9/1/13,736,9/1/13,736,155 Maple St Burlington,Closed
Fire Alarm,2013-7088,9/1/13,834,9/1/13,834,Colchester Research,Closed
Suspicious Persons,2013-7090,9/1/13,1016,9/1/13,1016,PFG Running Track,Closed
Property Damage,2013-7091,9/1/13,1018,9/1/13,1018,Grassmount,Closed
Larceny,2013-7094,9/1/13,1449,9/1/13,1449,Angell,Open
Animal Problem,2013-7095,9/1/13,1514,9/1/13,1514,PFG Lot,Closed ; Unfounded
Arson,2013-7097,9/1/13,1716,9/1/13,1716,Centennial Field,Open
Alcohol Offense,2013-7098,9/1/13,1805,9/1/13,1805,Harris Millis,Closed alcohol confiscated  report to CSES
Medical,2013-7099,9/1/13,1824,9/1/13,1824,Simpson,Closed
Agency Assist,2013-7102,9/1/13,1917,9/1/13,1917,Main St /East Ave,Closed
Alcohol Offense,2013-7104,9/1/13,2036,9/1/13,2036,Harris,Closed alcohol confiscated report to CSES
Suspicious Event,2013-7105,9/1/13,2051,9/1/13,2051,Davis Rd / S Prospect St,Closed
Suspicious Person,2013-7107,9/1/13,2219,9/1/13,2219,Southwick,Closed 
Medical,2013-7109,9/1/13,2232,9/1/13,2232,Hunt,Closed transport to FAHC by UVM rescue
Agency Assist,2013-7110,9/1/13,2259,9/1/13,2259,Police Services,Closed
Drugs-Possession,2013-7112,9/1/13,2321,9/1/13,2321,Redstone Campus,"Closed alcohol and drugs confiscated , report to CSES"
Noise,2103-7113,9/1/13,2330,9/1/13,2330,Redstone Lofts,Closed report to CSES
