Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Citizen Assist,2013-1918,3/1/13,46,3/1/13,46,Jeffords,Closed
Suspicious Person,2013-1919,3/1/13,46,3/1/13,46,Davis Center,Closed
Alcohol Offense,2013-1923,3/1/13,128,3/1/13,128,Jeanne Mance,Closed; Report to CSES
Intoxication,2013-1924,3/1/13,129,3/1/13,129,Colchester Av / University Pl,Closed; Transported to ACT 1
Disturbance / Alcohol Offense,2013-1927,3/1/13,156,3/1/13,156,Main St / S Williams St,Closed; Report to CSES
Alcohol Offense / Public Urination,2013-1931,3/1/13,222,3/1/13,222,Buell St / S Union St,Closed; Report to CSES
Fire Alarm,2013-1932,3/1/13,249,3/1/13,249,Wing Davis Wilks,Closed
Accident,2013-1938,3/1/13,456,3/1/13,456,Harris Millis Lot,Open
Property Damage,2013-1942,3/1/13,938,3/1/13,938,Living and Learning,Closed; Traffic Citation issued; Report to CSES
Motorist Assist,2013-1943,3/1/13,944,3/1/13,944,Marsh Austin Tupper,Closed
Drugs,2013-1949,3/1/13,1330,3/1/13,1330,University Heights North 1,Closed
Motorist Assist,2013-1951,3/1/13,1459,3/1/13,1459,PFG,Closed
Larceny,2013-1953,3/1/13,1607,3/1/13,1607,Christie,Open
Drugs,2013-1955,3/1/13,1640,3/1/13,1640,Coolidge,Closed
Drugs,2013-1957,3/1/13,1759,3/1/13,1759,Tupper,Closed; Report to CSES
Drugs,2013-1959,3/1/13,2144,3/1/13,2144,Simpson,Closed; Unfounded
Drugs,2013-1961,3/1/13,2200,3/1/13,2200,Living and Learning,Closed; Res Life to Document
Drugs/Alcohol,2013-1962,3/1/13,2211,3/1/13,2211,Simpson,Closed; Report to CSES
Agency Assist,2013-1966,3/1/13,2356,3/1/13,2356,861 Williston Rd,Closed
Suspicious Vehicle,2013-1969,3/2/13,117,3/2/13,117,Davis Center - Mega Bus Stop,Closed
Drugs,2013-1970,3/2/13,227,3/2/13,227,Davis Center - Mega Bus Stop,Closed; Subject lodged at corrections for Poss of Cocaine and Poss of Marijuana
Drugs,2013-1980,3/2/13,1202,3/2/13,1202,University Heights North 1,Closed
Motorist Assist,2013-1983,3/2/13,2012,3/2/13,2012,Main St / S Willard St,Closed
Agency Assist,2013-1984,3/2/13,2310,3/2/13,2310,Main St / Spear St,Closed
Drugs,2013-1986,3/3/13,104,3/3/13,104,Main St / S Prospect St,Closed;; Subject Lodged for Poss of Narcotics
Suspicious Vehicle,2013-1988,3/3/13,114,3/3/13,114,Davis Center - Mega Bus Stop,Closed
Citizen Assist,2013-2003,3/3/13,2027,3/3/13,2027,East Campus,Closed
K9 Assist,2013-2004,3/3/13,2033,3/3/13,2033,"Dion St, Colchester",Closed
Noise,2013-2008,3/4/13,308,3/4/13,308,500 S Prospect St. 10-72,Closed; Unfounded
Drugs,2013-2011,3/4/13,1006,3/4/13,1006,Simpson Hall,Closed
Property Damage,2013-2016,3/4/13,1528,3/4/13,700,Gutterson Parking Garage,Closed
Open Door,2013-2018,3/4/13,1926,3/4/13,1926,Davis Center,Closed
Suspicious Vehicle,2013-2019,3/4/13,2041,3/4/13,2041,Christie Hall,Closed
Citizen Assist,2013-2021,3/4/13,2102,3/4/13,2102,Jeffords Hall,Closed
Suspicious Person,2013-2026,3/5/13,37,3/5/13,37,Davis Center,Closed
Suspicious Event,2013-2027,3/5/13,46,3/5/13,46,Davis Center,Closed
Alcohol Offense,2013-2031,3/5/13,240,3/5/13,240,PFG,Closed; alcohol tickets issued
Open Door,2013-2032,3/5/13,515,3/5/13,515,Waterman,Closed
Property Damage,2013-2033,3/5/13,730,3/5/13,730,Terrill Hall,Closed
Suspicious Event,2013-2039,3/5/13,1245,Unk.,Unk,College St,Open incident
Suspicious Odor,2013-2044,3/5/13,1544,3/5/13,1544,Waterman,Closed
Agency Assist,2013-2046,3/5/13,1641,3/5/13,1641,Billings,Closed
Intrusion Alarm,2013-2047,3/5/13,1758,3/5/13,1758,Fleming,Closed
Agency Assist,2013-2053,3/5/13,2325,3/5/13,2325,Main St / University Heights,Closed
Drugs,2013-2055,3/6/13,36,3/6/13,36,Colchester Ave / East Ave.,Closed; 1 non affiliate cited for Poss. of Narcotics & 1 non affiliate cited for Poss. of Heroin & Poss. of Cocaine
Agency Assist,2013-2056,3/6/13,342,3/6/13,342,"Williston Rd / Dorset St, S. Burlington",Closed
Vandalism,2013-2069,3/6/13,1512,3/6/13,1512,Wright Hall,Open
Intrusion Alarm,2013-2074,3/6/13,2303,3/6/13,2303,460 S. Prospect St.,Closed
Suspicious Vehicle,2013-2078,3/7/13,20,3/7/13,20,Converse Hall,Closed; unfounded
Drugs,2013-2079,3/7/13,108,3/7/13,108,Main St / Spear St,Closed; Subject charged with Trafficking Heroine and Trafficking Cocaine
Vandalism,2013-2083,3/7/13,1238,03/06-03/07/2013,1530-0800,Harris,Open
Vandalism,2013-2084,3/7/13,1333,Unk,Unk,Living and Learning,Open
Vandalism,2013-2090,3/7/13,1630,Unk,Unk,Kalkin,Open
Medical Assist,2013-2093,3/7/13,1933,3/7/13,1933,PFG,Closed; UVM Rescue transported to FAHC
Accident,2013-2094,3/7/13,2043,3/7/13,2043,Gutterson,Closed
Drugs,2013-2095,3/8/13,3,3/8/13,3,590 Main St - Mega Bus Stop,Closed; Subject Charged wtih Trafficking Herione and Poss. of Marijuana
Larceny,2013-2102,3/8/13,1433,3/8/13,1433,Rowell,Open
Vandalism,2013-2105,3/8/13,1842,Unk,Unk,601 Main St,Open
Suspicious Person,2013-2107,3/9/13,44,3/9/13,44,Jeffords,Closed
Citizen Assist,2013-2108,3/9/13,46,3/9/13,46,Jeffords,Closed
Driving While Suspended,2013-2113,3/9/13,231,3/9/13,231,I89 /  Winooski Bridge,Closed; subject cited for driving while suspended
Citizen Assist,2013-2119,3/9/13,815,3/9/13,815,PFG,Closed
Larceny,2013-2120,3/9/13,908,03/08-03/09/2013,Unk,Gutterson,Open
Suspicious Person,2013-2122,3/9/13,958,3/9/13,958,34 S Williams St,Closed; Unfounded
Blue Light Alarm,2013-2129,3/9/13,1324,3/9/13,1324,Given Loading Dock,Closed
Medical Assist / Drugs,2013-2130,3/9/13,1339,3/9/13,1339,Davis Center,Closed; UVM Rescue transported to FAHC; Probation and Parole took custody of subject
Motorist Assist,2013-2133,3/9/13,1956,3/9/13,1956,Waterman,Closed
Suspicious Person,2013-2138,3/10/13,53,3/10/13,53,Bailey Howe,Closed
K9 Assist,2013-2146,3/10/13,700,3/10/13,700,King St / S Winooski Av,Closed
Intrusion Alarm,2013-2149,3/10/13,1046,3/10/13,1046,460 S Prospect St,Closed
DUI,2013-2162,3/10/13,2352,3/10/13,2352,861 Williston Rd,Closed; Subject cited into court for DUI
Agency Assist,2013-2165,3/11/13,44,3/11/13,44,225 Dorset St       S. Burlington,Closed
Medical Assist,2013-2180,3/11/13,1105,3/11/13,1105,Bailey Howe,Closed; referred to UVM Rescue
Agency Assist,2013-2182,3/11/13,1303,3/11/13,1303,North St / N. Prospect St,Closed
Agency Assist,2013-2185,3/11/13,1729,3/11/13,1729,Manhattan Dr.,Closed
Suspicious Event,2013-2186,3/11/13,1729,3/11/13,1729,Main St / University Heights,Closed
Drugs,2013-2190,3/11/13,1919,3/11/13,1919,Wilks Hall,Closed; unfounded
Intrusion Alarm,2013-2191,3/11/13,1935,3/11/13,1935,460 S. Prospect St,Closed
Drugs,2013-2192,3/11/13,2210,3/11/13,2210,McAuley Hall,Closed; unfounded
Intrusion Alarm,2013-2196,3/11/13,2227,3/11/13,2227,Waterman,Closed
Intrusion Alarm,2013-2197,3/11/13,2246,3/11/13,2246,460 S. Prospect St,Closed
Drugs,2013-2199,3/11/13,2322,3/11/13,2322,Marsh Hall,Closed; report to CSES
Intrusion Alarm,2013-2201,3/12/13,15,3/12/13,15,460 S. Prospect St,Closed
Suspicious Event,2013-2208,3/12/13,225,3/12/13,225,Votey Hall,Closed
Medical Assist,2013-2211,3/12/13,646,3/12/13,646,Williston Rd,Closed; referred to S. Burlington Rescue
Medical Assist,2013-2217,3/12/13,1033,3/12/13,1033,Chittenden Hall,Closed; referred to UVM Rescue
Larceny,2013-2225,3/12/13,1312,3/12/13,1312,Davis Center,Closed; report to CSES
Agency Assist,2013-2226,3/12/13,1430,3/12/13,1430,Davis Center,Closed
Drugs,2013-2228,3/12/13,1456,3/12/13,1456,Wing Davis Wilks,Closed
Drugs,2013-2230,3/12/13,1536,3/12/13,1536,Simpson Hall,Closed; report to CSES
Agency Assist,2013-2231,3/12/13,1604,3/12/13,1604,"W. Allen St, Winooski",Closed
Alarm,2013-2234,3/12/13,1637,3/12/13,1637,South 2,Closed
Agency Assist,2013-2236,3/12/13,1731,3/12/13,1731,"Quarry Hill Rd, S. Burlington",Closed
Recovered Property,2013-2237,3/12/13,1814,3/12/13,1814,Wright Hall,Closed
Traffic / DUI,2013-2240,3/12/13,2015,3/12/13,2015,S. Prospect St / Main St.,Closed; non affiliate cited for DUI
Noise / Drugs,2013-2247,3/13/13,7,3/13/13,7,Redstone Lofts N203,Closed; unfounded
Fire Alarm,2013-2250,3/13/13,100,3/13/13,100,Sichel Hall,Closed
Drugs,2013-2259,3/13/13,943,3/13/13,943,Chittenden Hall,Closed
Domestic Disturbance,2013-2260,3/13/13,1155,3/12/13,1645,"Catamount Ln, Colchester",Closed; non affiliate trespassed from campus
Medical Assist,2013-2261,3/13/13,1305,3/13/13,1305,Patrick Gym,Closed; referred to UVM Rescue
Vandalism,2013-2262,3/13/13,1641,3/2/13,200,Coolidge Hall,Open
Welfare Check,2013-2264,3/13/13,1839,3/13/13,1839,Simpson Hall,Closed; subject located
Drugs / Alcohol Offense,2013-2265,3/13/13,2222,3/13/13,2222,Jeanne Mance,Closed; report to CSES
Blue Light Alarm,2013-2266,3/13/13,2253,3/13/13,2253,PFG,Closed
Property Damage,2013-2280,3/14/13,924,3/14/13,924,Gutterson Garage,Closed
Motorist Assist,2013-2281,3/14/13,1008,3/14/13,1008,Given,Closed
Accident,2013-2287,3/14/13,1616,3/14/13,1616,PFG,Closed
Fire Alarm,2013-2288,3/14/13,1848,3/14/13,1848,University Heights North 3,Closed
Agency Assist,2013-2289,3/14/13,1949,3/14/13,1949,Kalkin,Closed
Drugs,2013-2290,3/14/13,2004,3/14/13,2004,Living and Learning,Closed; Unfounded
Suspicious Event,2013-2293,3/14/13,2212,3/14/13,2212,PFG,Closed
Burglary / Alcohol Offense,2013-2304,3/15/13,122,3/15/13,122,16 Colchester Av,Closed; Subject lodged at corrections for Burglary and Trespassed; 3 Additional Subjects Trespassed
Agency Assist,2013-2307,3/15/13,839,3/15/13,839,Simpson,Closed
Fire Alarm,2013-2309,3/15/13,1220,3/15/13,1220,University Heights South 1,Closed
Agency Assist,2013-2310,3/15/13,1259,3/15/13,1259,140 Colchester Av,Closed
Fire Alarm,2013-2312,3/15/13,1408,3/15/13,1408,University Heights South 1,Closed
Larceny,2013-2318,3/15/13,1842,3/15/13,1745,PFG,Open
Medical Assist,2013-2319,3/15/13,2126,3/15/13,2126,Davis,Closed
