Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Intoxication,2014-8442,11/1/14,26,11/1/14,26,Millis Hall,Closed; referred non-affiliate to UVM Rescue & Fletcher Allen for Detox; report to CSES
Intoxication,2014-8443,11/1/14,30,11/1/14,30,S Prospect St / Maple St,Closed; referred to ACT 1 & Corrections for Detox; report to CSES
Disturbance,2014-8444,11/1/14,38,11/1/14,38,Main St / S Willard St,Closed
Suspicious Event,2014-8446,11/1/14,56,11/1/14,56,Redstone Green,Closed
Medical Assist,2014-8447,11/1/14,111,11/1/14,111,North 1,Closed; referred to UVM Rescue
Intoxication,2014-8448,11/1/14,113,11/1/14,113,Buckham,"Closed; referred to Burlington Rescue, Fletcher Allen ER, & ACT 1 for detox; report to CSES"
Fire / CO Alarm,2014-8449,11/1/14,116,11/1/14,116,South 2,Closed
Agency Assist,2014-8450,11/1/14,140,11/1/14,140,S Prospect St,Closed; referred affiliate to Burlington Police for Detox
Intoxication,2014-8451,11/1/14,147,11/1/14,147,Chittenden Hall,Closed; referred to UVM Rescue & Fletcher Allen ER for Detox; report to CSES
Agency Assist,2014-8452,11/1/14,227,11/1/14,227,Barrett St  / Colchester Ave,Closed
Blue Light Alarm,2014-8454,11/1/14,331,11/1/14,331,Jacobs House,Closed
Suspicious Activity,2014-8458,11/1/14,826,11/1/14,826,Living & Learning,Closed
Open Door,2014-8459,11/1/14,835,11/1/14,835,475-479 Main St,Closed
Vandalism,2014-8460,11/1/14,836,Unk,Unk,Living & Learning,Open incident
Accident-Property Damage,2014-8461,11/1/14,858,11/1/14,858,Gutterson Parking Lot,Closed
Drugs,2014-8462,11/1/14,941,11/1/14,941,Living & Learning,Closed; report to CSES
Welfare Check,2014-8465,11/1/14,1100,11/1/14,1100,Living & Learning,Closed; subject located
Citizen Assist,2014-8466,11/1/14,1349,11/1/14,1349,Wills Hall,Closed
Parking Violation,2014-8467,11/1/14,1413,11/1/14,1413,Bailey Howe,Closed
Fire Alarm,2014-8470,11/1/14,1522,11/1/14,1522,Buckham Hall,Closed
Vandalism,2014-8471,11/1/14,1535,Unk,Unk,Buckham Hall,Open incident
Medical Assist / Drugs,2014-8474,11/1/14,2129,11/1/14,2129,Wills Hall,Closed; non affiliate referred to UVM Rescue & Fletcher Allen ER; report to CSES
Suspicious Vehicle,2014-8475,11/1/14,2332,11/1/14,2332,UVM Farm,Closed
Fire Alarm,2014-8477,11/2/14,14,11/2/14,14,Millis Hall,Closed
Medical Assist,2014-8478,11/2/14,102,11/2/14,102,Mercy Hall,Closed; referred to UVM Rescue
Agency Assist,2014-8482,11/2/14,325,11/2/14,325,"S. Park Dr, Colchester",Closed
Vandalism,2014-8485,11/2/14,755,Unk,Unk,Coolidge Hall,Open incident
Suspicious Behavior,2014-8496,11/2/14,1354,11/2/14,1354,Bailey Howe,Closed
Welfare Check / Medical Assist,2014-8499,11/2/14,1528,11/2/14,1528,Given,Closed; subjects located & referred to UVM Rescue & Fletcher Allen ER
Medical Assist,2014-8500,11/2/14,1604,11/2/14,1604,Centennial Field,Closed; referred non affiliate to UVM Rescue
Intrusion Alarm,2014-8501,11/2/14,1711,11/2/17,1711,Fleming,Closed
Larceny,2014-8502,11/2/14,1847,10/31/2014 - 11/01/2014,1800-1030,Harris Millis,Open incident
Drugs,2014-8503,11/2/14,1856,11/2/14,1856,Harris Hall,Closed; unfounded
Burglary,2014-8504,11/2/14,2013,11/2/14,1920-1950,McAuley Hall,Open incident
Vandalism Graffiti,2014-8512,11/3/14,859,Unknown,Unknown,Wills,Closed
Larceny,2014-8513,11/3/14,925,10/31/2014 to 11/03/2014,Unknown,109 S Prospect St,Open
Other Assist,2014-8519,11/3/14,1701,11/3/14,1701,Votey,Closed
Suspicious Behavior,2014-8520,11/3/14,1803,11/3/14,1803,57 Seth Cir Williston,Closed
Intrusion Alarm,2014-8525,11/4/14,613,11/4/14,613,466 S Prospect St,Closed
Vandalism,2014-8527,11/4/14,627,11/4/14,627,Mason Hall,Closed
Intrusion Alarm,2014-8529,11/4/14,816,11/4/14,816,466 S Prospect St,Closed
Larceny,2014-8534,11/4/14,1317,11/4/14,1317,Waterman,Open
Intrusion Alarm,2014-8537,11/4/14,1813,11/4/14,1813,30 Kimball Ave  S Burlington,Closed
Citizen Dispute,2014-8539,11/4/14,2245,11/4/14,2245,Redstone Lofts,Closed report to CSES
Intrusion Alarm,2014-8525,11/4/14,613,11/4/14,613,466 S Prospect St,Closed
Vandalism,2014-8527,11/4/14,627,11/4/14,627,Mason Hall,Closed
Intrusion Alarm,2014-8529,11/4/14,816,11/4/14,816,466 S Prospect St,Closed
Larceny,2014-8534,11/4/14,1317,10/24 to 10/28/2014,1630 to 0800,Waterman,Open
Intrusion Alarm,2014-8537,11/4/14,1813,11/4/14,1813,30 Kimball Ave  S Burlington,Closed
Citizen Dispute,2014-8539,11/4/14,2245,11/4/14,2245,Redstone Lofts,Closed report to CSES
Blue Light Alarm,2014-8559,11/5/14,1433,11/5/14,1433,Bailey Howe,Closed
Agency Assist,2014-8564,11/5/14,1551,11/5/14,1551,Millis,Closed
DUI,2014-8578,11/6/14,219,11/6/14,219,Colchester Ave / East Ave,Closed one cited into district court for driving under the influence
Theft of Service,2014-8579,11/6/14,802,11/6/14,802,PFG,Closed
Elevator Alarm,2014-8583,11/6/14,927,11/6/14,927,South 3,Closed
Agency Assist,2014-8594,11/6/14,1238,11/6/14,1238,Latham Ct / Colchester Ave,Closed
Simple Assault,2014-8595,11/6/14,1313,10/31/2014-11/02/2014,Unk,Unknown Off Campus Apt.,Open incident
Simple Assault,2014-8597,11/6/14,1445,10/31/14-11/01/2014,Unk,Off Campus,Open incident
Parking Violation,2014-8598,11/6/14,1623,11/6/14,1623,61 Summit St,Closed
Intrusion Alarm,2014-8600,11/6/14,1954,11/6/14,1954,Fleming,Closed
Drugs,2014-8601,11/6/14,2009,11/6/14,2009,Millis Hall,Closed; unfounded
Intoxication,2014-8604,11/7/14,57,11/7/14,57,Jeanne Mance,Closed; referred to ACT 1 for detox; report to CSES
Medical Assist,2014-8608,11/7/14,425,11/7/14,428,Redstone Lofts,Closed; referred to UVM Rescue
Agency Assist,2014-8611,11/7/14,1104,11/7/14,1104,Jeffords Hall Parking Lot,Closed
Citizen Assist,2014-8612,11/7/14,1127,11/7/14,1127,Aiken Hall,Closed
Welfare Check,2014-8620,11/7/14,1615,11/7/14,1615,Davis Hall,Closed; subject located
Accident - Property Damage,2014-8621,11/7/14,1640,11/7/14,Unk,North 1,Closed
Medical Assist,2014-8629,11/7/14,2057,11/7/14,2057,Simpson Hall,Closed; referred to UVM Rescue
Drugs,2014-8639,11/8/14,10,11/8/14,10,Mercy Hall,Closed; report to CSES
Fire Alarm / Vandalism,2014-8643,11/8/14,331,11/8/14,331,Hunt Hall,Open incident
Medical Assist,2014-8646,11/8/14,1115,11/8/14,1115,Simpson,Closed; Rescue transported to FAHC
Medical Assist,2014-8648,11/8/14,1142,11/8/14,1142,McAuley,Closed; Rescue transported to FAHC
Disorderly Conduct,2014-8651,11/8/14,1431,11/8/14,1431,Living and Learning Marche,Closed; subject cited for Disorderly Conduct
Medical Assist,2014-8657,11/8/14,1957,11/8/14,1957,Living and Learning Marche,Closed; Rescue transported to FAHC
Ordinance Violation / Alcohol Violation,2014-8662,11/8/14,2257,11/8/14,2257,S Prospect St / Cliff St,Closed
Bicycle Larceny,2014-8667,11/8/14,2353,11/07-08/2014,2200-2353,Cottages,Open
Intoxication,2014-8673,11/9/14,133,11/9/14,133,Buckham,Closed; Unfounded
Intoxication / Drugs,2014-8674,11/9/14,138,11/9/14,138,University Heights South 2,"Closed; 1 subject cited for possession of marijuana and 1 cited for  possession of marijuana, possession of drug paraphernalia , furnishing alcohol to a minor and interference to access to emergency services ; report to CSES"
Agency Assist,2014-8675,11/9/14,740,11/9/14,740,271 Colchester Ave,Closed
Fire Alarm,2014-8676,11/9/14,743,11/9/14,743,Outing Club,Closed
Suspicious Activity,2014-8680,11/9/14,1828,11/9/14,1828,Pomeroy Hall,Closed; unfounded
Accident / Property Damage,2014-8693,11/10/14,1450,11/10/14,1450,Waterman,Closed
