Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Anonymous Reported Sexual Assault,2013-8094,10/1/13,806,08/23-25/2013,Unk,Mason Hall,Closed
Medical Assist,2013-8097,10/1/13,1043,10/1/13,1043,Living & Learning,Closed; referred to UVM Rescue
Accident,2013-8100,10/1/13,1404,10/1/13,1404,PFG,Closed
Drugs,2013-8101,10/1/13,1604,10/1/13,1604,Wright Hall,Closed; report to CSES
Anonymous Reported Sexual Assault,2013-8103,10/1/13,1649,Unk,Unk,Unknown,Open incident
Leaving Scene of Accident,2013-8104,10/1/13,1703,10/1/13,1703,Christie Hall,Open incident
Fire Alarm,2013-8105,10/1/13,1747,10/1/13,1747,Harris Millis,Closed
Suspicious Event,2013-8106,10/1/13,1809,10/1/13,1809,Harris Millis,Closed; unfounded
Larceny,2013-8107,10/1/13,2024,Sep-13,Unk,Waterman,Open incident
Drugs,2013-8110,10/1/13,2317,10/1/13,2317,Harris Hall,Closed; unfounded
Noise,2013-8114,10/2/13,13,10/2/13,13,South 1,Closed; unfounded
Agency Assist,2013-8117,10/2/13,609,10/2/13,609,Colchester Ave / East Ave,Closed
Fire Alarm,2013-8118,10/2/13,933,10/2/13,933,Davis Center,Closed
Vandalism,2013-8119,10/2/13,1001,10/2/13,1001,Old Mill,Open incident
Blue Light Alarm,2013-8120,10/2/13,1045,10/2/13,1045,PFG,Closed
Larceny,2013-8123,10/2/13,1118,10/2/13,0000-0200,Davis Center,Open incident
Drugs,2013-8129,10/2/13,1935,10/2/13,1935,Sichel Hall,Closed; unfounded
Agency Assist,2013-8130,10/2/13,2003,10/2/13,2003,Williston Rd / Dorset St,Closed
Drugs,2013-8133,10/2/13,2311,10/2/13,2311,North 2,Closed
Medical Assist,2013-8141,10/3/13,919,10/3/13,919,Rowell Hall,Closed; referred to UVM Rescue
Motor Vehicle Complaint,2013-8142,10/3/13,1004,10/3/13,Unk,Main St / University Heights,Closed
Larceny,2013-8143,10/3/13,1125,Unk,Unk,McCann Hall,Open incident
Citizen Assist,2013-8144,10/3/13,1129,10/3/13,1129,Bailey Howe,Closed
Citizen Assist,2013-8145,10/3/13,1158,10/3/13,1158,Old Mill,Closed
Fire Alarm,2013-8146,10/3/13,1229,10/3/13,1229,South 1,Closed
Welfare Check,2013-8151,10/3/13,1514,10/3/13,1514,Redstone Campus,Closed; subject located
Suspicious Event,2013-8153,10/3/13,1615,10/2/13,Unk,Coolidge Hall,Open incident
