Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Medical Assist / Alcohol Offense,2017-9658,12/1/17,4,12/1/17,4,Harris Hall,Closed; affiliate referred to UVM Rescue & report to CSC
Traffic / Drugs,2017-9661,12/1/17,30,12/1/17,30,Spear St / Main St,Closed; report to CSC
Fire Alarm,2017-9663,12/1/17,105,12/1/17,105,McAuley Hall,Closed
Traffic / Drugs,2017-9669,12/1/17,452,12/1/17,452,"Williston Rd, So. Burlington",Closed
Suspicious Vehicle,2017-9674,12/1/17,550,12/1/17,550,Jeanne Mance Parking Lot,Closed
Intrusion Alarm,2017-9677,12/1/17,1031,12/1/17,1031,430 Spear St,Closed
Citizen Assist,2017-9678,12/1/17,1404,12/1/17,1404,CCRH,Closed
Motor Vehicle Complaint,2017-9679,12/1/17,1502,12/1/17,1502,RTT,Closed
Citizen Assist,2017-9680,12/1/17,1526,12/1/17,1526,Living and Learning,Closed
Theft of Service,2017-9681,12/1/17,1531,12/1/17,1531,Davis Lot,Closed; Report to CSC
Trespass,2017-9683,12/1/17,1554,12/1/17,1554,284 East Ave,Closed; Non affiliate issued trespass
Welfare Check,2017-9685,12/1/17,1831,12/1/17,1831,Amphitheater,Closed
Traffic / DLS,2017-9690,12/1/17,2323,12/1/17,2323,Riverside Ave / Hillside Ave,Closed; Cited into court for Criminal DLS
Motor Vehicle Complaint,2017-9692,12/1/17,2349,12/1/17,2349,PFG Lot,Closed; Unable to locate
Unsecure Premise,2017-9693,12/1/17,2357,12/1/17,2357,PFG Ice Rink,Closed
Intoxication,2017-9694,12/2/17,2,12/2/17,2,Tupper,Closed; UVM Rescue transported to UVM MC; Report to CSC
Alcohol Offense,2017-9696,12/2/17,104,12/2/17,104,WDW Outside,Closed; Report to CSC
Blue Light Alarm,2017-9697,12/2/17,149,12/2/17,149,194 S Prospect St,Closed
Unsecured Premise,2017-9700,12/2/17,342,12/2/17,342,Williams,Closed
Intrusion Alarm,2017-9704,12/2/17,1239,12/2/17,1239,"Training & Compliance, Ryan St, Essex",Closed
Welfare Check,2017-9709,12/2/17,1643,12/2/17,1643,Living & Learning,Closed; affiliate referred to UVM MC Crisis Services
Suspicious Behavior,2017-9710,12/2/17,2006,12/2/17,2006,Bailey Howe,Closed
