Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Citizen Assist,2015-7005,11/1/15,48,11/1/15,48,University Hgts,Closed
Drugs / Alcohol Offense,2015-7007,11/1/15,114,11/1/15,114,Davis Hall,Closed; report to CSES
Intoxication / Medical Assist,2015-7008,11/1/15,120,11/1/15,120,Harris Hall,Closed; referred to UVM Rescue & ACT 1 for detox; report to CSES
Alcohol Offense / Medical Assist,2015-7009,11/1/15,146,11/1/15,146,Davis Hall,Closed; referred to UVM Rescue & report to CSES
Vandalism,2015-7010,11/1/15,151,Unk,Unk,Simpson Hall,Open incident
Drugs,2015-7011,11/1/15,157,11/1/15,157,Davis Hall,Closed; report to CSES
University Policy Violation,2015-7012,11/1/15,137,11/1/15,137,Williams Hall Fire Escape,Closed; report to CSES
Drugs / Alcohol Offense,2015-7013,11/1/15,151,11/1/15,151,Wilks Hall,Closed; report to CSES
Unsecured Premise,2015-7014,11/1/15,204,11/1/15,204,Living & Learning,Closed
Citizen Assist,2015-7015,11/1/15,209,11/1/15,209,Wilks Hall,Closed
Intrusion Alarm,2015-7016,11/1/15,508,11/1/15,508,Nolan House,Closed
Larceny,2015-7021,11/1/15,1729,10/16/15,Unk,Christie Hall,Open incident
Drugs,2015-7022,11/1/15,1857,Unk,Unk,Wing Hall,Open incident
Medical Assist,2015-7024,11/1/15,2131,11/1/15,2131,Living & Learning Marche,Closed; referred to UVM Medical Center via UVM Rescue
Vandalism - Graffiti,2015-7025,11/1/15,2325,11/1/15,2325,Coolidge Hall,Open incident
Medical Assist,2015-7026,11/2/15,824,11/2/15,824,Marche,Closed; UVM Rescue transported to UVM MC
Larceny,2015-7027,11/2/15,836,10/31-11/02/2015,Unk,Spear St Farm Lot,Open
Theft of Service,2015-7029,11/2/15,1034,11/2/15,1034,Christie Lot,Open
Vandalism - Graffiti,2015-7031,11/2/15,1326,Unk,Unk,439 College St,Open
Welfare Check,2015-7032,11/2/15,1332,11/2/15,1332,Jeffords Lot,Closed
Accident,2015-7033,11/2/15,1431,11/2/15,1431,WDW Lot,Closed
Domestic Disturbance,2015-7034,11/2/15,1602,10/27/15,900,Wing,Closed; Referred to Title IX Coordinator
Vandalism,2015-7035,11/2/15,1611,11/2/15,Unk,Jeffords Lot,Open
Medical Assist,2015-7038,11/2/15,2022,11/2/15,2022,Redstone Lofts,Closed; UVM Rescue transported to UVM MC
Attempted Vandalism,2015-7045,11/2/15,2238,11/2/15,2238,Harris,Closed
Unsecured Premise,2015-7050,11/3/15,432,11/3/15,432,Millis,Closed
Larceny,2015-7061,11/3/15,1337,11/3/15,1337,Jeffords Outside,Closed; Property was turned in to lost & found
