Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Vandalism - Graffiti,2017-6035,8/1/17,103,8/1/17,103,Wright Hall Outside,Closed; non affiliate referred to Alternative Justice & trespass issued
Agency Assist,2017-6038,8/1/17,216,8/1/17,216,"E Allen St / Cascade Way, Winooski",Closed; assist to Winooski Police
Fire Alarm,2017-6040,8/1/17,650,8/1/17,650,212 Colchester Ave,Closed
Fire Alarm,2017-6043,8/1/17,930,8/1/17,930,258 Colchester Ave,Closed
Panic Alarm,2017-6049,8/1/17,1239,8/1/17,1239,425 Pearl St,Closed
Citizen Assist,2017-6066,8/2/17,157,8/2/17,157,568 S Prospect St,Closed
Agency Assist,2017-6072,8/2/17,1323,8/2/17,1323,"154 Depot St, Williamstown",Closed; Assist to Green Mountain Critical Incident Stress Management Team
Motorist Assist,2017-6075,8/2/17,1533,8/2/17,1533,PFG Rd / Davis Rd,Closed
Unsecured Premise,2017-6088,8/2/17,2155,8/2/17,2155,30 University Heights,Closed
Motorist Assist,2017-6092,8/2/17,2241,8/2/17,2241,Redstone Lofts,Closed
Fire,2017-6105,8/3/17,812,8/3/17,812,Torrey,Closed
Stalking,2017-6106,8/3/17,1006,8/2/17,1630,So. Prospect St,Open
Assist Other,2017-6107,8/3/17,1015,8/3/17,1015,665 Spear St,Closed
Motor Vehicle Complaint,2017-6108,8/3/17,1300,8/3/17,1300,PFG Rd,Closed; Unable to locate
Citizen Assist,2017-6112,8/3/17,1655,8/3/17,1655,Riverside Ave / N Prospect St,Closed
Medical Assist,2017-6116,8/3/17,2007,8/3/17,2007,Centennial Field,Closed; UVM Rescue treated on scene
Agency Assist,2017-6121,8/4/17,57,8/4/17,57,College St / S Willard St ,Closed; Assist to BPD
Fire Alarm,2017-6129,8/4/17,1032,8/4/17,1032,Wilks Hall,Closed
Agency Assist,2017-6130,8/4/17,1100,8/4/17,1100,Wing Davis Wilks,Closed; assist to Chittenden Unit for Special Investigations
Motorist Assist,2017-6131,8/4/17,1121,8/4/17,1121,Coolidge Hall Outside,Closed
Welfare Check,2017-6153,8/5/17,44,8/5/17,44,S Williams St / Pearl St,Closed
Suspicious Behavior,2017-6154,8/5/17,135,8/5/17,135,Colchester Ave / East Ave,Closed
Animal Problem,2017-6160,8/5/17,1025,8/5/17,1025,Trinity Campus Parking Lot,Closed
Agency Assist / Fireworks,2017-6166,8/5/17,2135,8/5/17,2135,"East Ter., So. Burlington",Closed; assist to So. Burlington Police & Fireworks Warning Issued
