Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Medical Assist / Intoxication,2017-7899,10/1/17,7,10/1/17,7,Harris,Closed; UVM Rescue transported to UVM MC; Transported to Corrections for detox; Report to CSC
Agency Assist / Traffic,2017-7900,10/1/17,31,10/1/17,31,Williston Rd / I89 Overpass,Closed; Assist to SBPD
Traffic / DUI / Drugs,2017-7904,10/1/17,134,10/1/17,134,"I89 / MM 88, S Burlington",Closed; Cited into court for DUI
Blue Light Alarm / Citizen Assist,2017-7905,10/1/17,207,10/1/17,207,WDW,Closed
Drugs / Alcohol Offense,2017-7906,10/1/17,416,10/1/17,416,Redstone Woods,Closed; Report to CSC; Ticket issed to non affiliate for marijuana
Vandalism,2017-7908,10/1/17,910,Unk,Unk,Virtue Field,Open
Larceny,2017-7909,10/1/17,1256,10/1/17,1000-1030,Marche Dining,Open
Threats / Harassment,2017-7915,10/1/17,1949,10/1/17,1800-1820,Bailey Howe,Closed; affiliate cited into court for Disorderly Conduct; report to CSC
Vandalism,2017-7916,10/1/17,2012,Unk,Unk,CCRH,Open
Welfare Check,2017-7920,10/1/17,2342,10/1/17,2342,"44 South Park Dr, Colchester",Closed
Parking Violation,2017-7921,10/2/17,51,10/2/17,51,Bailey Howe Lot,Closed
Agency Assist / Suspicious Event,2017-7928,10/2/17,922,10/2/17,922,"359 S Park Dr, Colchester",Closed; Assist to CPD
Larceny Bicycle,2017-7929,10/2/17,1036,09/28-10/02/2017,Unk,CCRH,Open
Agency Assist,2017-7933,10/2/17,1527,10/2/17,1527,East and Athletic Campus,Closed; Assist to Burlington Electric
Larceny,2017-7941,10/2/17,1819,09/25-26/2017,Unk,Davis Center,Open
Elevator Alarm,2017-7942,10/2/17,1905,10/2/17,1905,Davis Center,Closed
Accident,2017-7943,10/2/17,1909,10/2/17,900,430 Spear St,Open
Agency Assist,2017-7948,10/2/17,2243,10/2/17,2243,Main St / Beaumont Ave,Closed; Assist to SBPD
Intrusion Alarm,2017-7956,10/3/17,608,10/3/17,608,Waterman,Closed
Agency Assist,2017-7958,10/3/17,736,9/28/17,2300,Hungerford Ter / Bradley St,Closed; Assist to BPD
Accident,2017-7960,10/3/17,1038,9/29/17,950,Given Loading Dock,Closed
Motor Vehicle Complaint / Policy Violation,2017-7961,10/3/17,1046,10/3/17,1046,Gutterson Lot,Closed
Disturbance,2017-7962,10/3/17,1245,10/3/17,1245,Coolidge,Closed
Panic Alarm,2017-7963,10/3/17,1516,10/3/17,1516,Student Health Services,Closed
Agency Assist,2017-7967,10/3/17,1938,10/3/17,1938,Main St / S Prospect St,Closed; Assist to SBPD
Larceny,2017-7971,10/3/17,2040,10/3/17,1600-1700,Bailey Howe,Open
Unsecure Premise,2017-7972,10/3/17,2145,10/3/17,2145,Main Campus Construction Area,Closed
Noise,2017-7978,10/3/17,2325,10/3/17,2325,Amphitheater,Closed; Unsubstantiated
Intoxication / Medical Assist,2017-7981,10/4/17,45,10/4/17,45,Jeanne Mance,Closed; UVM Rescue transported to UVM MC; ACT 1 for detox; Report to CSC
Medical Assist,2017-7983,10/4/17,816,10/4/17,816,Sichel Hall,Closed; affiliate transported to UVM MC ER via UVM Rescue
Fire / CO Alarm,2017-7987,10/4/17,1456,10/4/17,1456,Votey Hall,Closed
Medical Assist,2017-7989,10/4/17,1918,10/4/17,1918,Davis Center,Closed; affiliate transported to UVM MC ER via UVM Rescue
Motorist Assist,2017-8000,10/4/17,2231,10/4/17,2231,Spear St / Davis Rd,Closed
Citizen Assist,2017-8003,10/4/17,2251,10/4/17,2251,Christie Wright Patterson,Closed
Agency Assist / Accident,2017-8004,10/4/17,2257,10/4/17,2257,Main St / S Prospect St,Closed; assist to Burlington Police
Drugs / Alcohol Offense,2017-8006,10/4/17,2307,10/4/17,2307,Sichel Hall,Closed; report to CSC
Traffic / Driving While Suspended,2017-8007,10/4/17,2309,10/4/17,2309,"White St / Charles St, So. Burlington",Closed; non affiliate cited into court for Driving While Suspended
Motorist Assist,2017-8010,10/5/17,139,10/5/17,139,"Williston Rd, So. Burlington",Closed
Fire Alarm,2017-8012,10/5/17,558,10/5/17,558,Old Mill,Closed
Fire Alarm,2017-8018,10/5/17,2145,10/5/17,2145,McAuley Hall,Closed
Suspicious Behavior,2017-8019,10/5/17,2157,10/5/17,2157,East Ave / Colchester Ave,Open incident
Drugs,2017-8020,10/5/17,2208,10/5/17,2208,Redstone Woods,Closed; non substantiated
Traffic / Driving While Suspended,2017-8024,10/5/17,2250,10/5/17,2250,Main St / Maple St,Closed; non affiliate cited into court for Driving While Suspended
Suspicious Event,2017-8025,10/5/17,2255,10/5/17,2209,UVM Police Services,Closed
Unsecured Premise,2017-8027,10/5/17,2305,10/5/17,2305,Davis Center,Closed
Drugs,2017-8029,10/5/17,2333,10/5/17,2333,Farrell Hall Outside,Closed; non substantiated
