Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Intoxication,2013-0925,2/1/13,50,2/1/13,50,Main St / S Prospect St,Closed; Transported to ACT 1
Citizen Assist,2013-0928,2/1/13,208,2/1/13,208,Main St / East Av,Closed
Drugs,2013-0929,2/1/13,221,2/1/13,221,Christie,Unfounded
Agency Assist / Alcohol Offense,2013-0931,2/1/13,519,2/1/13,519,Mason,Closed; Report to CSES
Motorist Assist,2013-0938,2/1/13,1134,2/1/13,1134,Southwick,Closed
Larceny,2013-0940,2/1/13,1254,2/1/13,1254,PFG,Open
Bias Event,2013-0942,2/1/13,1302,1/31/13,1729,Extension Office,Open
Disturbance,2013-0945,2/1/13,1544,2/1/13,1544,University Heights South 2,Closed; Report to Res Life
Agency Assist,2013-0946,2/1/13,1720,2/1/13,1720,108 Dorset St,Closed
Drugs,2013-0947,2/1/13,1724,2/1/13,1724,University Heights South 2,Closed; Report to CSES
Suspicious Person,2013-0948,2/1/13,1755,2/1/13,1755,1 S Prospect St,Closed
Fire Alarm,2013-0950,2/1/13,1853,2/1/13,1853,McAuley,Closed
Noise,2013-0964,2/1/13,2309,2/1/13,2309,500 S Prospect St 11-75,Closed
911 Hang Up,2013-0965,2/1/13,2314,2/1/13,2314,Wing,Closed
Vandalism,2013-0967,2/1/13,2343,2/1/13,2343,Austin,Open
Disturbance / Bias,2013-0968,2/1/13,2346,2/1/13,2346,Living and Learning,Open
Intoxication,2013-0969,2/2/13,35,2/2/13,35,Davis Center,Closed; Transported to ACT 1
Blue Light Alarm,2013-0971,2/2/13,39,2/2/13,39,109 S Prospect St,Closed
Intoxication,2013-0974,2/2/13,56,2/2/13,56,Davis Center,Closed; Transported to ACT 1
Fire Alarm,2013-0975,2/2/13,100,2/2/13,100,Wing Davis Wilks,Closed
Suspicious Person,2013-0976,2/2/13,134,2/2/13,134,Mason Simpson Hamilton,Closed
Domestic Disturbance,2013-0978,2/2/13,142,2/2/13,142,Marsh,Closed; Report to CSES
Alcohol Offense,2013-0979,2/2/13,147,2/2/13,147,Coolidge,Closed; Report to CSES
Disturbance,2013-0980,2/2/13,207,2/2/13,207,Marsh Austin Tupper,Closed; Report to CSES
Drugs,2013-0981,2/2/13,211,2/2/13,211,Tupper,Closed; Report to CSES
Medical Assist / Self Harm,2013-0985,2/2/13,400,2/2/13,400,Living and Learning,Closed; UVM Rescue transported to FAHC; Report to CSES
Agency Assist,2013-0993,2/2/13,1234,2/2/13,1234,60 San Remo Dr     S. Burlington,Closed
Agency Assist,2013-0995,2/2/13,1435,2/2/13,1435,Given,Closed
Fire Alarm,2013-1000,2/2/13,2009,2/2/13,2009,University Heights South 1,Closed
Agency Assist,2013-1002,2/2/13,2102,2/2/13,2102,Williston Rd / Dorset St,Closed
Suspicious Person,2013-1009,2/3/13,107,2/3/13,107,Morrill,Closed
Blue Light Alarm,2013-1013,2/3/13,214,2/3/13,214,Redstone Green,Closed
Drugs,2013-1020,2/3/13,1434,2/3/13,1434,Converse Hall,Closed; report to CSES
Fire Alarm,2013-1022,2/3/13,1553,2/3/13,1553,466 S. Prospect St.,Closed
Agency Assist,2013-1029,2/3/13,2052,2/3/13,2052,"S. Champlain St., Burlington",Closed
Agency Assist,2013-1030,2/3/13,2128,2/3/13,2128,"Main St / St Paul St, Burlington",Closed
Drugs,2013-1031,2/3/13,2311,2/3/13,2311,South 1,Closed; report to CSES
Drugs,2013-1032,2/3/13,2327,2/3/13,2327,South 2,Closed; report to CSES
Agency Assist,2013-1033,2/3/13,2347,2/3/13,2347,"Murray St, Burlington",Closed
Agency Assist,2013-1034,2/4/13,6,2/4/13,6,"S. Union St., Burlington",Closed
Agency Assist,2013-1035,2/4/13,10,2/4/13,10,"Main St, Burlington",Closed
Vandalism,2013-1037,2/4/13,805,Unk.,Unk.,Billings,Open incident
Vandalism,2013-1039,2/4/13,909,2/3/13,Unk,Jeffords Hall Parking Lot,Open incident
Vandalism,2013-1040,2/4/13,1012,Unk,Unk,Lafayette,Open incident
Fire Alarm,2013-1041,2/4/13,1027,2/4/13,1027,Colchester Research Facility,Closed
Larceny,2013-1042,2/4/13,1040,2/3/13,Unk,McAuley Hall,Open incident
Vandalism,2013-1043,2/4/13,1053,Unk,Unk,Pomeroy Hall,Open incident
