Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Suspicious Vehicle,2016-0001,1/1/16,20,1/1/16,20,UVM Farm,Closed
Intoxication,2016-0002,1/1/16,42,1/1/16,42,Summit St / Main St,Closed
Intoxication / Medical Assist,2016-0003,1/1/16,150,1/1/16,150,Jacobs House Parking Lot,Closed; affiliate referred to UVM Medical Center ER & ACT 1 for detox; report to CSES
Suspicious Behavior,2016-0004,1/1/16,209,1/1/16,209,"Spear St, S. Burlington",Closed
Intoxication,2016-0006,1/1/16,251,1/1/16,251,Mansfield Ave,Closed; referred to ACT 1 for detox
Intrusion Alarm,2016-0007,1/1/16,901,1/1/16,901,Dana Medical,Closed
Intrusion Alarm,2016-0014,1/1/16,1734,1/1/16,1734,Fleming,Closed
Intoxication,2016-0025,1/2/16,1529,1/2/16,1529,Tupper,Closed; Transported to UVM MC for detox
Agency Assist / Domestic Assault,2016-0026,1/2/16,1600,1/2/16,1600,University Pl / Main St,Closed; Assist to BPD
Vandalism,2016-0027,1/2/16,1617,Unk,Unk,PFG,Open
Suspicious Behavior,2016-0029,1/2/16,1913,1/2/16,1913,Centennial Field,Closed
Agency Assist,2016-0031,1/3/16,209,1/3/16,209,861 Williston Rd,Closed; Assist to CCSD
Intrusion Alarm,2016-0032,1/3/16,545,1/3/16,545,460 S Prospect St,Closed
Agency Assist / Noise,2016-0039,1/4/16,338,1/4/16,338,Sheraton,Closed; Assist to SBPD; Report to CSES
Larceny,2016-0045,1/4/16,1637,1/4/16,0700-1630,Transportation & Parking,Open
Animal Problem,2016-0046,1/4/16,2018,1/4/16,2018,Converse Lot,Closed
911 Hang Up,2016-0047,1/4/16,2121,1/4/16,2121,1 S Prospect St,Closed
Unsecure Premise,2016-0065,1/5/16,1810,1/5/16,1810,Main Campus Construction Gate,Closed
Intrusion Alarm,2016-0066,1/5/16,1830,1/5/16,1830,Fleming,Closed
Suspicious Behavior,2016-0067,1/5/16,2101,1/5/16,1720,Given,Closed
Intrusion Alarm,2016-0072,1/5/16,2342,1/5/16,2342,460 S Prospect St,Closed
