Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Drugs,2016-6011,9/1/16,22,9/1/16,22,Redstone Campus,Closed; Report to CSC
Welfare Check,2016-6013,9/1/16,215,9/1/16,215,Hamilton Outside,Closed
Subpoena Service / Agency Assist,2016-6021,9/1/16,1417,9/1/16,1417,University Heights North,Closed
Drugs,2016-6023,9/1/16,1950,9/1/16,1950,McCann,Closed; Report to CSC
Fire Alarm,2016-6024,9/1/16,2033,9/1/16,2033,University Heights South 1,Closed
Intoxication,2016-6025,9/1/16,2112,9/1/16,2112,Millis,Closed; Transported to ACT I for detox
Drugs,2016-6026,9/1/16,2126,9/1/16,2126,Amphitheater,Closed; Unable to locate
Intoxication,2016-6035,9/1/16,2240,9/1/16,2240,CWP,Closed; Transported to ACT I for detox
Suspicious Event,2016-6036,9/1/16,2304,9/1/16,2304,Virtue Field,Closed
Agency Assist,2016-6037,9/1/16,2321,9/1/16,2321,"1214 Williston Rd, S Burlington",Closed; Assist to SBPD
Drugs,2016-6041,9/2/16,13,9/2/16,13,Trinity Campus,Closed; report to CSC
Agency Assist,2016-6042,9/2/16,57,9/2/16,57,"61 East Allen St, Winooski",Closed; Assist to WPD
Noise,2016-6043,9/2/16,59,9/2/16,59,Amphitheater,Closed
Safety Escort,2016-6048,9/2/16,237,9/2/16,237,East Ave / Colchester Ave,Closed
Suspicious Event,2016-6049,9/2/16,515,9/2/16,515,Waterman,Closed
Vandalism,2016-6050,9/2/16,803,Unk,Unk,Living & Learning,Open incident
Larceny,2016-6051,9/2/16,1050,9/2/16,0830-0950,Old Mill Annex Bike Rack,Open incident
Medical Assist,2016-6055,9/2/16,1855,9/2/16,1855,Redstone Campus Outside,Closed; affiliate referred to UVM Medical center ER via UVM Rescue
Suspicious Odor,2016-6058,9/2/16,2113,9/2/16,2113,Christie Wright Patterson Outside,Closed
Drugs,2016-6060,9/2/16,2309,9/2/16,2309,Trinity Campus Cottages,Closed; report to CSC
Medical Assist,2016-6061,9/2/16,2331,9/2/16,2331,University Hgts South 2,Closed; affiliate referred to UVM Medical center ER via UVM Rescue
Drugs,2016-6063,9/2/16,2352,9/2/16,2352,McCann Hall,Closed; report to CSC
Drugs / Alcohol Offense,2016-6066,9/3/16,40,9/3/16,40,Hunt Hall,Closed; report to CSC
Medical Assist / Intoxication,2016-6067,9/3/16,125,9/3/16,125,Millis Hall,Closed; affiliate referred to UVM Rescue & ACT 1 for Detox; report to CSC
Drugs,2016-6068,9/3/16,134,9/3/16,134,Sichel Hall,Closed; report to CSC
Medical Assist / Intoxication,2016-6069,9/3/16,142,9/3/16,143,Wright Hall,Closed; affiliate referred to UVM Medical center ER via UVM Rescue & report to CSC
Drugs,2016-6070,9/3/16,157,9/3/16,157,Harris Hall,Closed; report to CSC
Medical Assist / Alcohol Offense,2016-6072,9/3/16,226,9/3/16,226,Millis Hall,Closed; affiliate referred to UVM Rescue & report to CSC
Intoxication,2016-6073,9/3/16,237,9/3/16,237,Sichel Hall Outside,Closed; referred to ACT 1 & Corrections for Detox; report to CSC
Larceny,2016-6074,9/3/16,310,9/3/16,Unk,Wing Hall,Open incident
Citizen Assist - Safety Escort,2016-6076,9/3/16,355,9/3/16,355,S Prospect St / Maple St,Closed
Agency Assist,2016-6082,9/3/16,1153,9/3/16,1153,Main St @ Allen House,Closed; assist to Burlington Police
Citizen Assist,2016-6083,9/3/16,1512,9/3/16,1512,Trinity Villa,Closed
Fire Alarm,2016-6084,9/3/16,1521,9/3/16,1521,Davis Center,Closed
Alcohol Offense,2016-6096,9/3/16,1916,9/3/16,1916,Tupper Hall Parking Lot,Closed; report to CSC
Suspicious Behavior,2016-6102,9/3/16,2017,9/3/16,Unk,McAuley Hall,Closed
Alcohol Offense,2016-6105,9/3/16,2039,9/3/16,2039,Williston Rd & MAT Parking Lot,Closed; report to CSC
Drugs / Alcohol Offense,2016-6109,9/3/16,2200,9/3/16,2200,Coolidge Hall,Closed; report to CSC
Medical Assist,2016-6112,9/3/16,2331,9/3/16,2331,Jeanne Mance,Closed; affiliate referred to Burlington Rescue & UVM Medical Center ER
Medical Assist / Intoxication,2016-6115,9/4/16,2,9/4/16,2,Mercy Hall,Closed; affiliate referred to UVM Rescue & UVM Medical Center ER; report to CSC
Medical Assist,2016-6118,9/4/16,32,9/4/16,32,University Hgts North 2,Closed; affiliate referred to UVM Rescue & UVM Medical Center ER
Medical Assist,2016-6120,9/4/16,46,9/4/16,46,Coolidge Hall Outside,Closed; affiliate referred to Burlington Rescue
Suspicious Behavior,2016-6121,9/4/16,56,9/4/16,56,S Prospect St @ Mason Hall,Closed
Vandalism,2016-6122,9/4/16,120,Unk,Unk,Jeanne Mance,Open incident
Motorist Assist,2016-6123,9/4/16,130,9/4/16,130,Colchester Ave / Mansfield Ave,Closed
Alcohol Offense / Safety Escort,2016-6124,9/4/16,131,9/4/16,131,University Hgts / Main St,Closed; report to CSC
Alcohol Offense,2016-6125,9/4/16,232,9/4/16,232,Main St / University Hgts,Closed; report to CSC
Larceny,2016-6131,9/4/16,952,09/03-04/2016,2000-0030,University Hgts South 1 Bike Rack,Open incident
Blue Light Alarm,2016-6132,9/4/16,1036,9/4/16,1036,PFG,Closed
Accident,2016-6135,9/4/16,1238,9/4/16,1238,Carrigan Dr / Beaumont Ave,Closed
Larceny,2016-6137,9/4/16,1539,9/2/16,1246,Billings,Open incident
Property Damage,2016-6138,9/4/16,1623,9/4/16,1623,Parking Garage,Closed
Trespass Notice Served,2016-6140,9/4/16,1834,9/4/16,1834,"Spear St, South Burlington",Closed; subject trespassed from Campus
Agency Assist,2016-6141,9/4/16,1914,9/4/16,1914,"Spear St, South Burlington",Closed; assist to S. Burlington Police
Fire Alarm,2016-6142,9/4/16,1955,9/4/16,1955,University Hgts South 1,Closed
Suspicious Activity,2016-6149,9/4/16,2207,Unk,Unk,UVM Campus,Open incident
Intoxication,2016-6151,9/4/16,2305,9/4/16,2305,Main St / S Prospect St,Closed; affiliate referred to ACT 1 for Detox; report to CSC
Intoxication,2016-6154,9/4/16,2330,9/4/16,2330,Pearl St / S Prospect St,Closed; affiliate referred to ACT 1 for Detox; report to CSC
Noise,2016-6158,9/5/16,56,9/5/16,56,Redstone Apts,Closed; non substantiated
Alcohol Offense / Poss. Of Stolen Property,2016-6161,9/5/16,154,9/5/16,154,S Prospect St / Cliff St,Closed; affiliate issued Alcohol Ticket; report to CSC
Suspicious Behavior,2016-6162,9/5/16,203,9/5/16,203,UVM Police Services,Closed; non substantiated
Medical Assist / Intoxication,2016-6163,9/5/16,207,9/5/16,207,Davis Rd / University Hgts,Closed; affiliate referred to UVM Medical Center ER via UVM Rescue & ACT 1 for Detox; report to CSC
Alcohol Offense / Municipal Ordinance Violation,2016-6164,9/5/16,233,9/5/16,233,S Prospect St / Maple St,Closed; report to CSC
Noise,2016-6166,9/5/16,251,9/5/16,251,Amphitheater,Closed; non substantiated
Larceny,2016-6169,9/5/16,1112,09/03-04/2016,Unk,Mansfield House,Open incident
Medical Assist,2016-6172,9/5/16,1652,9/5/16,1652,Living & Learning,Closed; affiliate referred to UVM Medical Center ER via UVM Rescue
Larceny,2016-6173,9/5/16,2116,09/03-05/2016,1600-1915,Torrey Hall Bike Rack,Open incident
Theft of Service,2016-6175,9/5/16,2142,9/5/16,2142,Wilks Hall Outside,Closed; report to CSC
Computer Crime,2016-6176,9/5/16,2214,Unk,Unk,Living & Learning,Open incident
ATM Alarm,2016-6181,9/6/16,331,9/6/16,331,University Health Center,Closed
Property Damage,2016-6184,9/6/16,937,9/6/16,937,Davis Center Outside,Closed
Citizen Assist,2016-6185,9/6/16,948,9/6/16,948,University Hgts South 2,Closed
Property Damage,2016-6187,9/6/16,1102,9/6/16,1102,IMF Parking Lot,Closed
Motorist Assist,2016-6189,9/6/16,1314,9/6/16,1314,Parking Garage,Closed
Agency Assist,2016-6192,9/6/16,1536,9/6/16,1536,Terrill Hall,Closed; assist to Chittenden Unit for Special Investigations
Intrusion Alarm,2016-6195,9/6/16,1808,9/6/16,1808,Fleming,Closed
Citizen Assist,2016-6196,9/6/16,2057,9/6/16,2057,PFG,Closed
Agency Assist / Unsecured Premise,2016-6198,9/7/16,55,9/7/16,55,"Colchester Ave, Burlington",Closed; assist to Burlington Police
Anonymous Reported Sexual Assault,2016-6204,9/7/16,938,Unk,Unk,Unknown Location,Closed; referred to Title IX Coordinator
Animal Problem,2016-6206,9/7/16,1110,9/7/16,1110,Virtue Field,Closed
 Anonymous Reported Sexual Assault,2016-6208,9/7/16,1245,9/7/16,300,Unknown Location,Closed; referred to Title IX Coordinator
Stalking,2016-6210,9/7/16,1309,Various,Various,"Winooski Park, Colchester",Closed
Suspicious Behavior,2016-6213,9/7/16,1336,9/7/16,1331,University Pl @ Billings,Open
Animal Problem,2016-6215,9/7/16,1420,9/7/16,1420,Centennial Field,Closed; unfounded
Agency Assist,2016-6217,9/7/16,1734,9/7/16,1734,East Ave / Colchester Ave,Closed; assist to Burlington Police
Citizen Assist,2016-6221,9/7/16,1852,9/7/16,1852,Perkins Building,Closed
Citizen Assist,2016-6222,9/7/16,1901,9/7/16,1901,Christie Wright Patterson,Closed
Motor Vehicle Complaint,2016-6225,9/7/16,2128,9/7/16,2128,Beaumont Ave / Carrigan Dr,Closed
Unsecured Premise,2016-6232,9/8/16,218,9/8/16,218,Perkins Building,Closed
Intrusion Alarm,2016-6234,9/8/16,727,9/8/16,727,Fleming,Closed
Alarm,2016-6235,9/8/16,750,9/8/16,750,Given,Closed
Accident - Property Damage,2016-6237,9/8/16,952,9/8/16,952,Parking Garage,Closed
Stalking,2016-6240,9/8/16,1055,Aug-16,Unk,Living & Learning,Open incident
Fraud,2016-6241,9/8/16,1141,09/06-07/2016,Unk,Wright Hall,Open incident
Medical Assist,2016-6243,9/8/16,1431,9/8/16,1431,South 2 University Heights,Closed; affiliate referred to UVM Medical Center ER Via UVM Rescue
Drugs,2016-6253,9/8/16,2230,9/8/16,2230,"Redstone Path, Redstone Campus",Closed; affiliate cited into court for Possession of Stimulants
Drugs,2016-6255,9/8/16,2256,9/8/16,2256,University Hgts Amphitheater,Closed; report to CSC
Suspicious Event,2016-6256,9/8/16,2325,Unk,Unk,McAuley Hall,Closed
Drugs,2016-6259,9/9/16,14,9/9/16,14,Mercy Hall,Closed; report to CSC
Medical Assist / Intoxication,2016-6260,9/9/16,100,9/9/16,100,Main St / Beaumont Ave,Closed; affiliate referred to UVM Medical Center ER via Burlington Rescue & ACT 1 for Detox; report to CSC
Welfare Check,2016-6261,9/9/16,131,9/9/16,131,McAuley Hall,Closed; affiliate located and referred to UVM Medical Center Crisis Services
Suspicious Event,2016-6270,9/9/16,1053,08/31-09/05/2016,Unk,CWP,Closed
Animal Problem,2016-6272,9/9/16,1323,9/9/16,1323,S Prospect St / Davis Rd,Closed
Disorderly Conduct,2016-6273,9/9/16,1331,9/9/16,1331,Billings,Closed; Report to CSC
Mental Health Issue,2016-6274,9/9/16,1454,9/9/16,1454,HM,Open
Vandalism Graffiti,2016-6276,9/9/16,1535,Unk,Unk,University Heights South 1,Open
Drugs,2016-6278,9/9/16,1628,9/9/16,1628,Living and Learning,Closed; Unable to locate
Intrusion Alarm,2016-6279,9/9/16,1742,9/9/16,1742,Fleming,Closed
Larceny Bicycle,2016-6284,9/9/16,2002,9/9/16,Unk,Main Green,Open
Burglary,2016-6285,9/9/16,2024,9/9/16,Unk,Harris,Open
Motor Vehicle Complaint,2016-6286,9/9/16,2110,9/9/16,2110,S Prospect St,Closed
Lewd and Lascivious Acts,2016-6289,9/9/16,2202,9/9/16,2202,Allen House Lot,Open
Drugs,2016-6291,9/9/16,2239,9/9/16,2239,Amphitheater,Closed; Report to CSC
Vandalism,2016-6296,9/9/16,2307,9/9/16,Unk,Jeanne Mance,Open
Drugs / Alcohol Offense,2016-6299,9/9/16,2324,9/9/16,2324,Sichel,Closed; Report to CSC
Alcohol Offense / Medical Assist,2016-6301,9/9/16,2331,9/9/16,2331,Harris,Closed; Report to CSC
Drugs,2016-6304,9/10/16,4,9/10/16,4,Coolidge,Closed; Report to CSC
Suspicious Event,2016-6305,9/10/16,9,9/10/16,9,Mercy,Closed
Noise,2016-6306,9/10/16,13,9/10/16,13,Amphitheater,Closed
Noise,2016-6307,9/10/16,17,9/10/16,17,Trinity Campus Outside,Closed
Drugs,2016-6308,9/10/16,18,9/10/16,18,Redstone Path,Closed; Report to CSC
University Policy Violation,2016-6309,9/10/16,21,9/10/16,21,Mercy,Closed; Report to CSC
Noise,2016-6312,9/10/16,40,9/10/16,40,500 S Prospect St,Closed; Verbal warning
Intoxication,2016-6313,9/10/16,52,9/10/16,52,Austin,Closed; UVM Rescue transported to UVM MC
Lewd and Lascivious Acts,2016-6321,9/10/16,155,9/10/16,155,Nolan House Outside,Open
Traffic / DUI,2016-6322,9/10/16,221,9/10/16,221,155 Dorset St,Closed; Cited into court for DUI
Agency Assist,2016-6325,9/10/16,959,9/10/16,959,Main St / S Winooski Ave,Closed; Assist to VSP
