Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Welfare Check,2014-0766,2/1/14,104,2/1/14,104,University Hgts S1,Closed referred to FAHC
Drug  Possession / Alcohol Offense,2014-0768,2/1/14,127,2/1/14,127,Wills,Closed drugs paraphernalia and alcohol confiscated  report to CSES
Driving with Suspended License,2014-0769,2/1/14,139,2/1/14,139,E Allen St / Exit 15,Closed subject cited into district court for driving with a suspended license
Suspicious Event,2014-0776,2/1/14,1020,2/1/14,1020,Living and Learning,Closed
Fire Alarm,2014-0777,2/1/14,1133,2/1/14,1133,Redstone Hall,Closed
Agency Assist,2014-0778,2/1/14,1141,2/1/14,1141,Police Services,Closed
Intrusion Alarm,2014-0779,2/1/14,1159,2/1/14,1159,Southwick,Closed
Fire Alarm,2014-0780,2/1/14,1447,2/1/14,1447,Living and Learning,Closed
Intrusion Alarm,2014-0781,2/1/14,1553,2/1/14,1553,460 S Prospect St,Closed
Intrusion Alarm,2014-0783,2/1/14,1906,2/1/14,1906, UHC,Closed
Domestic Assault,2014-0784,2/1/14,1935,2/1/14,1935,Living and Learning,Closed subject lodged on Domestic assualt charges and interfering with access to emergency services
Suspicious Event,2014-0785,2/1/14,2137,2/1/14,2137,McAuley,Closed
Noise,2014-0786,2/1/14,2142,2/1/14,2142,Redstone Lofts,Closed  report to CSES
Intrusion Alarm,2014-0787,2/1/14,2259,2/1/14,2259,460 S Prospect St,Closed
Drug Possession / Alcohol Offense,2014-0788,2/1/14,2314,2/1/14,2314,Davis Hall,Closed paraphernalia drugs and alcohol confiscated  report to CSES
Blue Light Alarm,2014-0789,2/1/14,2347,2/1/14,2347,MLS,Closed
Alcohol Offense,2014-0791,2/2/14,52,2/2/14,52,Wills,Closed report to CSES
Drugs Unfounded,2014-0792,2/2/14,114,2/2/14,114,Living and Learning,Closed Unfounded
Drugs Possession,2014-0793,2/2/14,117,2/2/14,117,Marsh,Closed report to CSES
Drugs Unfounded,2014-0794,2/2/14,138,2/2/14,138,Austin,Closed Unfounded
Welfare Check,2014-0796,2/2/14,856,2/2/14,856,University Hgts,Closed
Intrusion Alarm,2014-0799,2/2/14,1505,2/2/14,1505,UHC,Closed
Drugs Unfounded,2014-0801,2/2/14,1917,2/2/14,1917,Davis,Closed Unfounded
Suspicious Event,2014-0803,2/2/14,2022,2/2/14,2022,Pomeroy,Closed
Suspicious Behavior,2014-0804,2/2/14,2058,2/2/14,2058,Millis,Closed
Alarm,2014-0809,2/3/14,258,2/3/14,258,UHC,Closed
Suspicious Behavior,2014-0818,2/3/14,1517,2/3/14,1517,Bailey Howe,Closed
Drugs Unfounded,2014-0822,2/3/14,1927,2/3/14,1927,Millis,Closed Unfounded
Medical,2014-0823,2/3/14,2041,02/03/2014`,2041,Wills,Closed subject referred to FAHC by UVM Rescue 
Drugs Unfounded,2014-0824,2/3/14,2104,2/3/14,2104,Austin,Closed Unfounded
Blue Light Alarm,2014-0825,2/3/14,2259,2/3/14,2259,16 Colchester Ave,Closed
Suspicious Behavior,2014-0831,2/4/14,1148,2/4/14,1148,Marsh Life Sciences,Closed
Burglary,2014-0834,2/4/14,1258,12/15/2013-01/13/2014,Unknown,Marsh,Open
