Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Suspicious Vehicle,2016-3712,6/1/16,204,6/1/16,204,Coolidge Hall Parking Lot,Closed
Alarm,2016-3714,6/1/16,241,6/1/16,241,Coolidge Hall,Closed
Unsecured Premise / Trespassing,2016-3716,6/1/16,523,6/1/16,523,Billings,Closed; non affiliate escorted from building
Welfare Check,2016-3723,6/1/16,1650,6/1/16,1650,Waterman Outside,Closed; non affiliate located
Suspicious Vehicle,2016-3728,6/1/16,2156,6/1/16,2156,University Pl @ Royal Tyler Theatre,Closed
Unsecured Premise,2016-3731,6/1/16,2328,6/1/16,2328,Main Campus Construction Area,Closed
Unsecured Premise,2016-3732,6/1/16,2351,6/1/16,2351,Perkins,Closed
Suspicious Vehicle,2016-3734,6/2/16,16,6/2/16,16,Redstone Apts Parking Lot,Closed
Vandalism-Graffiti,2016-3740,6/2/16,957,Unk,Unk,RTT,Open
Fire Alarm,2016-3744,6/2/16,1327,6/2/16,1327,McAuley,Closed
Agency Assist,2016-3746,6/2/16,1515,6/2/16,1515,Davis Center,Closed; Assist to Res Life
Agency Assist,2016-3749,6/2/16,1623,6/2/16,1623,Davis Center,Closed; Assist to Res Life
Motorist Assist,2016-3750,6/2/16,1807,6/2/16,1807,Given,Closed
Parking,2016-3751,6/2/16,1846,6/2/16,1846,Virtue Field Lot,Closed
Alarm,2016-3759,6/3/16,22,6/3/16,22,University Heights South 2,Closed
Alcohol Offense,2016-3760,6/3/16,35,6/3/16,35,Catholic Center Woods,Closed
Intrusion Alarm,2016-3762,6/3/16,241,6/3/16,241,Southwick,Closed
Agency Assist,2016-3763,6/3/16,624,6/3/16,624,Morrill,Closed; Assist to Physical Plant
Intrusion Alarm,2016-3766,6/3/16,929,6/3/16,929,Nolan House,Closed
Suspicious Event,2016-3767,6/3/16,1108,6/3/16,1108,322 S Prospect St,Closed
Larceny Bicycle,2016-3771,6/3/16,1754,05/31-06/03/2016,Unk,Redstone Lofts,Open
Suspicious Event,2016-3778,6/3/16,2309,6/3/16,2309,50 University Rd,Closed
Citizen Assist,2016-3797,6/4/16,1135,6/4/16,1135,284 East Ave,Closed
Agency Assist,2016-3798,6/4/16,1215,6/4/16,1215,Williston Rd / East Ave,Closed; Assist to BPD
Medical Assist,2016-3799,6/4/16,1517,6/4/16,1517,PFG,Closed; UVM Rescue transported to UVM MC
Citizen Assist,2016-3811,6/4/16,2040,6/4/16,2040,284 East Ave,Closed
Traffic  / Arrest on Warrant,2016-3839,6/5/16,135,6/5/16,135,111 Colchester Ave,Closed; Lodged at Corrections
Noise,2016-3843,6/5/16,252,6/5/16,252,500 S Prospect St,Closed; Verbal warning
Citizen Assist,2016-3844,6/5/16,312,6/5/16,312,Main St / University Hgts,Closed
Fire Alarm,2016-3851,6/5/16,1148,6/5/16,1148,254 Colchester Ave,Closed
Traffic / DUI,2016-3859,6/5/16,2048,6/5/16,2048,N Prospect St / Pearl St,Closed; Cited into court for DUI
