Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Fire / CO Alarm,2016-5172,8/1/16,928,8/1/16,928,Tupper Hall,Closed
Citizen Assist,2016-5173,8/1/16,1317,8/1/16,1317,Rowell Hall,Closed
Alarm,2016-5180,8/1/16,2314,8/1/16,2314,Main Campus Construction Area,Closed
Intrusion Alarm,2016-5182,8/2/16,749,8/2/16,749,460 S Prospect St,Closed
Stalking,2016-5187,8/2/16,1109,6/8/16,Unk,Off Campus Residential Location,Open
Intrusion Alarm,2016-5203,8/3/16,530,8/3/16,530,University Health Center,Closed
Citizen Assist,2016-5207,8/3/16,846,7/20/16,Unk,1125 Shelburne Rd,Closed
Attempted Burglary,2016-5209,8/3/16,943,08/01-02/2016,Unk,Main Campus Construction Site Trailer,Open
Blue Light Alarm,2016-5213,8/3/16,1315,8/3/16,1315,McAuley,Closed
Stalking,2016-5216,8/3/16,1519,05/20/15-08/20/16,Various,Mann,Open
Motor Vehicle Complaint,2016-5217,8/3/16,1705,8/3/16,1705,Redstone Lofts,Closed
Animal Problem,2016-5219,8/3/16,2059,8/3/16,2059,Perkins,Closed
Traffic/DUI/ Arrest on Warrant,2016-5227,8/4/16,219,8/4/16,219,I89 / Exit 10,"Closed; subject lodged at corrections on arrest warrant & cited into court for DUI, Attempting to Elude a Police Officer, Driving while Suspended, & Gross Negligent Operation"
Accident,2016-5228,8/4/16,1319,8/4/16,1319,Waterman Lot,Closed
Intrusion Alarm,2016-5229,8/4/16,1757,8/4/16,1757,Waterman,Closed
Fire Alarm,2016-5230,8/4/16,1802,8/4/16,1802,254 Colchester Ave,Closed
Fire Alarm,2016-5234,8/4/16,2222,8/4/16,2222,254 Colchester Ave,Closed
Fire Alarm,2016-5235,8/4/16,2316,8/4/16,2316,254 Colchester Ave,Closed
Fire Alarm,2016-5248,8/5/16,1234,8/5/16,1234,University Heights South 2,Closed
Suspicious Person,2016-5249,8/5/16,1351,8/5/16,1351,Admissions,Closed
Drugs,2016-5250,8/5/16,1356,Spring Semester,Unk,WDW,Closed
