Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Accident,2016-7868,11/1/16,1127,11/1/16,1127,PFG Lot,Closed
Medical Assist,2016-7885,11/1/16,1141,10/31/16,2300,Mercy Hall,Closed
Medical Assist,2016-7870,11/1/16,1704,11/1/16,1704,Williams,Closed; UVM Rescue transported to UVM MC
Suspicious Event,2016-7871,11/1/16,1713,Unk,Unk,Harris,Open
Property Damage,2016-7872,11/1/16,1835,10/18-11/01/2016,Unk,Redstone Lofts Lot,Open
Anonymous Reported Sexual Assault,2016-7892,11/1/16,1838,June-July 2016,Unk,Unknown Non Campus Location,Closed; referred to Title IX coordinator
Fire Alarm,2016-7873,11/1/16,1853,11/1/16,1853,WDW,Closed
Vandalism,2016-7874,11/1/16,2330,Unk,Unk,Wilks,Open
Stalking,2016-7884,11/2/16,1031,Various,Various,University Hgts North 1,Open incident
Citizen Assist,2016-7887,11/2/16,1152,11/2/16,1152,Kalkin Hall,Closed
Intrusion Alarm,2016-7896,11/2/16,1930,11/2/16,1930,"Training & Compliance Office, Ryan St, Essex",Closed
Intrusion Alarm,2016-7900,11/3/16,828,11/3/16,828,Waterman,Closed
Citizen Assist,2016-7907,11/3/16,1139,11/3/16,1139,University Health Center,Closed
Suspicious Behavior,2016-7911,11/3/16,1418,10/29-30/2016,Unk,University Hgts North 2,Closed
Medical Assist,2016-7912,11/3/16,1439,11/3/16,1439,Old Mill Annex,Closed; affiliate transported to UVM Medical Center ER via UVM Rescue
Agency Assist,2016-7913,11/3/16,1526,11/3/16,1526,University Hgts South 2,Closed; assist to NY Dept. of Children & Family Services
Medical Assist,2016-7914,11/3/16,1531,11/3/16,1531,John Dewey Hall,Closed; non affiliate  transported to UVM Medical Center ER via UVM Rescue
Agency Assist,2016-7916,11/3/16,2037,11/3/16,2037,Mercy Hall Parking Lot,Closed; assist to Winooski Police
Accident - Property Damage,2016-7928,11/4/16,1451,11/4/16,1451,Centennial Field Parking Lot,Closed
Fire Alarm,2016-7930,11/4/16,1850,11/4/16,1850,Living & Learning,Closed
Medical Assist / Drugs,2016-7931,11/4/16,1940,11/4/16,1940,Tupper Hall,Open incident; affiliate transported to UVM Medical Center ER via UVM Rescue & report to CSC
Drugs,2016-7941,11/4/16,2258,11/4/16,2258,Living & Learning,Closed- non substantiated
Traffic / Drugs,2016-7942,11/4/16,2304,11/4/16,2304,Colchester Ave / Fletcher Pl,Closed; non affiliate issued Marijuana Ticket
Medical Assist / Alcohol Offense,2016-7949,11/5/16,123,11/5/16,123,Mercy Hall,Closed; affiliate referred to UVM Rescue & report to CSC
Medical Assist / Alcohol Offense,2016-7950,11/5/16,124,11/5/16,124,Mercy Hall,Closed; affiliate referred to UVM Rescue & report to CSC
Vandalism,2016-7951,11/5/16,129,Unk,Unk,Mason Hall,Open incident
Drugs,2016-7953,11/5/16,145,11/5/16,145,Hunt Hall,Closed; report to CSC
Agency Assist,2016-7958,11/5/16,411,11/5/16,411,UVM Police Services,Closed; assist to Boston College Police Department
Intrusion Alarm,2016-7965,11/5/16,1046,11/5/16,1046,Fleming,Closed
Medical Assist,2016-7968,11/5/16,1359,11/5/16,1359,Rugby Field,Closed; Affiliate transported to UVM Medical Center ER via UVM Rescue
Intrusion Alarm,2016-7971,11/5/16,1456,11/5/16,1456,Bailey Howe,Closed
Larceny,2016-7972,11/5/16,1634,11/5/16,Unk,Living & Learning Outside,Open incident
Motorist Assist,2016-7975,11/5/16,2016,11/5/16,2016,Main St / University Hgts,Closed
Recovered Stolen Property,2016-7997,11/5/16,2025,11/5/16,1954,University Hgts & Davis Center Tunnel,Closed
Traffic / Drugs,2016-7983,11/5/16,2310,11/5/16,2310,I89 N / Exit 15,Closed; non affiliate issued Marijuana Ticket
Drugs,2016-7986,11/5/16,2354,11/5/16,2354,Jeanne Mance Outside,Closed; non substantiated
Citizen Assist,2016-7998,11/6/16,136,11/5/16,136,Richardson Hall Outside,Closed
Drugs / Alcohol Violation / Recovered Stolen Property,2016-7999,11/6/16,139,11/5/16,139,Wilks Hall,Closed; report to CSC
Citizen Assist,2016-8000,11/6/16,110,11/6/16,110,UVM Police Services,Closed
Traffic / DUI,2016-8001,11/6/16,114,11/6/16,114,University Pl / Main St,Closed; non affiliate cited into court for DUI
Vandalism / Unsecured Premise,2016-8003,11/6/16,244,11/6/16,244,Waterman,Open incident
Intrusion Alarm,2016-8004,11/6/16,455,11/6/16,455,"Training & Compliance Office, Ryan St, Essex",Closed
Intrusion Alarm,2016-8005,11/6/16,1022,11/6/16,1022,"Training & Compliance Office, Ryan St, Essex",Closed
Larceny,2016-8008,11/6/16,1551,Unk,Unk,University Hgts North 2 Outside,Open incident
Medical Assist,2016-8014,11/7/16,37,11/7/16,37,Jeanne Mance Hall,Closed; affiliate transported to UVM Medical Center ER via UVM Rescue
Fire Alarm,2016-8021,11/7/16,238,11/7/16,238,Davis Hall,Closed
Traffic / Drugs,2016-8024,11/7/16,426,11/7/16,426,"Williston Rd, So. Burlington",Closed
Medical Assist,2016-8026,11/7/16,720,11/7/16,720,Davis,Closed; UVM Rescue transported to UVM MC
Welfare Check,2016-8030,11/7/16,1236,11/7/16,1236,Living and Learning,Closed
Drugs,2016-8032,11/7/16,1533,11/7/16,1533,Bailey Howe Green,Closed
Welfare Check,2016-8033,11/7/16,1541,11/7/16,1541,Converse,Closed
Sexual Assault,2016-8035,11/7/16,2019,11/5/16,2300-2345,Off Campus Location,Closed; Referred to BPD
Agency Assist,2016-8038,11/7/16,2231,11/7/16,2231,S Willard St / Maple St,Closed; Assist to BPD
Suspicious Event,2016-8040,11/7/16,2258,11/7/16,2258,University Heights North 3,Closed
Traffic / DUI,2016-8044,11/8/16,9,11/8/16,9,Main St / S Union St,Closed; Cited into Court for DUI
Vandalism,2016-8046,11/8/16,216,Unk,Unk,Given,Open
Property Damage,2016-8061,11/8/16,1240,11/8/16,1240,Given Lot,Closed
Agency Assist / Tampering with Fire Devices,2016-8064,11/8/16,1440,11/8/16,1440,Jeanne Mance,Closed
Suspicious Event,2016-8065,11/8/16,1508,11/8/16,1508,Slade Fire Escape,Closed; Unable to locate
Accident LSA,2016-8066,11/8/16,1624,11/8/16,0800-1624,Given Lot,Open
Fire Alarm,2016-8071,11/8/16,1849,11/8/16,1849,Mercy,Closed
Agency Assist,2016-8074,11/8/16,2037,11/8/16,2037,"Bayberry Lane, S Burlington",Closed; Assist to SBPD
Agency Assist,2016-8078,11/8/16,2335,11/8/16,2335,University Pl / Main St,Closed; Assist to BPD
Agency Assist,2016-8080,11/9/16,22,11/9/16,22,Sheraton Lot,Closed; Assist to SBPD
Trespass,2016-8083,11/9/16,348,11/9/16,348,Perkins,Closed; Trespass issued to non-affiliate
Medical Assist,2016-8088,11/9/16,838,11/9/16,838,Main St / University Heights Bus Stop,Closed; UVM Rescue transported to UVM MC
Suspicious Event,2016-8096,11/9/16,1456,10/23/16,Unk,Wilks,Closed
Drugs,2016-8097,11/9/16,1523,Unk,Unk,University Heights South 2,Open
Sexual Assault,2016-8098,11/9/16,1534,10/28/16,Unk,University Heights North,Closed; Referred to Title IX Coordinator
Sexual Assault,2016-8100,11/9/16,1647,10/20/16,Unk,Unk Campus Location,Closed; Referred to Title IX Coordinator
Suspicious Event,2016-8101,11/9/16,1753,11/9/16,1753,Colchester Ave / East Ave,Closed; Unable to locate
Property Damage,2016-8105,11/9/16,2009,11/9/16,2009,Centennial Field,Open
Intrusion Alarm,2016-8106,11/9/16,2053,11/9/16,2053,Fleming,Closed
Noise,2016-8110,11/9/16,2324,11/9/16,2324,500 S Prospect St,Closed; Unsubstantiated
Noise,2016-8112,11/9/16,2354,11/9/16,2354,500 S Prospect St,Closed; Unsubstantiated
Medical Assist,2016-8115,11/10/16,121,11/10/16,121,Harris,Closed; UVM Rescue transported to UVM MC
Agency Assist,2016-8116,11/10/16,134,11/10/16,134,Patterson,Closed; Assist to BPD
Medical Assist,2016-8123,11/10/16,917,11/10/16,917,Old Mill,Closed; affiliate transported to UVM Medical Center ER via UVM Rescue
Drugs  / Tampering with Fire Devices,2016-8130,11/10/16,1920,11/10/16,1920,Mason Hall,Closed; report to CSC
Medical Assist,2016-8132,11/10/16,2001,11/10/16,2001,Jeanne Mance,Closed; affiliate transported to UVM Medical Center ER via UVM Rescue
Drugs,2016-8133,11/10/16,2017,11/10/16,2017,Hunt Hall,Closed; report to CSC
Citizen Assist,2016-8136,11/10/16,2335,11/10/16,2335,University Hgts North 1 Parking Lot,Closed
Drugs / Alcohol Offense / Tampering with Fire Devices,2016-8139,11/11/16,25,11/11/16,25,Davis Hall,Closed; report to CSC
Unsecured Premise,2016-8140,11/11/16,111,11/11/16,111,Main Campus Construction Area,Closed
Citizen Assist,2016-8146,11/11/16,837,11/11/16,837,Harris Millis,Closed
Medical Assist,2016-8148,11/11/16,1036,11/11/16,1036,Lafayette,Closed; affiliate transported to UVM Medical Center ER via UVM Rescue
Accident - Property Damage,2016-8149,11/11/16,1039,11/11/16,1039,Robinson Hall Parking Lot,Closed
Medical Assist,2016-8152,11/11/16,1211,11/11/16,1211,Williams Hall Outside,Closed; affiliate transported to UVM Medical Center ER via UVM Rescue
ATM Alarm,2016-8154,11/11/16,1236,11/11/16,1236,Waterman,Closed
Fire Alarm,2016-8155,11/11/16,1247,11/11/16,1247,Jeffords Hall,Closed
Medical Assist,2016-8156,11/11/16,1259,11/11/16,1259,Living & Learning & Tupper Hall,Closed; affiliate referred to UVM Rescue
Anonymous Report Sexual Assault,2016-8157,11/11/16,1315,11/01-10/2016,Unk,Unknown Off Campus Location,Closed; referred to Title IX Coordinator
Medical Assist,2016-8162,11/11/16,1851,11/11/16,1851,Patrick Gym,Closed; affiliate transported to UVM Medical Center ER via UVM Rescue
Citizen Assist / Welfare Check,2016-8163,11/11/16,2020,11/11/16,2020,Living & Learning,Closed; affiliate located
Alcohol Offense,2016-8165,11/11/16,2213,11/11/16,2213,Coolidge Hall,Closed; report to CSC
Noise,2016-8168,11/11/16,2350,11/11/16,2350,Redstone Apts,Closed; noise warnings issued
Medical Assist / Intoxication,2016-8169,11/12/16,52,11/12/16,52,Sichel Hall,Closed; affiliate referred to UVM Medical Center ER via UVM Rescue & report to CSC
Welfare Check,2016-8170,11/12/16,56,11/12/16,56,East Ave / Colchester Ave,Closed
Traffic / Drugs,2016-8177,11/12/16,421,11/12/16,421,Main St / Summit St,Closed; marijuana ticket issued
Intrusion Alarm,2016-8182,11/12/16,1228,11/12/16,1228,Living & Learning,Closed
Fire Alarm,2016-8183,11/12/16,1331,11/12/16,1331,Christie Hall,Closed
Medical Assist,2016-8186,11/12/16,1619,11/12/16,1619,Harris Millis,Closed; no contact made with patient
Agency Assist,2016-8187,11/12/16,1703,11/12/16,1703,UVM Police Services,Closed; assist to Burlington Police
