Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Intoxication,2013-8990,11/1/13,6,11/1/13,6,Jeanne Mance,Closed female referred to FAHC by UVM Rescue report to CSES
Domestic Disturbance,2013-8991,11/1/13,18,11/1/13,18,Converse,Closed report to CSES
Intoxication,2013-8992,11/1/13,20,11/1/13,20,Buckham,Closed referred to Corrections for detox report to CSEs
Drugs Unfounded,2013-8993,11/1/13,33,11/1/13,33,Wing,Closed unfounded
Agency Assist,2013-8995,11/1/13,108,11/1/13,108,120 Colchester Ave  Burlington,Closed
Intoxication / Drug Offense,2013-8996,11/1/13,115,11/1/13,115,Living and Learning B,Closed drugs confiscated referred to Corrections for detox report to CSES
Drug Possession,2013-8997,11/1/13,148,11/1/13,148,Harris,Closed drugs and paraphernalia confiscated report to CSES
Vandalism,2013-8999,11/1/13,216,11/1/13,216,Wilks,Open
Drugs Unfounded,2013-9000,11/1/13,218,11/1/13,218,Harris,Closed unfounded
Alcohol Offense,2013-9001,11/1/13,300,11/1/13,300,Main St / University Pl   Burlington,Closed report to CSES
Intoxication,2013-9003,11/1/13,322,11/1/13,322,Patterson,Closed referred to ACT 1 for detox report to CSES
Vandalism,2013-9004,11/1/13,801,Unk,Unk,Votey,Open incident
Fire Alarm,2013-9005,11/1/13,822,11/1/13,822,South 2,Closed
Vandalism,2013-9007,11/1/13,901,Unk,Unk,Harris Millis,Open incident
Vandalism,2013-9010,11/1/13,1339,Unk,Unk,WDW Parking Lot,Open incident
Medical Assist,2013-9012,11/1/13,1432,11/1/13,1432,South 1,Closed; referred to UVM Rescue
Accident,2013-9013,11/1/13,1436,11/1/13,1436,Southwick Parking Lot,Closed
Threats/Harassment,2013-9015,11/1/13,1506,11/1/13,Unk,Waterman,Closed
Suspicious Behavior,2013-9016,11/1/13,1523,11/1/13,1523,Continuing Education,Closed; subject located
Drugs,2013-9018,11/1/13,1942,11/1/13,1942,Austin Hall,Closed; report to CSES
Drugs,2013-9019,11/1/13,2011,11/1/13,2011,Austin Hall,Closed; report to CSES
Agency Assist,2013-9022,11/1/13,2337,11/1/13,2337,"Williston Rd, S. Burlington",Closed
Intoxication,2013-9023,11/1/13,2301,11/1/13,2301,Hamilton Hall,Closed; referred to corrections for detox & report to CSES
Drugs,2013-9024,11/1/13,2311,11/1/13,2311,Austin Hall,Closed; unfounded
Alcohol Offense,2013-9029,11/1/13,2344,11/1/13,2344,Fleming,Closed; report to CSES
Intoxication,2013-9030,11/1/13,2344,11/1/13,2344,Wilks Hall,Closed; referred to ACT 1 for detox & report to CSES
Restraining Order Violation,2013-9031,11/1/13,2348,11/1/13,2348,UVM Main Green,Open incident
Intoxication,2013-9032,11/1/13,2353,11/1/13,2353,Living & Learning,Closed; referred to corrections for detox & report to CSES
Intoxication,2013-9033,11/1/13,2355,11/1/13,2355,Harris Millis,Closed
Noise,2013-9036,11/2/13,23,11/2/13,23,University Ter.,Closed
Alcohol Offense,2013-9037,11/2/13,35,11/2/13,35,Grasse Mount,Closed
Blue Light Alarm,2013-9038,11/2/13,47,11/2/13,47,Continuing Education,Closed
Alcohol Offense,2013-9039,11/2/13,106,11/2/13,106,Millis Hall,Closed; report to CSES
Noise,2013-9042,11/2/13,129,11/2/13,129,Simpson Hall,Closed; unfounded
Intoxication,2013-9043,11/2/13,129,11/2/13,129,Spear St / Davis Rd,Closed; referred to UVM Rescue & ACT 1 for detox
Suspicious Behavior,2013-9044,11/2/13,132,11/2/13,132,S. Prospect St / Henderson Ter.,Closed; unfounded
Vandalism,2013-9045,11/2/13,158,11/2/13,Unk,Harris Hall,Open incident
Agency Assist,2013-9046,11/2/13,201,11/2/13,201,"Market St, S. Burlington",Closed
Vandalism-Graffiti,2013-9047,11/2/13,205,11/2/13,Unk,Living & Learning,Open incident
Alcohol Offense,2013-9048,11/2/13,217,11/2/13,217,Living & Learning,Closed; report to CSES
Intoxication/Disorderly Conduct,2013-9050,11/2/13,229,11/2/13,229,John Dewey Hall,Closed; alternative justice paperwork issued
Alcohol Offense,2013-9051,11/2/13,248,11/2/13,248,Buckham Hall,Closed; report to CSES
Fire Alarm,2013-9052,11/2/13,957,11/2/13,957,Wright Hall,Closed
Fire Alarm,2013-9056,11/2/13,1820,11/2/13,1820,Wright Hall,Closed
Medical Assist,2013-9057,11/2/13,1826,11/2/13,1826,Harris Hall,Closed; referred to UVM Rescue
K9 Assist,2013-9058,11/2/13,1850,11/2/13,1850,"Myers Ct, S. Burlington",Closed
Noise,2013-9059,11/2/13,1850,11/2/13,1850,WDW,Closed; unfounded
Drugs,2013-9060,11/2/13,1914,11/2/13,1914,Austin Hall,Closed; unfounded
Drugs/Medical Assist,2013-9061,11/2/13,1926,11/2/13,1926,Redstone Lofts N308,"Closed; referred to UVM Rescue, trespass notice issued, report to CSES"
Fire Alarm,2013-9062,11/2/13,2004,11/2/13,2004,Trinity Cottages,Closed
Drugs,2013-9063,11/2/13,2008,11/2/13,2008,Austin Hall,Closed; unfounded
Fire Alarm,2013-9064,11/2/13,2033,11/2/13,2033,Mercy Hall,Closed
Simple Assault/Drugs,2013-9065,11/2/13,2056,11/2/13,2056,Redstone lofts S366,Closed incident; subject cited for simple assault & trespassed from campus; a second person cited into court for posession od LSD  report to CSES
Drugs,2013-9068,11/2/13,2341,11/2/13,2341,Millis Hall,Closed; unfounded
Blue Light Alarm,2013-9069,11/2/13,2345,11/2/13,2345,Continuing Education,Closed
Intoxication,2013-9071,11/3/13,2,11/3/13,2,Main St / University Ter.,Closed; unfounded
Intoxication,2013-9072,11/3/13,31,11/3/13,31,Wright Hall,Closed; referred to Burlington Rescue & report to CSES
Intoxication,2013-9073,11/3/13,42,11/3/13,42,McCann Hall,Closed; referred to corrections for detox & report to CSES
Blue Light Alarm,2013-9074,11/03/02013,125,11/3/13,125,PFG,Closed
Drugs,2013-9075,11/3/13,127,11/3/13,127,Wilks Hall,Closed; report to CSES
Disorderly Conduct,2013-9076,11/3/13,155,11/3/13,155,Main St / University Pl,Closed; report to CSES
Medical Assist,2013-9077,11/3/13,111,11/3/13,111,Christie Hall,Closed; referred to UVM Rescue
