Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Intrusion Alarm,2015-3324,6/1/15,147,6/1/15,147,"Training & Compliance Office, Fort Ethan Allen",Closed
Elevator Alarm,2015-3325,6/1/15,639,6/1/15,639,Jeffords,Closed
Larceny Bicycle,2015-3328,6/1/15,1223,Unknown,Unknown,Chittenden,Open
Suspicious Behavior,2015-3329,6/1/15,1302,6/1/15,1302,Police Services,Closed
Suspicious Behavior,2015-3338,6/2/15,208,6/2/15,208,Redstone Lofts,Closed
Intrusion Alarm,2015-3339,6/2/15,800,6/2/15,800,466 S Prospect St,Closed
Larceny,2015-3340,6/2/15,1128,Unknown,Unknown,Davis Center Bookstore,Open
Suspicious Behavior,2015-3342,6/2/15,1205,6/2/15,1200,Trinity North Pk Lot,Closed
Suspicious Behavior,2015-3344,6/2/15,1320,6/2/15,1320,Cook,Closed
Agency Assist,2015-3350,6/2/15,1856,6/2/15,1856,East Commuter Lot,Closed assist to Williston police
Intrusion Alarm,2015-3351,6/2/15,2223,6/2/15,2223,Fleming,Closed
Suspicious Behavior,2015-3356,6/3/15,1204,6/3/15,1204,John Dewey Hall,Closed
Agency Assist,2015-3360,6/3/15,1834,6/3/15,1834,East Ave / Main St,Closed; assist to Burlington Police
Citizen Assist,2015-3362,6/3/15,2007,6/3/15,2007,Old Mill,Closed
Motorist Assist,2015-3363,6/3/15,2008,6/3/15,2008,Davis Center Loading Dock,Closed
Agency Assist,2015-3370,6/4/15,1257,6/4/15,1257,"West Allen St, Winooski",Closed; assist to Winooski Police
Blue Light Alarm,2015-3372,6/4/15,1558,6/4/15,1558,109 S Prospect St,Closed
Medical Assist,2015-3374,6/4/15,1749,6/4/15,1749,Patrick Gym Outdoor Track,Closed; referred to UVM Rescue
Blue Light Alarm,2015-3377,6/4/15,1924,6/4/15,1927,University Hgts North 1,Closed
Unsecured Building,2015-3378,6/4/15,1948,6/4/15,1948,Bio Research Facility,Closed
Intoxication,2015-3379,6/5/15,50,6/5/15,50,Maple St / S Willard St,Closed; affiliate referred to ACT 1 & Corrections for Detox; report to CSES
Traffic / DUI,2015-3380,6/5/15,106,6/5/15,106,"Interstate 89, South Burlington",Closed; non affiliate cited for DUI
Citizen Assist,2015-3383,6/5/15,1251,6/5/15,1251,Jeffords,Closed
Larceny,2015-3384,6/5/15,1311,6/4/15,1430-2045,UVM Farm,Open
Intrusion Alarm,2015-3386,6/5/15,1529,6/5/15,1529,Waterman,Closed
Accident,2015-3387,6/5/15,1704,6/5/15,1704,Davis Center,Closed
Suspicious Event,2015-3388,6/5/15,1705,6/5/15,1705,Christie Wright Patterson,Closed
Agency Assist,2015-3389,6/5/15,1807,6/5/15,1807,1 S Prospect St,Closed
