Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Disorderly Conduct / Medical Assist,2013-3840,5/1/13,154,5/1/13,154,Wills,Closed; rescue transported to FAHC & subject cited into court for disorderly conduct & simple assault
Fire Alarm,2013-3842,5/1/13,445,5/1/13,445,Given,Closed
K9 Assist,2013-3843,5/1/13,457,5/1/13,457,"26 Ridgewood Rd, Burlington",Closed
Threats,2013-3846,5/1/13,1058,5/1/13,915,1 S Prospect St,Open
Vandalism,2013-3847,5/1/13,1112,Unk,Unk,Wills,Open
Agency Assist,2013-3848,5/1/13,1140,5/1/13,1140,2 Colchester Av,Closed
Agency Assist,2013-3849,5/1/13,1151,5/1/13,1151,Wills,Closed
Suspicious Person,2013-3850,5/1/13,1310,5/1/13,1310,Marche,Closed
Vandalism,2013-3851,5/1/13,1446,Unk,Unk,University Heights South 1,Open
Vandalism,2013-3853,5/1/13,1554,Unk,Unk,PFG,Open
Suspicious Event,2013-3855,5/1/13,1726,5/1/13,1726,41 S Prospect St,Closed
Alcohol / Drugs,2013-3857,5/1/13,1844,5/1/13,1844,Wing,Closed; Report to CSES
Alcohol,2013-3858,5/1/13,1856,5/1/13,1856,Wing,Closed; Report to CSES
Alcohol,2013-3860,5/1/13,1912,5/1/13,1912,Davis,Closed; Report to CSES
Drugs,2013-3861,5/1/13,1929,5/1/13,1929,Chittenden,Closed; Report to CSES
Alcohol,2013-3862,5/1/13,1932,5/1/13,1932,Gutterson Garage,Closed; Report to CSES
Drugs,2013-3863,5/1/13,1948,5/1/13,1948,MAT,Closed; Unfounded
Alcohol / Drugs,2013-3865,5/1/13,1951,5/1/13,1951,Hamilton,Closed; Report to CSES
Fire Alarm,2013-3866,5/1/13,1956,5/1/13,1956,Living and Learning,Closed
Drugs,2013-3867,5/1/13,2000,5/1/13,2000,Hamilton,Closed; Report to CSES
Alcohol,2013-3868,5/1/13,2007,5/1/13,2007,Harris Millis,Closed; Report to CSES
Suspicious Person,2013-3869,5/1/13,2015,5/1/13,2015,Colchester Av / Mansfield Av,Closed
Alcohol,2013-3870,5/1/13,2021,5/1/13,2021,Hamilton,Closed; Report to CSES
Alcohol,2013-3871,5/1/13,2023,5/1/13,2023,MAT,Closed; Report to CSES
Alcohol,2013-3872,5/1/13,2023,5/1/13,2023,Hamilton,Closed; Report to CSES
Alcohol,2013-3873,5/1/13,2034,5/1/13,2034,Converse,Closed; Report to CSES
Alcohol,2013-3874,5/1/13,2038,5/1/13,2038,Gutterson Garage,Closed; Report to CSES
Drugs,2013-3875,5/1/13,2038,5/1/13,2038,Ready,Closed; Report to CSES
Parking,2013-3876,5/1/13,2046,5/1/13,2046,PFG,Closed
Alcohol,2013-3877,5/1/13,2051,5/1/13,2051,Hamilton,Closed; Report to CSES
Alcohol,2013-3878,5/1/13,2053,5/1/13,2053,Wills,Closed; Report to CSES
Alcohol,2013-3880,5/1/13,2056,5/1/13,2056,WDW,Closed; Report to CSES; Alcohol ticket issued to non-affiliate
Alcohol,2013-3881,5/1/13,2113,5/1/13,2113,Davis,Closed; Report to CSES
Alcohol,2013-3882,5/1/13,2119,5/1/13,2119,Converse,Closed; Report to CSES
Alcohol,2013-3883,5/1/13,2121,5/1/13,2121,Harris Millis,Closed; Report to CSES
Alcohol / Drugs,2013-3884,5/1/13,2127,5/1/13,2127,Chittenden,Closed; Report to CSES
Alcohol,2013-3885,5/1/13,2128,5/1/13,2128,WDW,Closed; Report to CSES
Drugs,2013-3886,5/1/13,2129,5/1/13,2129,Buckham,Closed; Report to CSES
Alcohol,2013-3887,5/1/13,2136,5/1/13,2136,University Heights South 1,Closed; Report to CSES
Alcohol,2013-3888,5/1/13,2139,5/1/13,2139,Hamilton 1,Closed; Report to CSES
Alcohol / Drugs,2013-3890,5/1/13,2154,5/1/13,2154,Davis,Closed; Report to CSES
Suspicious Event,2013-3891,5/1/13,2202,5/1/13,2202,University Heights North 1,Closed
