Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Traffic / DUI,2014-5670,8/1/14,39,8/1/14,39,I89/MM 92.4,Closed; Cited into court for DUI; Report to CSES
Fire Alarm,2014-5671,8/1/14,121,8/1/14,121,Davis Center,Closed
Citizen Assist,2014-5672,8/1/14,217,8/1/14,217,Main Green,Closed
Accident,2014-5679,8/1/14,1128,8/1/14,1128,Aiken Lot,Closed
Fire Alarm,2014-5682,8/1/14,1615,8/1/14,1615,Davis Center,Closed
Poss. of Stolen Property / Alcohol Offense,2014-5687,8/1/14,2343,8/1/14,2343,1 S Prospect St,Closed; Report to CSES
Traffic / DUI,2014-5688,8/2/14,2,8/2/14,2,S Prospect St / College St,Closed; Cited into court for DUI
Suspicious Event,2014-5690,8/2/14,128,8/2/14,128,Redstone Lofts,Closed; Unfounded
Alcohol Offense,2014-5691,8/2/14,151,8/2/14,151,Gutterson,Closed; Report to CSES
Traffic / DUI,2014-5692,8/2/14,335,8/2/14,335,500 S Prospect St,Closed; subject cited for DUI & Careless & Negligent Operation
Blue Light Alarm,2014-5693,8/2/14,421,8/2/14,421,Gutterson,Closed
Blue Light Alarm,2014-5698,8/2/14,1101,8/2/14,1101,PFG,Closed
Citizen Assist,2014-5702,8/2/14,1157,8/2/14,1157,Aiken,Closed; Unfounded
Agency Assist,2014-5720,8/2/14,2326,8/2/14,2326,S Prospect St / College St,Closed
Motorist Assist,2014-5721,8/2/14,2349,8/2/14,2349,111 Colchester Ave,Closed
Fire Alarm,2014-5727,8/3/14,151,8/3/14,151,Villa,Closed
Traffic / DUI,2014-5728,8/3/14,159,8/3/14,159,Main St / East Ave,Closed; Cited into court for DUI
Blue Light Alarm,2014-5730,8/3/14,512,8/3/14,512,Gutterson,Closed
Citizen Assist,2014-5742,8/3/14,1435,8/3/14,1435,HSRF,Closed
Vandalism Graffiti,2014-5745,8/3/14,1632,Unk,Unk,Jeanne Mance,Open
Panic Alarm,2014-5757,8/4/14,1003,8/4/14,1003,Student Health,Closed
Animal Problem,2014-5767,8/4/14,1535,8/4/14,1535,Blundell,Closed
Agency Assist,2014-5770,8/5/14,110,8/5/14,110,284 East Ave,Closed
Blue Light Alarm,2014-5777,8/5/14,1205,8/5/14,1205,Continuing Education,Closed
Citizen Assist,2014-5784,8/5/14,1524,Unk,Unk,Royal Tyler Theater,Open
Intrusion Alarm,2014-5789,8/5/14,1854,8/5/14,1854,Waterman,Closed
Traffic / Drug Offense,2014-5798,8/5/14,2332,8/5/14,2332,S Prospect St / College St,"Closed; Tickets issued Poss. Marijuana, No Registration, Operating with Suspended License"
Blue Light Alarm,2014-5800,8/6/14,425,8/6/14,425,Gutterson Garage,Closed
Fire Alarm,2014-5801,8/6/14,816,8/6/14,816,MAT,Closed
Agency Assist,2014-5802,8/6/14,829,8/6/14,829,Billings,Closed
Suspicious Behavior,2014-5804,8/6/14,856,8/5/14,Unknown,Votey,Open
Intrusion Alarm,2014-5808,8/6/14,1040,8/6/14,1040,Large Animal,Closed
Medical,2014-5810,8/6/14,1121,8/6/14,1121,Williams,Closed referred to FAHC by UVM Rescue
Medical,2014-5811,8/6/14,1143,8/6/14,1143,12 Colchester,Closed referred to FAHC by UVM Rescue
Fire Alarm,2014-5816,8/6/14,1948,8/6/14,1948,CBW,Closed
Burglary,2014-5817,8/6/14,2002,8/6/14,0815-1840,Tupper,Open
Fire Alarm,2014-5818,8/6/14,2027,8/6/14,2027,U Hgts N,Closed
Larceny,2014-5819,8/7/14,100,Unknown,Unknown,MAT,Open
Fire Alarm,2014-5821,8/7/14,1055,8/7/14,1055,Dewey,Closed
Subpoena Service,2014-5829,8/7/14,1414,8/7/14,1414,MAT,Closed
Suspicious Behavior,2014-5831,8/7/14,1604,8/7/14,1604,Bailey Howe,Closed / Gone on arrival
Suspicious Behavior,2014-5832,8/7/14,2010,8/7/14,2010,Williams,Closed
Citizen Assist,2014-5839,8/8/14,411,8/8/14,411,Catholic Center,Closed
Fire Alarm,2014-5821,8/7/14,1055,8/7/14,1055,Dewey,Closed
Subpoena Service,2014-5829,8/7/14,1414,8/7/14,1414,MAT,Closed
Suspicious Behavior,2014-5831,8/7/14,1604,8/7/14,1604,Bailey Howe,Closed / Gone on arrival
Suspicious Behavior,2014-5832,8/7/14,2010,8/7/14,2010,Williams,Closed
Citizen Assist,2014-5839,8/8/14,411,8/8/14,411,Catholic Center,Closed
 Accident,2014-5843,8/8/14,1137,8/8/14,1137,Bailey Howe,Closed
Fire Alarm,2014-5844,8/8/14,1222,8/8/14,1222,Wills,Closed
Blue Light Alarm,2014-5846,8/8/14,1357,8/8/14,1357,Simpson,Closed
Elevator Alarm,2014-5847,8/8/14,1401,8/8/14,1401,Millis,Closed
Animal Problem,2014-5850,8/8/14,1559,8/8/14,1559,U Hgts N,Closed
Property Damage,2014-5859,8/9/14,810,8/9/14,810,Davis Center,Closed
Suspicious Event,2014-5866,8/9/14,1105,8/9/14,1105,Davis Center,Closed
Suspicious Event,2014-5870,8/9/14,1517,8/9/14,1517,Centennial Field,Closed
Motor Vehicle Complaint,2014-5873,8/9/14,1539,8/9/14,1539,Wing Hall Parking Lot,Closed
Agency Assist,2014-5875,8/9/14,2100,8/9/14,2100,"Susie Wilson Rd / Kellogg Rd, Essex Jct",Closed
Blue Light Alarm,2014-5878,8/9/14,2331,8/9/14,2331,Parking Garage,Closed
Agency Assist,2014-5879,8/10/14,559,8/10/14,559,"South Champlain St, Burlington",Closed
Traffic / Drugs,2014-5889,8/10/14,1313,8/10/14,1313,Spear St / Swift St,Closed; subject issued marijuana ticket
Larceny,2014-5892,8/10/14,1344,8/9/14,0850-1115,PFG,Open Incident
Animal Problem,2014-5898,8/10/14,2102,8/10/14,2102,Davis Center,Closed
Fire Alarm,2014-5900,8/11/14,604,8/11/14,604,Trinity Villa,Closed
Fire Alarm,2014-5902,8/11/14,749,8/11/14,749,Marsh Austin Tupper,Closed
Agency Assist,2014-5903,8/11/14,944,8/11/14,944,284 East Ave,Closed
Larceny,2014-5905,8/11/14,1549,8/6/14,1600,University Health Center,Open incident
