Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Citizen Assist,2017-3393,5/1/17,828,5/1/17,828,UVM Police Services,Closed
Accident - Property Damage,2017-3395,5/1/17,959,5/1/17,959,Physical Plant Parking Lot,Closed
Disturbance,2017-3397,5/1/17,1203,5/1/17,1203,109 S Prospect St Outside,Closed; report to CSC
Larceny,2017-3398,5/1/17,1312,04/30/2017-05/01/2017,2200-0830,Wing Davis Wilks Outside,Open incident
Graffiti,2017-3399,5/1/17,1330,Unk,Unk,Living & Learning,Open incident
Medical Assist,2017-3400,5/1/17,1453,5/1/17,1453,PFG Fitness Center,Closed; affiliate referred to UVM Rescue
Blue Light Alarm,2017-3401,5/1/17,1628,5/1/17,1628,109 S. Prospect St,Closed
Citizen Assist,2017-3403,5/1/17,1825,5/1/17,1825,Patterson Hall,Closed
Citizen Assist,2017-3406,5/1/17,2108,5/1/17,2108,Bailey Howe,Closed
Stalking,2017-3407,5/1/17,2145,04/24/2017-05/01/2017,Various,Bailey Howe Library,Closed
Domestic Disturbance,2017-3408,5/1/17,2303,5/1/17,2303,Patterson Hall,Closed; report to CSC
Medical Assist,2017-3409,5/2/17,2,5/2/17,2,Wing Hall,Closed; affiliate transported to UVM MC Via UVM Rescue
Suspicious Event,2017-3416,5/2/17,657,5/2/17,657,Votey Parking Lot,Closed
Agency Assist,2017-3418,5/2/17,756,5/2/17,756,"Williamson Ct, Cambridge, VT",Closed; assist to Green Mountain CISM
Harassment / Stalking,2017-3420,5/2/17,1024,04/24/2017 - 05/01/2017,Various,Simpson Hall,Closed; non affiliate issued trespass notice for all of UVM Campus
Larceny,2017-3424,5/2/17,1427,04/27-28/2017,Unk,Bailey Howe Bike Rack,Open incident
Accident - Property Damage,2017-3425,5/2/17,1650,5/2/17,1650,University Hgts North Parking Lot,Closed
Citizen Assist,2017-3426,5/2/17,1706,5/2/17,1706,UVM Police Services,Closed
Suspicious Behavior,2017-3427,5/2/17,1735,5/2/17,1735,Davis Center,Closed
Intrusion Alarm,2017-3428,5/2/17,1748,5/2/17,1748,Fleming,Closed
Trespassing,2017-3429,5/2/17,1958,5/2/17,1958,Cook,Closed
Accident - Property Damage,2017-3431,5/2/17,2108,5/2/17,2108,Votey Parking Lot,Closed
Medical Assist,2017-3432,5/2/17,2221,5/2/17,2221,Davis Hall,Closed; affiliate transported to UVM MC Via UVM Rescue
Noise,2017-3433,5/3/17,58,5/3/17,58,Redstone Apts,Closed; noise warning issued
Citizen Assist - Safety Escort,2017-3434,5/3/17,118,5/3/17,118,Bailey Howe,Closed
Elevator Alarm,2017-3437,5/3/17,445,5/3/17,445,Living & Learning,Closed
Traffic / Drugs,2017-3441,5/3/17,1049,5/3/17,1049,Catamount Rd / East Ave,Closed; non affiliate issued marijuana ticket
Theft of Service,2017-3442,5/3/17,1139,5/3/17,1139,Votey Parking Lot,Closed
Medical Assist,2017-3445,5/3/17,1412,5/3/17,1412,Living & Learning,Closed; affiliate transported to UVM MC via UVM Rescue
Fire Alarm,2017-3446,5/3/17,1542,5/3/17,1542,McAuley Hall,Closed
Agency Assist,2017-3447,5/3/17,1605,5/3/17,1605,"Centerville Rd, Hyde Park, VT",Closed; assist to Green Mountain CISM
Larceny - Bicycle,2017-3448,5/3/17,1703,Unk,Unk,Redstone Campus,Open incident
Citizen Assist,2017-3450,5/3/17,1726,5/3/17,1726,PFG Parking Garage,Closed
Domestic Disturbance / Unlawful Restraint,2017-3451,5/3/17,1748,Unk,Unk,Off Campus Residential Location,Closed; referred to Title IX
Intrusion Alarm,2017-3455,5/3/17,2031,5/3/17,2031,Nolan House,Closed
Agency Assist,2017-3456,5/3/17,2045,5/3/17,2045,"W Canal St, Winooski",Closed; assist to Winooski Police
Medical Assist / Intoxication / Drugs,2017-3472,5/4/17,419,5/4/17,419,Mason Hall,Closed; affiliate transported to UVM MC via UVM Rescue; report to CSC
Medical Assist,2017-3476,5/4/17,1227,5/4/17,1227,Living & Learning,Closed; affiliate referred to UVM Rescue
Larceny,2017-3484,5/4/17,1709,5/4/17,1330-1615,Waterman,Open incident
Welfare Check,2017-3486,5/4/17,1750,5/4/17,1750,16 Colchester Ave,Closed; subject located
Unsecured Premise,2017-3493,5/4/17,2237,5/4/17,2237,Main Campus Construction Area,Closed
Motorist Assist,2017-3494,5/4/17,2238,5/4/17,2238,Colchester Ave,Closed
Intrusion Alarm,2017-3495,5/4/17,2253,5/4/17,2253,Nolan House,Closed
Suspicious Activity,2017-3498,5/5/17,59,5/5/17,59,Christie Wright Patterson Outside,Closed; non substantiated
Unsecured Premise,2017-3499,5/5/17,243,5/5/17,243,Main Campus Construction Area,Closed
911 Hang Up,2017-3500,5/5/17,308,5/5/17,308,Tupper Hall,Closed; no emergency located
Medical Assist,2017-3506,5/5/17,1342,5/5/17,1342,Bailey Howe,Closed; UVM Rescue transported to UVM MC
Domestic Disturbance,2017-3508,5/5/17,1549,5/5/17,1549,Waterman Lot,Closed; Report to Title IX
Citizen Assist / Safety Planning,2017-3509,5/5/17,1659,5/5/17,1659,284 East Ave,Closed
Alcohol Offense,2017-3510,5/5/17,1757,5/5/17,1757,MSH,Closed; Report to CSC
Alcohol Offense,2017-3513,5/5/17,1818,5/5/17,1818,801 Williston Rd,Closed; Report to CSC
Intrusion Alarm,2017-3514,5/5/17,1905,5/5/17,1905,Nolan House,Closed
Fire Alarm,2017-3515,5/5/17,1911,5/5/17,1911,Cook,Closed
Alcohol Offense,2017-3517,5/5/17,1928,5/5/17,1928,Coolidge Outside,Closed; Report to CSC
Suspicious Event,2017-3521,5/5/17,1949,5/5/17,1949,Wilks,Closed
Drugs / Alcohol Offense,2017-3522,5/5/17,1951,5/5/17,1951,Wilks,Closed; Report to CSC
Suspicious Event,2017-3523,5/5/17,2005,5/5/17,2005,Morrill,Closed
Noise,2017-3524,5/5/17,2014,5/5/17,2014,Tupper,Closed
Alcohol Offense,2017-3526,5/5/17,2051,5/5/17,2051,Mercy Outside,Closed; Report to CSC
Drugs,2017-3528,5/5/17,2356,5/5/17,2356,Mason,Closed; Report to CSC
Suspicious Event,2017-3529,5/6/17,7,5/6/17,7,Trinity Campus,Closed; Unable to locate
Medical Assist,2017-3530,5/6/17,19,5/6/17,19,MAT,Closed; Unable to locate
Alcohol Offense,2017-3531,5/6/17,20,5/6/17,20,Ready Outside,Closed; Report to CSC
