Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Suspicious Person,203-5513,7/1/13,508,7/1/13,508,Aiken,Closed
Agency Assist,2013-5518,7/1/13,1746,7/1/13,1746,69 Spring St  Burlington,Closed
Accident / Agency Assist,2013-5519,7/1/13,1813,7/1/13,1813,Main St / U heights Burlington,Closed
Agency Assist,2013-5520,7/1/13,1902,7/1/13,1902,31 Kilburn St Burlington,Closed
Agency Assist,2013-5521,7/1/13,1913,7/1/13,1913,1142 Williston Rd  S Burlington,Closed
Agency Assist,2013-5533,7/2/13,323,7/2/13,323,811 Williston Rd  S Burlington,Closed
Fire Alarm,2013-5535,7/2/13,642,7/2/13,642,109 S Prospect St,Closed
Accident,2013-5536,7/2/13,759,7/2/13,759,Terrill,Closed
Intrusion Alarm,2013-5541,7/2/13,1005,7/2/13,1005,Southwick,Closed
Suspicious Event,2013-5545,7/2/13,1207,7/2/13,1207,UHC,Open
Larceny,2013-5547,7/2/13,1534,7/2/13,1145,Music,Open
Intrusion Alarm,2013-5548,7/2/13,1534,7/2/13,1534,Waterman,Closed
 Harassment,2013-5549,7/2/13,2200,7/2/13,2200,34 University Lane,Closed
Larceny,2013-5552,7/3/13,11,7/3/13,11,Spear St /Davis Rd,Closed ; 2 cited into court for petit larceny
Agency Assist,2013-5554,7/3/13,144,7/3/13,144,275 Main St Burlington,Closed
Suspicious Event,2013-5557,7/3/13,234,7/3/13,234,MAT,Closed
Disorderly Conduct,2013-5558,7/3/13,731,7/3/13,731,UHC,Closed; issued no trespass notices one cited into district court for simple assault
Accident,2013-5560,7/3/13,936,7/3/13,936,Pomeroy,Closed
Intrusion Alarm,2013-5561,7/3/13,942,7/3/13,942,Fleming,Closed
Larceny,2013-5563,7/3/13,953,7/3/13,953,UHC,Closed; one cited into district court for petit larceny
Assist Motorist / Agency Assist,2013-5564,7/3/13,1039,7/3/13,1039,East Ave / Catamount   Burlington,Closed
Fire Alarm,2013-5565,7/3/13,1108,7/3/13,1108,CBW,Closed
Medical,2013-5566,7/3/13,1411,7/3/13,1411,PFG,Closed ; subject referred to FAHC by UVM Rescue
Agency Assist,2013-5568,7/3/13,1603,7/3/13,1603,Main St / S Winooski Ave  Burlington,Closed
Intrusion Alarm,2013-5569,7/3/13,1758,7/3/13,1758,Fleming,Closed
Agency Assist,2013-5571,7/3/13,1857,7/3/13,1857,PFG,Closed
Agency Assist,2013-5572,7/3/13,2001,7/3/13,2001,1660 Williston Rd S Burlington,Closed
Blue Light Alarm,2013-5576,7/3/13,2051,7/3/13,2051,16 Colchester Ave,Closed
Agency Assist,2013-5577,7/3/13,2116,7/3/13,2116,PFG,Closed
Suspicious Persons,2013-5578,7/3/13,2118,7/3/13,2118,Williams,Closed
Agency Assist,2013-5579,7/3/13,2127,7/3/13,2127,Main St / U Heights Burlington,Closed
Agency Assist,2013-5580,7/3/13,2142,7/3/13,2142,Gutterson,Closed
Drug Possession,2013-5581,7/3/13,2230,7/3/13,2230,Chittenden,Closed; drugs confiscated
Burglary,2013-5582,7/3/13,2333,7/3/13,2333,Davis Hall,Open
Motorist  Assist,2013-5583,7/3/13,2342,7/3/13,2342,Carrigan Ave / East Ave Burlington,Closed
