Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Agency Assist,2014-00003,1/1/14,59,1/1/14,59,S Prospect St / College St,Closed
Suspicious Behavior,2014-00004,1/1/14,134,1/1/14,134,WDW Parking Lot,Closed
Agency Assist,2014-00006,1/1/14,313,1/1/14,313,"College Parkway, Colchester",Closed
Agency Assist,2014-00007,1/1/14,326,1/1/14,326,284 East Ave.,Closed
Suspicious Behavior,2014-0009,1/1/14,1253,1/1/14,1253,Kalkin,Closed
Agency Assist,2014-00013,1/2/14,203,1/2/14,203,Colchester Ave/ Latham Ct,Closed
Fire Alarm,2014-00017,1/2/14,258,1/2/14,258,Living and Learning,Closed
Medical,2014-00023,1/2/14,800,1/2/14,800,Nichelson,Closed transferred to FAHC by UVM Rescue
Fire Alarm,2014-00024,1/2/14,821,1/2/14,821,MLS,Closed
Fire Alarm,2014-00027,1/2/14,926,1/2/14,926,Mansfield House,Closed
Agency Assist,2014-00038,1/2/14,1950,1/2/14,1950,5 Dorset St,Closed
Suspicious Event / Unsecured Premis,2014-00041,1/3/14,204,1/3/14,204,Colchester Research,Closed
Fire Alarm,2014-0434,1/3/14,434,1/3/14,434,Living and Learning,Closed
Intrusion Alarm,2014-0045,1/3/14,806,1/3/14,806,Fleming,Closed
Assist Agency,2014-0048,1/3/14,952,1/3/14,952,74 S Park Dr Colchester,Closed
Agency Assist,2014-0050,1/3/14,1207,1/3/14,1207,Burlington Police,Closed
Intrusion Alarm,2014-0053,1/3/14,1527,1/3/14,1527,Southwick,Closed
Accident - LSA,2014-0054,1/3/14,1650,1/3/14,1650,UHC Lot,Open
Motorist Assist,2014-0055,1/3/14,1701,1/3/14,1701,I 289 / 2A,Closed
Accident - LSA,2014-0057,1/3/14,1930,1/3/14,1930,PFG,Open
Motorist Assist,2014-0058,1/3/14,2139,1/3/14,2139,Davis Rd / Spear St,Closed
Fire Alarm,2014-0059,1/4/14,58,1/4/14,58,Mansfield House,Closed
Fire Alarm,2014-0059,1/3/14,2210,1/3/14,2210,Mansfield House,Closed
Agency Assist,2014-0060,1/4/14,110,1/4/14,110,1118 Williston Rd  S Burlington,Closed
Fire Alarm,2014-0067,1/4/14,1232,1/4/14,1232,Davis Center,Closed
Blue Light Alarm,2014-0069,1/4/14,1659,1/4/14,1659,Gutterson,Closed
Motor Vehicle Complaint,2014-0071,1/4/14,1911,1/4/14,1911,401 Dorset St,Closed
Suspicious Event / Unsecure premise,2014-0073,1/4/14,2352,1/4/14,2352,331 Payne St  Colchester Ethan Allen Campus,Closed
Fire Alarm,2014-0075,1/5/14,139,1/5/14,139,Billings,Closed
Suspicious Event /Unsecure Premis,2014-0077,1/5/14,441,1/5/14,441,331 Payne St Colchester Ethan Allen Campus,Closed
Accident,2014-0079,1/5/14,1002,1/5/14,1002,Redstone Lofts Lot,Closed
Fire Alarm,2014-0082,1/6/14,17,1/6/14,17,Terrill,Closed
Property Damage,2014-0087,1/6/14,1146,1/6/14,1146,Waterman Parking Lot,Closed
Medical Assist,2014-0088,1/6/14,1154,1/6/14,1154,Catholic Center,Closed; referred to UVM Rescue
Property Damage,2014-0089,1/6/14,1313,1/6/14,1313,Central Heating Plant Parking Lot,Closed
Agency Assist,2014-0090,1/6/14,1348,1/6/14,1348,284 East Ave.,Closed
Suspicious Behavior,2014-0091,1/6/14,1524,1/3/14,Unk,Given,Closed
Traffic / Driving while Suspended,2014-0094,1/6/14,1904,1/6/14,1904,"Dorset St, S. Burlington",Closed; subject cited for driving while suspended
