Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Suspicious Behavior,2015-4318,8/1/15,134,8/1/15,134,Redstone Apts,Closed
Intrusion Alarm,2015-4324,8/1/15,1122,8/1/15,1122,460 S Prospect St,Closed
Suspicious Behavior,2015-4325,8/1/15,1455,8/1/15,1455,Old Mill & Lafayette Annex,Closed;  not substantiated
Suspicious Behavior,2015-4327,8/1/15,1823,8/1/15,1823,Catamount Dr / Centennial Ct,Closed
Agency Assist,2015-4343,8/2/15,150,8/2/15,150,"Williston Rd, S. Burlington",Closed; assist to South Burlington Police
Noise,2015-4344,8/2/15,151,8/2/15,151,Redstone Lofts S266,Closed; warning issued; report to CSES
Traffic / DUI,2015-4345,8/2/15,218,8/2/15,218,"Williston Rd, S. Burlington",Closed; subject cited for DUI
Agency Assist,2015-4346,8/2/15,433,8/2/15,433,"Williston Rd, S. Burlington",Closed; assist to South Burlington Police
Threats,2015-4348,8/2/15,1129,8/1/15,Unk,"Ethan Allen Ave, Colchester",Open incident
Fireworks,2015-4362,8/2/15,2102,8/2/15,2102,Redstone Green,Closed; not substantiated
Fire Alarm,2015-4365,8/2/15,2324,8/2/15,2324,Englesby,Closed
Suspicious Behavior,2015-4380,8/3/15,1457,8/3/15,1457,Environmental Safety Roadway,Closed; not substantiated
Agency Assist / Burglary Alarm,2015-4381,8/3/15,1631,8/3/15,1631,"Chickadee Circle, South Burlington",Closed; assist to South Burlington Police
Suspicious Behavior,2015-4382,8/3/15,1634,7/30/15,Unk,Catholic Center Grounds,Closed
Suspicious Behavior,2015-4388,8/4/15,1009,Unk,Unk,Davis Center,Closed
Motorist Assist,2015-4393,8/5/15,5,8/5/15,5,Colchester Ave / East Ave,Closed
Medical Assist,2015-4394,8/5/15,831,8/5/15,831,"Physical Plant, 284 East Ave",Closed
Suspicious Behavior,2015-4400,8/5/15,1802,8/5/15,1802,23 Mansfield Ave Parking Lot,Closed; Not substantiated
Suspicious Behavior,2015-4404,8/6/15,8,8/6/15,8,U Heights South,Closed; Unfounded
Agency Assist,2015-4414,8/6/15,1522,8/6/15,1522,Stafford Hall,Closed; assist to UVM Service Operations
Unsecured Building,2015-4422,8/6/15,2327,8/6/15,2327,Large Animal Facility,Closed
Agency Assist,2015-4430,8/7/15,446,8/7/15,446,Main St / Spear St,Closed; Assist to Burlington Police
Domestic Disturbance,2015-4431,8/7/15,808,8/7/15,808,Colchester Ave / Centennial Field Parking Lot,Closed; non affiliate arrested & brought to court for violation of abuse prevention order
Elevator Alarm,2015-4432,8/7/15,940,8/7/15,940,Davis Center,Closed
Traffic / Drugs,2015-4447,8/7/15,2331,8/7/15,2331,McAuley Hall Parking Lot,Closed; civil marijuana ticket issued to non affiliate
Motorist Assist,2015-4449,8/8/15,24,8/8/15,24,Main St / Beaumont Ave Ext,Closed
