Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Unsecured Premise,2015-6103,10/1/15,523,10/1/15,523,Cook Building,Closed
Welfare Check,2015-6113,10/1/15,1101,10/1/15,1101,Mann Hall,Closed
Fire Alarm / Drugs,2015-6122,10/1/15,1450,10/1/15,1450,Hamilton Hall,Closed; report to CSES
Fire Alarm,2015-6123,10/1/15,1505,10/1/15,1505,Redstone Lofts N507,Closed
Larceny,2015-6124,10/1/15,1525,10/1/15,1330-1525,Philosophy building bike rack,Open incident
Domestic Disturbance,2015-6128,10/1/15,1850,10/1/15,1850,Harris Hall,Closed; referred to UVM Residential Life & report to CSES
Vandalism,2015-6130,10/1/15,2058,Unk,Unk,University Hgts South 2,Open incident
Blue Light Alarm,2015-6131,10/1/15,2121,10/1/15,2121,Mann Hall,Closed
Fire Alarm,2015-6134,10/1/15,2231,10/1/15,2231,University Hgts North  2,Closed
Drugs,2015-6136,10/1/15,2344,10/1/15,2344,Living & Learning,Closed; non substantiated
Agency Assist,2015-6139,10/2/15,32,10/2/15,32,"UVM Police Services & St. Albans, VT",Closed; assist to St. Albans City Police
Suspicious Activity,2015-6140,10/2/15,107,10/2/15,107,Wing Hall Parking Lot,Closed
Welfare Check / Medical Assist,2015-6141,10/2/15,147,10/2/15,147,Austin Hall,Closed; subject located & referred to UVM Medical Center via UVM Rescue
Traffic / DUI,2015-6142,10/2/15,235,10/2/15,235,Quarry Hill Rd,Closed; subject cited into court for DUI
Unsecured Premise,2015-6143,10/2/15,239,10/2/15,239,Waterman,Closed
Larceny,2015-6151,10/2/15,1022,10/1/15,1600,Votey,Open
Larceny Bicycle,2015-6157,10/2/15,1213,10/01-02/2015,Unk,Redstone Lofts Lot,Open
Accident,2015-6160,10/2/15,1410,10/2/15,1410,109 S Prospect St Lot,Closed
Citizen Assist,2015-6162,10/2/15,1459,10/2/15,1459,Bailey Howe,Closed
Accident,2015-6163,10/2/15,1532,10/2/15,1532,Gutterson Garage,Open
Lewd and Lascivious Conduct / Forcible Fondling,2015-6164,10/2/15,1552,9/26/16,Unk,PFG,Open
Agency Assist,2015-6166,10/2/15,1747,10/2/15,1747,Main St / University Hgts,Closed; Assist to Burlington Police
Intrusion Alarm,2015-6167,10/2/15,1757,10/2/15,1757,Southwick,Closed
Medical Assist,2015-6168,10/2/15,1816,10/2/15,1816,McAuley,Closed; UVM Rescue transported to UVM MC
Alcohol Offense,2015-6174,10/2/15,2221,10/2/15,2221,Harris Millis lobby,Closed; Report to CSES
Motorist Assist,2015-6180,10/2/15,2329,10/2/15,2329,Redstone Campus,Closed
Unsecured Premise,2015-6181,10/2/15,2336,10/2/15,2336,Living and Learning,Closed
Agency Assist,2015-6182,10/2/15,2355,10/2/15,2355,"405 Main St, Winooski",Closed; Assist to Winooski Police
Suspicious Behavior,2015-6184,10/3/15,9,10/3/15,9,University Pl / Main St,Closed; non substantiated
Blue Light Alarm,2015-6186,10/3/15,32,10/3/15,32,Harris Millis,Closed
Fire Alarm,2015-6189,10/3/15,102,10/3/15,102,University Heights North 1,Closed
Fire Alarm,2015-6190,10/3/15,116,10/3/15,116,Coolidge,Closed
Motorist Assist,2015-6192,10/3/15,202,10/3/15,202,Spear St / Davis Rd,Closed
Medical Assist / Drugs,2015-6195,10/3/15,212,10/3/15,212,Sichel,Closed; UVM Rescue transported to UVM MC; Report to CSES
Traffic / DUI,2015-6196,10/3/15,219,10/3/15,219,Shelburne Rd / S Willard St,Closed; Subject cited into court for DUI
