Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Citizen Assist,2017-8885,11/1/17,35,11/1/17,35,Main St / S Union St,Closed
Welfare Check,2017-8893,11/1/17,308,11/1/17,308,CCRH,Closed; Transported to CRISIS
Larceny,2017-8896,11/1/17,1247,10/31/17,2010-2020,Bailey Howe,Open incident
Late Reported Anonymous Sexual Assault,2017-8899,11/1/17,1511,10/31/207,Unk,Unknown Off Campus Location,Closed; referred to Title IX Coordinator
Agency Assist / Accident,2017-8900,11/1/17,1517,11/1/17,1517,S Prospect St / College St,Closed; assist to Burlington Police
Drugs,2017-8901,11/1/17,1611,11/1/17,1611,Millis Hall,Closed; Affiliate cited into court for Felony Poss of Marijuana
Threats / Harassment,2017-8902,11/1/17,1649,11/1/17,1330,Patterson Hall,Open incident
Agency Assist,2017-8904,11/1/17,1757,11/1/17,1757,"Dorset St, So. Burlington",Closed; assist to Milton Police
Violation Conditions of Release,2017-8905,11/1/17,1757,11/1/17,1757,"Dorset St, So. Burlington",Closed; non affiliate cited into court for Violation  Conditions of Release
Drugs,2017-8906,11/1/17,1925,11/1/17,1925,Harris Hall,Closed; report to CSC
Drugs,2017-8907,11/1/17,1942,11/1/17,1942,Harris Hall,Closed; report to CSC
Suspicious Behavior,2017-8910,11/1/17,2110,11/1/17,2110,Colchester Research Facility Parking Lot,Closed
Agency Assist,2017-8918,11/1/17,2224,11/1/17,2224,Riverside Ave / Intervale Rd,Closed; assist to Burlington Police
Drugs,2017-8922,11/1/17,2326,11/1/17,2326,Ready Hall,Closed; report to CSC
Welfare Check,2017-8927,11/2/17,1117,11/2/17,1117,Tupper Hall,Closed; affiliate located and referred to UVM Cares
Accident - Property Damage,2017-8928,11/2/17,1240,10/31/2017 - 11/02/2017,Unk,WDW Parking Lot,Closed
Medical Assist,2017-8929,11/2/17,1250,11/2/17,1250,Wright Hall,Closed; affiliate transported to UVM MC ER via UVM Rescue
Welfare Check,2017-8930,11/2/17,1350,11/2/17,1350,Stafford Hall,Closed; subject located
Medical Assist,2017-8931,11/2/17,1401,11/2/17,1401,Student Health Services,Closed; affiliate transported to UVM MC ER via UVM Rescue
Late Reported Anonymous Sexual Assault,2017-8933,11/2/17,1633,10/27-29/2017,Unk,Unknown Location,Closed; referred to Title IX Coordinator
Agency Assist,2017-8935,11/2/17,1914,11/2/17,1914,"Spear St / Quarry Hill Rd, So. Burlington",Closed; assist to So. Burlington Police
Drugs / Alcohol Offense,2017-8936,11/2/17,1956,11/2/17,1956,Mercy Hall,Closed; report to CSC
Motorist Assist,2017-8938,11/2/17,2038,11/2/17,2038,PFG Parking Garage,Closed
Drugs / Alcohol Offense,2017-8943,11/2/17,2231,11/2/17,2231,Wilks,Closed; report to CSC
Traffic / Driving While Suspended,2017-8946,11/2/17,2315,11/2/17,2315,Spear St / Davis Rd,Closed; non affiliate cited into court for Driving While Suspended
Citizen Assist - Safety Escort,2017-8947,11/2/17,2320,11/2/17,2320,University Hgts North,Closed
Medical Assist,2017-8950,11/3/17,133,11/3/17,133,Harris Hall,Closed; affiliate transported to UVM MC ER via UVM Rescue
Accident - Property Damage,2017-8955,11/3/17,906,11/3/17,906,284 East Ave Parking Lot,Closed
Property Damage,2017-8958,11/3/17,1448,11/2/17,0500-1330,109 S Prospect St Parking Lot,Closed
