Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Suspicious Activity,2014-7475,10/1/14,139,10/1/14,139,McAuley Hall,Closed
Larceny,2014-7477,10/1/14,742,09/26-29/2014,Unk,Williams Hall,Open incident
Suspicious Event,2014-7478,10/1/14,806,10/1/14,806,Parking Garage,Closed
Drugs,2014-7480,10/1/14,854,10/1/14,854,Millis Hall,Closed; unfounded
Medical Assist,2014-7484,10/1/14,1143,10/1/14,1143,Wills Hall,Closed; referred to UVM Rescue
Violation Conditions of Release,2014-7485,10/1/14,1301,9/28/14,130,Redstone Lofts,Closed; subject arraigned in district court for violation conditions of release; report to CSES
Late Reported Anonymous Sexual Assault,2014-7488,9/30/14,1507,4/19/14,Unk,Converse Hall,Closed
Fraud,2014-7490,10/1/14,1436,10/1/14,1436,Terrill Hall,Closed
Suspicious Behavior,2014-7491,10/1/14,1444,10/1/14,1444,University Hgts / Davis Rd,Closed
Medical Assist,2014-7492,10/1/14,1446,10/1/14,1446,109 S Prospect St,Closed; referred to UVM rescue
Skateboarding Violation,2014-7495,10/1/14,1543,10/1/14,1543,Kalkin Hall,Closed
Accident,2014-7495,10/1/14,1719,10/1/14,1719,John Dewey Parking Lot,Closed
Intrusion Alarm,2014-7498,10/1/14,2103,10/1/14,2103,Waterman,Closed
Larceny / Vandalism,2014-7505,10/2/14,0,Unk,Unk,Main St / Beaumont Ave Ext,Open incident
Panic Alarm,2014-7512,10/2/14,836,10/2/14,836,Medical Education Center,Closed
Burglary,2014-7514,10/2/14,950,10/2/14,0000-0900,Redstone Apts,Open incident
Welfare Check,2014-7515,10/2/14,1117,10/2/14,1117,"Stafford Hall & Catamount Ln, Colchester",Closed; subject located
Motor Vehicle Complaint,2014-7519,10/2/14,1700,10/2/14,1700,Jeffords Hall Parking Lot,Closed
Animal Problem,2014-7522,10/2/14,1900,10/2/14,1900,Perkins,Closed
Motorist Assist,2014-7523,10/2/14,1943,10/2/14,1943,Southwick Parking Lot,Closed
Drugs,2014-7526,10/2/14,2149,10/2/14,2149,Harris Millis Amphitheatre,Closed; unfounded
Suspicious Activity,2014-7534,10/2/14,2229,10/2/14,2129,Blasburg Hort. Farm,Closed
Drugs / Medical Assist,2014-7536,10/2/14,2239,10/2/14,2239,South 2,Closed; referred to UVM Rescue & Report to CSES
Drugs / Alcohol Offense,2014-7543,10/2/14,2349,10/2/14,2349,Mercy Hall,Closed; report to CSES
Intrusion Alarm,2014-7547,10/3/14,523,10/3/14,523,Fleming,Closed
Suspicious Behavior,2014-7548,10/3/14,659,10/3/14,659,Angell,Closed
Larceny,2014-7550,10/3/14,900,10/2/14,Unknown,U Hgts N,Open
Agency Assist,2014-7553,10/3/14,953,10/3/14,953,Redstone Lofts,Closed
Graffiti,2014-7555,10/3/14,1040,10/3/14,1040,Trinity Campus,Closed
Vandalism,2014-7556,10/3/14,1051,10/3/14,1051,Living and Learning,Closed
Elevator Alarm,2014-7558,10/3/14,1115,10/3/14,1115,Given,Closed
Larceny,2014-7559,10/3/14,1207,10/2/14,Unkwnon,U Hgts N,Open
Welfare Check,2014-7567,10/3/14,1809,10/3/14,1809,Police Services,Closed
Intoxication,2014-7568,10/4/14,12,10/4/14,12,Millis,Closed subject reffered to FAHC by UVM Rescue  report to CSES
Alcohol Offense,2014-7569,10/4/14,33,10/4/14,33,U Hgts N,Closed alcohol confiscated report to CSES
Alcohol Offense,2014-7570,10/4/14,48,10/4/14,48,S Williams St / College St,Closed   Unfounded
