Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Welfare Check,2016-2779,5/1/16,26,5/1/16,26,Marsh Hall,Closed; affiliate located
Alcohol Offense,2016-2780,5/1/16,45,5/1/16,45,Wheeler House Outside,Closed; alcohol ticket issued & report to CSES
Welfare Check,2016-2784,5/1/16,129,5/1/16,129,Richardson Hall,Closed; non affiliate located
Medical Assist,2016-2785,5/1/16,231,5/1/16,231,Mason Hall,Closed; affiliate referred to UVM Medical Center ER via UVM Rescue
Medical Assist / Intoxication,2016-2786,5/1/16,355,5/1/16,355,Harris Hall,Closed; affiliate referred to UVM Medical Center ER via S. Burlington Rescue & report to CSES
Fire Alarm,2016-2787,5/1/16,1153,5/1/16,1153,Wright Hall,Closed
Agency Assist,2016-2794,5/1/16,1200,5/1/16,1200,Converse Hall,"Closed; assist to Plattsburgh City, NY Police"
Animal Problem,2016-2788,5/1/16,1222,5/1/16,1222,Harris Hall,Closed
Vandalism-Graffiti,2016-2789,5/1/16,1326,Unk,Unk,University Hgts South 2,Open incident
Intrusion Alarm,2016-2790,5/1/16,1359,5/1/16,1359,Living & Learning,Closed
911 Hang Up,2016-2791,5/1/16,1417,5/1/16,1417,PFG Rd / University Hgts,Closed
Fire Alarm / Drugs,2016-2793,5/1/16,1449,5/1/16,1449,University Hgts North 2,Closed; affiliate cited into court for Poss. of LSD & Hallucinogenic Drugs; report to CSES
Suspicious Behavior,2016-2796,5/1/16,1834,5/1/16,1834,Christie Wright Patterson Outside,Closed
Citizen Assist,2016-2797,5/1/16,1920,5/1/16,1920,Rowell Hall,Closed
Stalking,2016-2798,5/1/16,2306,Unk-05/01/2016,Unk,S Williams St,Closed
Larceny,2016-2805,5/2/16,1443,4/25/16,1830-2040,Rowell Hall Bike Rack,Open incident
Drugs,2016-2806,5/2/16,1456,5/2/16,1456,University Hgts South 2,Closed; report to CSES
Late Reported Sexual Assault,2016-2807,5/2/16,1608,3/26/16,Unk,Christie Hall,Open incident; referred to Title IX coordinator
Agency Assist,2016-2811,5/2/16,1901,5/2/16,1901,UVM Medical Center,Closed; assist to Williston Police
Drugs,2016-2813,5/2/16,1939,5/2/16,1939,Richardson Hall,Closed; report to CSES
Drugs,2016-2816,5/2/16,2153,5/2/16,2153,Austin Hall,"Closed; affiliate cited into court for Possession of Marijuana, Hallucinogenic Drugs, & Narcotics; report to CSES"
Unsecured Premise,2016-2823,5/3/16,505,5/3/16,505,109 S Prospect St Annex,Closed
Suspicious Behavior,2016-2826,5/3/16,952,5/3/16,947,University Hgts North 1 Bike Rack,Closed
Medical Assist,2016-2830,5/3/16,1138,5/3/16,1138,Kalkin Hall,Closed; affiliate referred to UVM Rescue
Vandalism - Graffiti,2016-2831,5/3/16,1231,Unk,Unk,Continuing Education Outside,Open incident
Suspicious Activity,2016-2835,5/3/16,1540,Unk,Unk,Off Campus Residential Location,Closed
Forcible Fondling,2016-2836,5/3/16,1732,Mar-16,Unk,Off Campus Residential Location,Open incident
Fire Alarm,2016-2837,5/3/16,1917,5/3/16,1917,Ready Hall,Closed
Threats / Harassment,2016-2848,5/3/16,2147,5/2/16,Various,Redstone Lofts,Closed
Drugs / Alcohol Offense,2016-2851,5/3/16,2315,5/3/16,2315,Living & Learning,Closed; report to CSES
Theft of Service,2016-2856,5/4/16,1314,5/4/16,1314,Converse Hall Parking Lot,Closed; report to CSES
Larceny,2016-2864,5/4/16,1749,04/29/2016-05/03/2016,1730-1150,Redstone Lofts Bike Rack,Closed; Property recovered
Alcohol / Drug Offense,2016-2869,5/4/16,1924,5/4/16,1924,Christie Hall,Closed; report to CSES
Alcohol Offense,2016-2872,5/4/16,2053,5/4/16,2053,Austin Hall,Closed; report to CSES
Alcohol Offense,2016-2874,5/4/16,2116,5/4/16,2116,Living & Learning,Closed; report to CSES
Noise,2016-2876,5/4/16,2304,5/4/16,2304,University Hgts South 1,Closed; referred to UVM Residential Life
Citizen Assist,2016-2878,5/4/16,2336,5/4/16,2336,Coolidge Hall Outside,Closed
Drugs,2016-2880,5/4/16,2359,5/4/16,2359,Millis Hall,Closed; report to CSES
Suspicious Behavior,2016-2881,5/5/16,10,5/5/16,10,University Hgts South,Closed; report to CSES
Citizen Assist,2016-2882,5/5/16,30,5/5/16,30,Harris Millis Outside,Closed; non substantiated
Medical Assist / Intoxication,2016-2883,5/5/16,38,5/5/16,38,Davis Center,Closed; referred to UVM Medical Center ER via UVM Rescue & ACT 1 for detox; report to CSES
Drugs,2016-2884,5/5/16,44,5/5/16,44,Harris Hall,Closed; Cited into court fore Poss of Hallucinogens
Medical Assist / Intoxication,2016-2885,5/5/16,53,5/5/16,53,University Hgts South,"Closed; referred to UVM Medical Center ER via UVM Rescue, ACT 1, & Corrections  for detox; report to CSES"
Alcohol Offense,2016-2887,5/5/16,108,5/5/16,108,University Hgts North,Closed; report to CSES
Alcohol Offense,2016-2889,5/5/16,142,5/5/16,142,Southwick Outside,Closed; report to CSES
Welfare Check,2016-2891,5/5/16,208,5/5/16,208,Waterman Outside,Closed
Medical Assist,2016-2892,5/5/16,254,5/5/16,25,University Hgts Outside,Closed
Agency Assist / Accident,2016-2893,5/5/16,821,5/5/16,821,East Ave / Carrigan Dr,Closed; assist to Burlington Police
Suspicious Odor / Agency Assist,2016-2895,5/5/16,1112,5/5/16,1112,Hunt Hall,Closed; assist to Burlington Fire Department
Citizen Assist,2016-2898,5/5/16,1516,5/5/16,1516,Wing Davis Wilks Outside,Closed
Blue Light Alarm,2016-2900,5/5/16,1938,5/5/16,1938,Redstone Lofts Outside,Closed
Suspicious Vehicle,2016-2904,5/6/16,134,5/6/16,134,"Williston Rd, S. Burlington",Closed
Harassment,2016-2914,5/6/16,1335,4/30/16,0100-0200,Harris,Closed
Larceny,2016-2917,5/6/16,1853,5/6/16,Unk,189 Hannaford Dr   South Burlington,Closed
Vandalism,2016-2918,5/6/16,1937,Unk,Unk,Coolidge,Open
UVM Policy Violation,2016-2919,5/6/16,1946,5/6/16,1946,Williams Hall Fire Escape,Closed; Report to CSES
Intoxication,2016-2920,5/6/16,2019,5/6/16,2019,Patterson,Closed; Transported to ACT 1 for detox
Noise,2016-2923,5/6/16,2225,5/6/16,2225,500 S Prospect St,Closed; Warning issued
Noise / Alcohol Offense,2016-2924,5/6/16,2237,5/6/16,2237,Wing,Closed; Report to CSES
Noise,2016-2925,5/6/16,2254,5/6/16,2254,Wing,Closed; Warning issued
UVM Policy Violation,2016-2926,5/6/16,2320,5/6/16,2320,Williams Hall Fire Escape,Closed; Report to CSES
Burglary,2016-2929,5/6/16,2339,5/6/16,2339,Harris,Closed
Fire Alarm,2016-2933,5/7/16,151,5/7/16,151,University Heights South 1,Closed
Alarm,2016-2942,5/7/16,1544,5/7/16,1544,Davis Center Bookstore,Closed
Vandalism,2016-2946,5/7/16,1728,Unk,Unk,CWP Lot,Open
Vandalism,2016-2949,5/7/16,1950,Unk,Unk,Coolidge,Open
Fire Alarm,2016-2952,5/7/16,2218,5/7/16,2218,WDW,Closed
Drugs / Alcohol Offense,2016-2955,5/7/16,2304,5/7/16,2304,Wing,Closed; Report to CSES
Agency Assist,2016-2959,5/8/16,108,5/8/16,108,Main St / S Prospect St,Closed; Assist to BPD
Fire Alarm,2016-2964,5/8/16,1120,5/8/16,1120,Hunt,Closed
Noise,2016-2967,5/9/16,23,5/9/16,23,Redstone Green,Closed; Not Substantiated
Unsecure Premise,2016-2970,5/9/16,337,5/9/16,337,Williams,Closed
Agency Assist,2016-2972,5/9/16,505,5/9/16,505,Jeffords,Closed; Assist to Custodial Services
Medical Assist,2016-2984,5/9/16,1335,5/9/16,1335,Guicciardi Fitness Center,Closed; affiliate referred to UVM Rescue
Suspicious Behavior,2016-2987,5/9/16,1451,5/9/16,1451,Hamilton Hall,Closed; non substantiated
Suspicious Behavior,2016-2989,5/9/16,1634,5/9/16,1634,Bailey Howe,Closed
Elevator Alarm,2016-2990,5/9/16,1646,5/9/16,1646,Davis Center,Closed
Arson (Two Incidents),2016-2994,5/9/16,1914,5/9/16,1740-1815,University Hgts North,Open incident
Agency Assist,2016-3000,5/9/16,2244,5/9/16,2244,Bank St / S Winooski Ave,Closed; assist to Burlington Police
Vandalism,2016-3009,5/10/16,647,Unk,Unk,University Hgts North 1,Open incident
Suspicious Behavior,2016-3010,5/10/16,839,5/10/16,839,Christie Wright Patterson,Closed
Medical Assist,2016-3012,5/10/16,916,5/10/16,916,Hamilton Hall,Closed; affiliate referred to UVM Rescue
Alarm,2016-3014,5/10/16,945,5/10/16,945,Votey Parking Lot,Closed; non substantiated
Welfare Check,2016-3016,5/10/16,1026,5/10/16,1026,Blasburg Horticulture Farm,Closed; subject located and referred to UVM Medical Center via South Burlington Rescue
Animal Problem,2016-3017,5/10/16,1251,5/10/16,1251,Blundell House Outside,Closed
Trespassing,2016-3019,5/10/16,1639,5/10/16,1639,Bailey Howe Library,Closed
Welfare Check,2016-3021,5/10/16,1741,5/10/16,1741,Living & Learning Outside,Closed
Alarm,2016-3022,5/10/16,1907,5/10/16,1907,Fleming,Closed
Alarm,2016-3023,5/10/16,1907,5/10/16,1907,Perkins,Closed
Alarm,2016-3024,5/10/16,1907,5/10/16,1907,Waterman,Closed
Alarm,2016-3025,5/10/16,1907,5/10/16,1907,466 S Prospect St,Closed
Blue Light Alarm,2016-3033,5/10/16,2058,5/10/16,2058,Mercy Hall Outside,Closed
Vandalism,2016-3037,5/10/16,2227,Unk,Unk,McCann Hall,Open incident
Suspicious Activity,2016-3043,5/10/16,2317,5/10/16,2317,Virtue Field,Closed
Noise,2016-3044,5/10/16,2325,5/10/16,2325,Redstone Apts,Closed; noise warning issued
Multiple 911 Hang Ups,2016-3047,5/11/16,28,5/11/16,28,Harris Hall,Closed
Drugs,2016-3048,5/11/16,39,5/11/16,39,Harris Hall,Closed
Alcohol Offense,2016-3050,5/11/16,120,5/11/16,120,Cliff St / S Willard St,Closed; report to CSES
Suspicious Behavior,2016-3051,5/11/16,237,5/11/16,237,Bailey Howe Library Outside,Closed
Animal Problem,2016-3055,5/11/16,924,5/11/16,924,Jeffords Hall Parking Lot,Closed
Motorist Assist,2016-3056,5/11/16,1010,5/11/16,1010,East Ave / Carrigan Dr,Closed
Drugs,2016-3059,5/11/16,1333,5/11/16,1333,Patterson Hall,"Closed; affiliate cited into court for Poss. of Marijuana, LSD, & Hallucinogenic Drugs; report to CSES"
Accident,2016-3061,5/11/16,1446,5/11/16,1436,Given Parking Lot,Closed
Larceny / Vandalism,2016-3063,5/11/16,1913,Unk,Unk,Simpson Hall,Open incident
Suspicious Behavior,2016-3064,5/11/16,1916,5/11/16,1916,University Hgts North 1,Closed; report to CSES
Domestic Disturbance,2016-3065,5/11/16,1952,5/11/16,1952,Converse Hall,Closed
Motorist Assist,2016-3066,5/11/16,2039,5/11/16,Unk,Christie Wright Patterson Parking Lot,Closed
Drugs,2016-3071,5/11/16,2314,5/11/16,2314,Hamilton Hall Outside,Closed; report to CSES
Unsecured Premise,2016-3072,5/11/16,2316,5/11/16,2316,Wing Hall,Closed
Fire Alarm,2016-3074,5/11/16,2319,5/11/16,2319,McAuley Hall,Closed
Alcohol Offense,2016-3075,5/11/16,2324,5/11/16,2324,Catholic Center Outside,Closed; report to CSES
Alarm,2016-3076,5/12/16,204,5/12/16,204,McAuley Hall,Closed
Medical Assist,2016-3081,5/12/16,1206,5/12/16,1206,Redstone Lofts,Closed; affiliate referred to UVM Rescue
Citizen Assist,2016-3082,5/12/16,1313,5/12/16,1313,University Hgts South 1 Outside,Closed
Alcohol Offense,2016-3088,5/12/16,1546,5/12/16,1546,Redstone Green,Closed; report to CSES
Suspicious Behavior,2016-3089,5/12/16,1603,5/12/13,1603,Waterman Outside,Closed; non substantiated
Citizen Assist,2016-3102,5/12/16,2135,5/12/16,2135,Redstone Apts Parking Lot,Closed
Motorist Assist,2016-3109,5/12/16,2225,5/12/16,2225,Davis Hall Parking Lot,Closed
Blue Light Alarm,2016-3121,5/13/16,158,5/13/16,158,Simpson Hall Outside,Closed
Motorist Assist,2016-3123,5/13/16,236,5/13/16,236,Main St @ Pomeroy Hall,Closed
Motorist Assist,2016-3125,5/13/16,946,5/13/16,946,Interstate 89 / Bolton,Closed
Citizen Assist,2016-3126,5/13/16,1027,5/13/16,1027,Main St / Beamont Ave Ext,Closed
Alarm,2016-3127,5/13/16,1108,5/13/16,1108,Arts & Sciences Outside,Closed
