Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Agency Assist / Paperwork Service,2017-6896,9/1/17,920,9/1/17,920,Hills,Closed; Assist to BPD; Report to CSC
Accident,2017-6897,9/1/17,925,9/1/17,925,Delehanty Lot,Closed
Drugs,2017-6903,9/1/17,1159,9/1/17,1159,Colchester Ave / Mansfield Ave,Closed
Stalking,2017-6904,9/1/17,1245,9/1/17,1245,IMF,Open; referred to Title IX Coordinator
Animal Problem,2017-6905,9/1/17,1355,9/1/17,1355,Redstone Campus,Closed; Unable to locate
Fire Alarm,2017-6907,9/1/17,1406,9/1/17,1406,Slade,Closed
Drugs,2017-6916,9/1/17,2218,9/1/17,2218,Redstone Woods,Closed; Cited into court for Possession of Marijuana; Report to CSC
Alcohol Offense,2017-6919,9/1/17,2258,9/1/17,2258,S Prospect St / Davis Rd,Closed; Report to CSC
Intoxication / Drugs,2017-6920,9/1/17,2310,9/1/17,2310,Redstone Hall,Closed; UVM Rescue transported to UVM MC; transported to Corrections for detox
Intoxication,2017-6921,9/1/17,2326,9/1/17,2326,Main St / S Union St,Closed; BFD transported to UVM MC; Report to Champlain College
Welfare Check / Alcohol Offense,2017-6922,9/1/17,2347,9/1/17,2347,Living and Learning,Closed; Report to CSC
Traffic / Drugs,2017-6923,9/2/17,17,9/2/17,17,Pearl St / Pine St,"Closed; 1 non affiliate issued marijuana ticket, and 1 non affiliate issued for minor consuming while driving ticket"
Citizen Assist,2017-6925,9/2/17,55,9/2/17,55,Coolidge,Closed
Drugs,2017-6926,9/2/17,56,9/2/17,56,Southwick,Closed; Unable to locate
Intoxication,2017-6927,9/2/17,118,9/2/17,118,Pearl St / Hungerford Terr,Closed; transported to Corrections for detox
Drugs / Alcohol Offense,2017-6928,9/2/17,125,9/2/17,125,Wilks,Closed; Report to CSC
Drugs / Alcohol Offense,2017-6929,9/2/17,129,9/2/17,129,University Heights South 2,Closed; Report to CSC
