Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Noise,2014-6524,9/1/14,16,9/1/14,16,Redstone Lofts,Closed ; report to CSES
Noise,2014-6525,9/1/14,47,9/1/14,47,Redstone Apt,Closed
Intoxication,2014-6526,9/1/14,100,9/1/14,100,Converse,Closed subject referred to ACT1 for detox report to  CSES
Intoxication,2014-6527,9/1/14,135,9/1/14,135,Redstone Apts,Closed referred to ACT1 for detox report to CSES
911 Hang Up,2014-6528,9/1/14,138,9/1/14,138,Christie,Closed
Intoxication,2014-6529,9/1/14,233,9/1/14,233,Coolidge,Closed one referred to ACT1 then to  Corrections for detox report to CSES
Medical Assist,2014-6535,9/1/14,1146,9/1/14,1146,Millis Hall,Closed; referred to UVM Rescue
Animal Problem,2014-6536,9/1/14,1217,9/1/14,1217,Given Parking Lot,Closed
Accident-Leaving the Scene,2014-6539,9/1/14,1348,Unk,Unk,Wing Hall Parking Lot,Open incident
Intrusion Alarm,2014-6541,9/1/14,1513,9/1/14,1513,Waterman,Closed
Motorist Assist,2014-6545,9/1/14,1626,9/1/14,1626,Catamount Dr / Beaumont Ave,Closed
Citizen Assist,2014-6552,9/1/14,1943,9/1/14,1943,"Catamount Ln, Colchester",Closed
Citizen Assist,2014-6554,9/2/14,843,9/2/14,843,Harris Millis,Closed
Welfare Check,2014-6558,9/2/14,1004,9/2/14,1004,Living & Learning,Closed; subject located
Medical Assist,2014-6559,9/2/14,1020,9/2/14,1020,Stafford Hall,Closed; referred to UVM Rescue
Citizen Assist,2014-6560,9/2/14,1257,9/2/14,1257,PFG,Closed
Intrusion Alarm,2014-6564,9/2/14,1612,9/2/14,1612,Fleming,Closed
Medical Assist,2014-6565,9/2/14,1629,9/2/14,1629,Davis Center,Closed; referred to UVM Rescue
Suspicious Event,2014-6566,9/2/14,2055,9/2/14,2055,Chittenden Buckham Wills,Closed
Medical Assist,2014-6567,9/2/14,2109,9/2/14,2109,Gutterson,Closed; referred to UVM Rescue
K9 Assist,2014-6568,9/3/14,33,9/3/14,33,"E Spring St / Hood St, Winooski",Closed
Vandalism,2014-6570,9/3/14,714,09/02-03/2014,Unk,Redstone Hall Parking Lot,Open incident
Accident,2014-6571,9/3/14,756,9/3/14,756,Billings Loading Dock,Closed
Medical Assist,2014-6575,9/3/14,1017,9/3/14,1017,Williams Hall,Closed; referred to UVM Rescue
Vandalism,2014-6576,9/3/14,1027,Unk,Unk,Living & Learning,Open incident
Larceny,2014-6588,9/3/14,1649,08/31/2014-09/02/2014,1600-1000,McAuley Hall,Open incident
Larceny,2014-6589,9/3/14,1704,08/31/2014-09/01/2014,1500-1800,South 2,Open incident
Medical Assist,2014-6590,9/3/14,1728,9/3/14,1728,Millis Hall,Closed; referred to UVM Rescue
Citizen Assist,2014-6598,9/3/14,2154,9/3/14,2154,PFG,Closed
Drugs / Medical Assist,2014-6600,9/3/14,2216,9/3/14,2216,Ready Hall,Closed; referred to UVM Rescue & FAHC ER; report to CSES
Intrusion Alarm,2014-6610,9/4/14,524,9/4/14,524,Waterman,Closed
Fire Alarm,2014-6611,9/4/14,858,9/4/14,858,Trinity Cottages,Closed
Citizen Assist,2014-6615,9/4/14,1048,9/4/14,1048,Davis Center,Closed
Agency Assist,2014-6618,9/4/14,1206,9/4/14,1206,"College St, Burlington",Closed
Disorderly Conduct by Electronic Communications,2014-6624,9/4/14,1616,9/4/14,1616,McAuley Hall,Closed; report to CSES
Aggravated Assault,2014-6625,9/4/14,1646,9/1/14,0230-0300,South 1,Closed; Subject cited into court for Agg Assault
Blue Light Alarm,2014-6627,09/04/0214,1823,9/4/14,1823,McAuley Hall,Closed
Suspicious Behavior,2014-6629,9/4/14,1924,9/4/14,1924,Redstone Campus,Closed
Medical Assist,2014-6630,9/4/14,1957,9/4/14,1957,Living & Learning,Closed; referred to UVM Rescue
Trespassing,2014-6633,9/4/14,2151,9/4/14,2151,Hunt Hall,Closed
Noise / Alcohol Offense,2014-6641,9/4/14,2322,9/4/14,2322,Redstone Quad,Closed; report to CSES
Intoxication,2014-6643,9/5/14,120,9/5/14,120,Adams House,Closed; referred to ACT 1 for detox & report to CSES
Motorist Assist,2014-6646,9/5/14,300,9/5/14,300,Jeffords Hall Parking Lot,Closed
Fire Alarm,2014-6653,9/5/14,1003,9/5/14,1003,Dewey,Closed
Suspicious Behavior,2014-6655,9/5/14,1120,9/5/11,1120,Williams,Closed
Fire Alarm,2014-6661,9/5/14,1354,9/5/14,1354,Mason,Closed
Trespass,2014-6663,9/5/14,1452,9/5/14,1452,MLS,Closed
Suspicious Behavior,2014-6664,9/5/14,1702,9/5/14,1702,PFG,Closed
Agency Assist,2014-6666,9/5/14,1723,9/5/14,1723,155 Dorset St S Burlington,Closed
Alcohol Offense,2014-6671,9/5/14,2009,9/5/14,2009,Redstone Lofts,Closed alcohol confiscated report to CSES
Alcohol Offense,2014-6672,9/5/14,2028,9/5/14,2028,Living and Learning,Closed alcohol confiscated report to CSES
Larceny,2014-6673,9/5/14,2048,9/5/14,2048,University Hgts South,Open
Alcohol Offense,2014-6674,9/5/14,2101,9/5/14,2101,Simpson,Closed
Noise,2014-6675,9/5/14,2201,9/5/11,2201,Redstone Apts,Closed
Alcohol Offense,2014-6678,9/5/14,2205,9/5/14,2205,Christie,Closed alcohol confiscated report to CSES
Alcohol Offense,2014-6682,9/5/14,2225,9/5/14,2225,Redstone Green,Closed alcohol destroyed report to CSES
Drug Possession,2014-6686,9/5/14,2242,9/5/14,2242,University Hgts S,Closed ticket issued drugs and paraphernalia confiscated
Drug Possession/Alcohol Offense,2014-6689,9/5/14,2245,9/5/14,2245,Christie,Closed  drugs paraphernalia and alcohol confiscated ticket issued
Alcohol Offense,2014-6690,9/5/14,2301,9/5/14,2301,University Hgts N,Closed report to CSES
Alcohol Offense,2014-6693,9/5/14,2320,9/5/14,2320,Wright,Closed report toCSES
Medical  / Alcohol Offense,2014-6694,9/5/14,2323,9/5/14,2323,Harris,Closed  report to CSES
Intoxication,2014-6695,9/5/14,2323,9/5/14,2323,Christie,Closed subject referred to ACT1 for detox report to CSES
Intoxication,2014-6696,9/5/14,2327,9/5/14,2327,Davis Hall,Closed subject referred to FAHC then to ACT1 for detox report to CSES
Property Damage,2014-6697,9/5/14,2350,9/5/14,2350,Redstone Lofts,Closed
Intoxication,2014-6701,9/6/14,32,9/6/14,32,University Hgts S,Closed subject referred to ACT1 then to Corrections for detox report to CSES
Agency Assist,2014-6702,9/6/14,56,9/6/14,56,Redstone Lofts,Closed
Intoxication,2014-6703,9/6/14,103,9/6/14,103,Hamilton,Closed referred to ACT 1 then to Corrections for detox report to CSES
Intoxication,2014-6705,9/6/14,111,9/6/14,111,Tupper,Closed referred to FAHC by BFD report to CSES
Disorderly Conduct / Intoxication,2014-6706,9/6/14,118,9/6/14,118,Tupper,Closed subject arrested for disorderly conduct and brought to the Correctional center for detox  report to CSES
DUI,2014-6707,9/6/14,130,9/6/14,130,Colchester Ave /East Ave,Closed subject cited into district court for Driving  under the influence 
Intoxication,2014-6710,9/6/14,240,9/6/14,240,Police Services,Closed subject referred to ACT1 then corrections for Detox report to CSES
Citizen Assist,2014-6713,9/6/14,841,9/6/14,841,East Ave / Colchester Ave,Closed
Lost and Found / Fake ID,2014-6715,9/6/14,1405,9/6/14,1405,Main St Burlington,"Closed ticket issued for fake license, report to CSES"
Burglary,2014-6718,9/6/14,2116,9/6/14,2116,Redstone Apts,Open
Medical,2014-6719,9/6/14,2233,9/6/14,2233,Williams,Closed subject referred to FAHC by UVM Rescue
Medical,2014-6721,9/6/14,2314,9/6/14,2314,Mann,Closed subject referred to FAHC By UVM Rescue
Alcohol Offense,2014-6722,9/6/14,2328,9/6/14,2328,Mercy,Closed
Graffiti,2014-6723,9/6/14,2352,9/6/14,2352,U Hgts N,Closed
Intoxication,2014-6724,9/7/14,105,9/7/14,105,Wing,Closed subject referred to ACT1 for detox report to CSES
Alcohol Offense,2014-6725,9/7/14,110,9/7/14,110,PFG,Closed report to CSES
Intoxication,2014-6726,9/7/14,126,9/7/14,126,Main St / S Prospect St,Closed - Unfounded
Blue Light Alarm,2014-6727,9/7/14,157,9/7/14,157,Redstone Green,Closed
Motorist Assist,2014-6730,9/7/14,317,9/7/14,317,PFG,Closed
Suspicious Behavior,2014-6733,9/7/14,410,9/7/14,410,Main St /East Ave,Closed
Fire Alarm,2014-6735,9/7/14,938,9/7/14,938,CBW,Closed
Suspicious Behavior,2014-6740,9/7/14,1128,9/7/14,1128,Williams,Closed
Larceny,2014-6742,9/7/14,1144,9/6/14,Unknown,Converse,Open
Larceny,2014-6743,9/7/14,1431,9/7/14,1431,PFG,Open
Vandalism,2014-6744,9/7/14,1611,09/07/214,1350-1600,PFG Garage,Open
Blue Light Alarm,2014-6749,9/7/14,2025,9/7/14,2025,PFG Garage,Closed
Fire Alarm,2014-6751,9/7/14,2049,9/7/14,2049,WDW,Closed
Intrusion Alarm,2014-6755,9/8/14,508,9/8/14,508,Waterman,Closed
Fire Alarm,2014-6756,9/8/14,717,9/8/14,717,Trinity Cottages,Closed
Animal Problem,2014-6758,9/8/14,951,9/8/14,951,Jeffords Hall Parking Lot,Closed
Theft of Service,2014-6760,9/8/14,1030,9/8/14,1030,Jeffords Hall Parking Lot,Closed; report to CSES
Larceny,2014-6762,9/8/14,1137,09/05-08/2014,1500-1130,Davis Center,Open incident
Elevator Alarm,2014-6763,9/8/14,1147,9/8/14,1147,Wilks Hall,Closed
Citizen Assist,2014-6764,9/8/14,1315,9/8/14,1315,Colchester Ave / University Pl,Closed
