Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Fire Alarm,2016-8608,12/1/16,142,12/1/16,142,Mercy,Closed
Citizen Assist,2016-8609,12/1/16,229,12/1/16,229,111 Colchester Ave,Closed
Intrusion Alarm,2016-8613,12/1/16,803,12/1/16,803,Nolan House,Closed
Agency Assist,2016-8618,12/1/16,2051,12/1/16,2051,UVM Medical Center,Closed; assist to Williston Police Department
Fire Alarm,2016-8620,12/1/16,2130,12/1/16,2130,McAuley Hall,Closed
Larceny,2016-8621,12/1/16,2148,12/1/16,2117,Harris Millis Dining Hall,Closed; property recovered & report to CSC
Drugs / Alcohol Offense,2016-8622,12/1/16,2214,12/1/16,2214,Simpson Hall,Closed; report to CSC
Accident - Leaving the Scene,2016-8627,12/1/16,2358,12/1/16,2358,Christie Hall Parking Lot,Closed; affiliate male cited into Court for Leaving the Scene of an Accident & report to CSC
Agency Assist,2016-8633,12/2/16,934,12/2/16,934,UVM Police Services,Closed; assist to Green Mountain CISM
Voyeurism,2016-8635,12/2/16,1021,12/2/16,1006-1011,Jeanne Mance,Open incident
Agency Assist,2016-8637,12/2/16,1737,12/2/16,1737,"Williston Rd, So. Burlington",Closed; assist to Chittenden County States Attorneys Office
Intrusion Alarm,2016-8638,12/2/16,1755,12/2/16,1755,University Health Center,Closed
Drugs,2016-8642,12/2/16,2034,12/2/16,2034,Converse Hall,Closed; non substantiated
Drugs / Alcohol Offense,2016-8644,12/2/16,2149,12/2/16,2149,Hunt Hall,Closed; report to CSC
Fire Alarm,2016-8646,12/2/16,2210,12/2/16,2210,McAuley Hall,Closed
Citizen Assist - Safety Escort,2016-8647,12/2/16,2229,12/2/16,2229,Redstone Campus,Closed
Suspicious Vehicle,2016-8648,12/2/16,2303,12/2/16,2303,Given Parking Lot,Closed
Noise,2016-8650,12/2/16,2318,12/2/16,2318,Living & Learning,Closed; non substantiated
