Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Medical Assist / Intoxication,2017-2447,4/1/17,27,4/1/17,27,Millis Hall,Closed; affiliate transported to UVM MC via UVM Rescue & report to CSC
Alcohol Offense,2017-2448,4/1/17,49,4/1/17,49,Wilks Hall,Closed; report to CSC
Alcohol Offense,2017-2449,4/1/17,53,4/1/17,53,Hamilton Hall,Closed; report to CSC
Medical Assist / Intoxication,2017-2451,4/1/17,255,4/1/17,255,McAuley Hall,Closed; affiliate transported to UVM MC via UVM Rescue & report to CSC
Medical Assist / Alcohol Offense,2017-2452,4/1/17,309,4/1/17,309,Tupper Hall,Closed; affiliate referred to Burlington Rescue & report to CSC
Medical Assist / Intoxication / Drugs,2017-2455,4/1/17,508,4/1/17,508,Millis Hall,"Closed; 1 affiliate transported to UVM MC via UVM Rescue, 2 additional affiliate were referred to ACT 1 & Corrections for Detox; report to CSC"
Trespassing / Violation of Conditions of Release,2017-2456,4/1/17,517,4/1/17,517,Living & Learning,Closed; non affiliate cited into court for unlawful trespassing & Violation of Conditions of Release
Accident,2017-2462,4/1/17,1532,4/1/17,1532,PFG Parking Lot,Closed
Drugs / Alcohol Offense,2017-2464,4/1/17,1804,4/1/17,1804,Harris Hall,Closed; report to CSC
Drugs,2017-2470,4/1/17,2043,4/1/17,2043,Coolidge Hall,Closed; non substantiated
Motorist Assist,2017-2474,4/1/17,2133,4/1/17,2133,Mercy Hall Parking Lot,Closed
911 Hang up,2017-2476,4/1/17,2233,4/1/14,2233,Wilks Hall,Closed
Drugs,2017-2480,4/1/17,2302,4/1/14,2302,Hamilton Hall,Closed; report to CSC
Drugs,2017-2486,4/2/17,15,4/2/17,15,Trinity Campus Parking Lot,Closed; report to CSC
Citizen Assist,2017-2491,4/2/17,106,4/2/17,106,Main St @ Davis Center,Closed
Traffic / DUI,2017-2492,4/2/17,117,4/2/17,117,"Spear St, So. Burlington",Closed; non affiliate cited into court for DUI
Agency Assist,2017-2494,4/2/17,159,4/2/17,159,Main St / Church St,Closed; assist to Burlington Police
Fire Alarm / Arson,2017-2495,4/2/17,254,4/2/17,254,Millis Hall,Closed subject cited for arson and trespassed from UVM Residence halls
Vandalism,2017-2498,4/2/17,1143,Unk,Unk,440 College St,Open incident
Sexual Assault,2017-2499,4/2/17,1440,4/1/17,0000-0300,Living & Learning,Closed; affiliate lodged at corrections for Lewd & Lascivious Conduct & Burglary; report to CSC
Traffic / DLS,2017-2502,4/2/17,1811,4/2/17,1811,Roosevelt Hwy,Closed; Cited for DLS
Drugs,2017-2505,4/2/17,1914,4/2/17,1914,Southwick Outside,Closed; non substantiated
Fire Alarm,2017-2507,4/2/17,1940,4/2/17,1940,Richardson Hall,Closed
Blue Light Alarm / Citizen Assist,2017-2512,4/3/17,124,4/3/17,124,PFG Garage,Closed
Motor Vehicle Complaint / Agency Assist,2017-2513,4/3/17,137,4/3/17,137,Main St / University Ter.,Closed; assist to So. Burlington Police
Lewd & Lascivious Conduct / Fondling,2017-2515,4/3/17,847,4/3/17,0045-0500,Living & Learning,Closed; affiliate lodged at corrections for Lewd & Lascivious Conduct & Burglary; report to CSC
Fire Alarm,2017-2516,4/3/17,903,4/3/17,903,Trinity Campus Cottages,Closed
Animal Problem,2017-2519,4/3/17,1239,4/3/17,1239,Centennial Field,Closed
Motorist Assist,2017-2520,4/3/17,1248,4/3/17,1248,N Prospect St / North St,Closed
Accident,2017-2521,4/3/17,1458,3/31/17,800,PFG Parking Garage,Closed
Animal Problem,2017-2522,4/3/17,1517,4/3/17,1517,Centennial Field,Closed
Simple Assault / Domestic Assault,2017-2525,4/3/17,1648,4/3/17,1648,Living & Learning,Closed; affiliate cited into court for Simple Assault; report to CSC
Suspicious Behavior,2017-2528,4/3/17,2013,4/3/17,2013,Jeffords Hall,Closed
Larceny,2017-2529,4/3/17,2041,4/3/17,1200-1230,Votey Hall,Open incident
Medical Assist,2017-2530,4/3/17,2126,4/3/17,2126,Virtue Field,Closed; affiliate transported to UVM MC Via UVM Rescue
Suspicious Vehicle,2017-2531,4/3/17,2227,4/3/17,2227,Admissions Parking Lot,Closed
Medical Assist,2017-2543,4/4/17,414,4/4/17,417,Redstone Apts,Closed; affiliate transported to UVM MC Via UVM Rescue
Suspicious Event,2017-2546,4/4/17,1025,03/06-10/2017,Unk,Bailey Howe Library,Closed
Suspicious Event,2017-2547,4/4/17,1121,Unk,Unk,Southwick & Tupper Hall,Closed
Theft of Service,2017-2548,4/4/17,1200,4/4/17,1200,PFG Parking Lot,Closed
Suspicious Behavior / Harassment,2017-2549,4/4/17,1344,03/30/2017 & 04/04/2017,1140 & 1150,Votey  & Pomeroy Hall Outside,Open incident
Citizen Assist,2017-2555,4/4/17,2123,4/1/17,1030-1530,PFG Parking Lot,Closed
Fire Alarm,2017-2556,4/4/17,2133,4/4/17,2133,Votey,Closed
Agency Assist,2017-2563,4/5/17,600,4/5/17,600,1 S Prospect St,Closed; Assist to BPD
Medical Assist,2017-2571,4/5/17,1416,4/5/17,1416,Brennan's,Closed; UVM Rescue transported to UVM  MC
Accident,2017-2575,4/5/17,1644,4/5/17,1644,109 S Prospect St Lot,Closed
Suspicious Person,2017-2577,4/5/17,1729,4/5/17,1729,University Heights Rd,Closed; Unable to locate
Intrusion Alarm,2017-2579,4/5/17,2219,4/5/17,2219,Fleming,Closed
Traffic / Drugs,2017-2582,4/5/17,2341,4/5/17,2341,Beaumont Ave,Closed; Tickets issued to driver; Ticket issued to passenger for Marijuana
Property Damage / Agency Assist / Accident / DUI,2017-2583,4/6/17,23,4/6/17,23,Pearl St / N Prospect St,Closed; Assist to BPD
Agency Assist,2017-2585,4/6/17,100,4/6/17,100,861 Williston Rd,Closed; Assist to SBPD
Stalking,2017-2599,4/6/17,1340,Unk,Unk,Unknown On/Off Campus,Closed; Report to Title IX
Agency Assist,2017-2610,4/6/17,2325,4/6/17,2325,Spear St / Quarry Hill Rd,Closed; Assist to SBPD
Intoxication,2017-2616,4/7/17,57,4/7/17,57,Redstone Lofts,Closed; Transported to ACT I; Report to CSC
Intrusion Alarm,2017-2621,4/7/17,809,4/7/17,809,Waterman,Closed
Accident,2017-2622,4/7/17,845,4/7/17,845,University Hgts / Main St,Closed
Mental Health Issue,2017-2624,4/7/17,1022,4/7/17,1022,Tupper Hall,Closed; affiliate referred to UVM Cares
Citizen Assist,2017-2625,4/7/17,1119,4/7/17,1119,Wright Hall,Closed; affiliate referred to Crisis Services
Sexual Assault,2017-2626,4/7/17,1422,03/31/2017 - 04/02/2017,Unk,Unknown Location,Closed; referred to Title IX
Mental Health Issue,2017-2630,4/7/17,1816,4/7/17,1816,UVM Police Services,Closed; referred to UVM Cares
Alcohol Offense,2017-2632,4/7/17,2154,4/7/17,2154,Ready Hall,Closed; report to CSC
Traffic / Driving while Suspended / Violation of Conditions of Release,2017-2635,4/7/17,2223,4/7/17,2223,Hillside Ter / Riverside Ave,Closed; non affiliate cited for Driving while Suspended & Violation of Conditions of Release
Alcohol Offense,2017-2638,4/7/17,2326,4/7/17,2326,Wing Hall,Closed; report to CSC
Drugs,2017-2639,4/7/17,2330,4/7/17,2330,Hunt Hall Outside,Closed; non substantiated
Drugs,2017-2640,4/7/17,2338,4/7/17,2338,Living & Learning,Closed; report to CSC
Drugs,2017-2642,4/8/17,1,4/8/17,1,Wilks Hall,Closed; report to CSC
Traffic / Drugs,2017-2643,4/8/17,12,4/8/17,12,East Ave / Bilodeau Ct,Closed; Marijuana ticket issued & report to CSC
Citizen Assist / Safety Escort,2017-2644,4/8/17,28,4/8/17,28,Davis Center,Closed
Medical Assist / Intoxication,2017-2646,4/8/17,138,4/8/17,138,Harris Hall,Closed; affiliate transported to UVM MC ER via UVM Rescue & report to CSC
Drugs,2017-2649,4/8/17,209,4/8/17,209,Harris Hall,Closed; report to CSC
Intoxication,2017-2651,4/8/17,239,4/8/17,239,"Main St, Burlington",Closed; affiliate referred to ACT 1 for detox; report to CSC
Fire Alarm,2017-2657,4/8/17,1237,4/8/17,1237,Davis Hall,Closed
Drugs,2017-2659,4/8/17,1652,4/8/17,1652,McAuley Hall Outside,Closed; non substantiated
Agency Assist,2017-2661,4/8/17,1759,4/8/17,1759,"East Terr., So. Burlington",Closed; assist to So. Burlington Police
Fire Alarm,2017-2664,4/8/17,1904,4/8/17,1904,University Hgts South 3,Closed
University Policy Violation,2017-2666,4/8/17,1928,4/8/17,1928,Williams Hall Fire Escape,Closed
Welfare Check / Medical Assist / Intoxication,2017-2673,4/8/17,2335,4/8/17,2335,Hunt Hall,Closed; affiliate located and transported to UVM MC Via UVM Rescue & detoxed at AC1 1; report to CSC
Drugs,2017-2674,4/9/17,26,4/9/17,26,Richardson Hall,Closed; report to CSC
Drugs,2017-2676,4/9/17,56,4/9/17,56,Harris Hall,Closed; report to CSC
Alcohol Offense,2017-2677,4/9/17,110,4/9/17,110,Harris Hall,Closed; report to CSC
Vandalism,2017-2678,4/9/17,144,Unk,Unk,Harris Hall,Open incident
Citizen Assist,2017-2679,4/9/17,149,4/9/17,149,University Hgts South 1,Closed
Intoxication / Medical Assist,2017-2680,4/9/17,202,4/9/17,202,S Prospect St / Cliff St,Closed; referred to ACT 1 for Detox & Burlington Rescue for transport to UVM MC; report to CSC
